value,date,symbol
1,2020-09-20,Compassion
0,2020-09-20,Self respect
0,2020-09-20,Irritability
3,2020-09-20,Pride
2,2020-09-20,Boredom
0,2020-09-20,Worthlessness
0,2020-09-20,Social Anxiety
0,2020-09-20,Emptiness
2,2020-09-21,Compassion
0,2020-09-21,Self respect
0,2020-09-21,Irritability
3,2020-09-21,Pride
4,2020-09-21,Boredom
0,2020-09-21,Worthlessness
0,2020-09-21,Social Anxiety
0,2020-09-21,Emptiness
2,2020-09-22,Compassion
0,2020-09-22,Self respect
0,2020-09-22,Irritability
2,2020-09-22,Pride
3,2020-09-22,Boredom
0,2020-09-22,Worthlessness
1,2020-09-22,Social Anxiety
0,2020-09-22,Emptiness
3,2020-09-23,Compassion
0,2020-09-23,Self respect
0,2020-09-23,Irritability
1,2020-09-23,Pride
5,2020-09-23,Boredom
0,2020-09-23,Worthlessness
0,2020-09-23,Social Anxiety
0,2020-09-23,Emptiness
1,2020-09-24,Compassion
0,2020-09-24,Self respect
0,2020-09-24,Irritability
1,2020-09-24,Pride
4,2020-09-24,Boredom
0,2020-09-24,Worthlessness
1,2020-09-24,Social Anxiety
0,2020-09-24,Emptiness
0,2020-09-25,Compassion
0,2020-09-25,Self respect
0,2020-09-25,Irritability
1,2020-09-25,Pride
3,2020-09-25,Boredom
0,2020-09-25,Worthlessness
1,2020-09-25,Social Anxiety
0,2020-09-25,Emptiness
1,2020-09-26,Compassion
0,2020-09-26,Self respect
0,2020-09-26,Irritability
2,2020-09-26,Pride
4,2020-09-26,Boredom
0,2020-09-26,Worthlessness
0,2020-09-26,Social Anxiety
0,2020-09-26,Emptiness
