rowid,date,currency_code,name,local_price,dollar_ex,dollar_price
1,2000-04-01,ARS,Argentina,2.5,1.0,2.5
10,2000-04-01,EUR,Euro area,2.56,1.075268817,2.38080000045235
29,2001-04-01,ARS,Argentina,2.5,1.0,2.5
38,2001-04-01,EUR,Euro area,2.57,1.136363636,2.26160000072371
57,2002-04-01,ARS,Argentina,2.5,3.13,0.7987220447284351
66,2002-04-01,EUR,Euro area,2.67,1.123595506,2.37629999919206
89,2003-04-01,ARS,Argentina,4.1,2.88,1.42361111111111
99,2003-04-01,EUR,Euro area,2.71,0.909090909,2.9810000002981
120,2004-05-01,ARS,Argentina,4.36,2.95,1.4779661016949202
132,2004-05-01,EUR,Euro area,2.74,0.833333333,3.2880000013152
160,2005-06-01,ARS,Argentina,4.75,2.897,1.6396272005522998
172,2005-06-01,EUR,Euro area,2.92,0.814929509,3.58313199823029
199,2006-01-01,ARS,Argentina,4.75,3.0638,1.5503622951889802
209,2006-01-01,EUR,Euro area,2.91,0.82815735,3.5138249995607698
231,2006-05-01,ARS,Argentina,7.0,3.0565,2.29020121053493
243,2006-05-01,EUR,Euro area,2.939573529,0.780365992,3.76691649704796
271,2007-01-01,ARS,Argentina,8.25,3.08875,2.67098340752732
283,2007-01-01,EUR,Euro area,2.94,0.771813376,3.80921099765962
311,2007-06-01,ARS,Argentina,8.25,3.0915,2.66860747210092
323,2007-06-01,EUR,Euro area,3.057482443,0.7337564659999999,4.1668899487422
351,2008-06-01,ARS,Argentina,11.0,3.0195,3.64298724954463
363,2008-06-01,EUR,Euro area,3.36856,0.630497147,5.342704588003469
391,2009-07-01,ARS,Argentina,11.5,3.81125,3.0173827484421096
403,2009-07-01,EUR,Euro area,3.31,0.7168972690000001,4.6171189975617
432,2010-01-01,ARS,Argentina,7.0,3.7985,1.84283269711728
444,2010-01-01,EUR,Euro area,3.36,0.693649638,4.84394399698368
473,2010-07-01,ARS,Argentina,14.0,3.93375,3.55894502700985
485,2010-07-01,EUR,Euro area,3.3800310710000003,0.78015291,4.33252382664316
514,2011-07-01,ARS,Argentina,20.0,4.1325,4.83968542044767
526,2011-07-01,EUR,Euro area,3.437660401,0.697520315,4.92840183586624
556,2012-01-01,ARS,Argentina,20.0,4.3135,4.63660600440478
568,2012-01-01,EUR,Euro area,3.49245637,0.788239467,4.43070477464433
598,2012-07-01,ARS,Argentina,19.0,4.56625,4.16096359156857
609,2012-07-01,EUR,Euro area,3.5834822410000005,0.8248443109999999,4.3444346929611095
638,2013-01-01,ARS,Argentina,19.0,4.9765,3.81794433839044
650,2013-01-01,EUR,Euro area,3.594849572,0.7369468290000001,4.878031128620269
680,2013-07-01,ARS,Argentina,21.0,5.4125,3.87990762124711
