year,Jobs_enter,Jobs_grow,Jobs_exit,Jobs_shrink,Jobs_total,JobsRLP_enter,JobsRLP_grow,JobsRLP_exit,JobsRLP_shrink,JobsRLP_total,firms_enter,firms_grow,firms_exit,firms_shrink,firms_stable,firms_total,Entry rate,Exit Rate,Grow Rate,Shrink Rate,Units,Employment(m),Turnover(bn),N firms,RLP,RLP growth,RLP actual,RLP hypotetical,Gap,Turnover,Turnover hypothetical,Turn_gap,Mean,Mean_emplWeight,Mean_turnWeight,Central,entryReallocate,growReallocate,exitReallocate,shrinkReallocate,totalReallocateRLPJobs,Unnamed: 42,period2,entryReallocateJobs,growReallocateJobs,exitReallocateJobs,shrinkReallocateJobs,totalReallocateJobs,totalReallocateJobsNet
1997,739,1745,1570,1113,18462,45127,148871,91186,79360,1286257,231442,172194,198585,127759,1495505,2014120,0.114909737,0.098596409,0.085493416,0.063431672,860021,17.46,1241,1764832,71.07674685,0.0,0.0,0.0,0.0,0,0.0,0.0,9.32,13.68,13.54,6.97,0.035083968,0.115739701,0.07089252,0.061698401,0.28341459,Pre-GFC,1,0.040028166,0.09451847,0.085039541,0.060285993,0.27987217,
1998,581,1420,1285,788,18329,36531,120919,83465,57401,1349372,187867,198597,192932,133292,1493630,2035621,0.092289773,0.094777957,0.097560892,0.065479773,836654,17.47,1313,1827671,75.15741271,0.057412108,75.15741271,75.15741271,0.0,1313,1313.0,0.0,9.32,14.28,14.59,6.22,0.027072594,0.089611315,0.0618547,0.042539048,0.221077657,Pre-GFC,1,0.031698401,0.077472857,0.07010748,0.04299198,0.222270719,0.229526979
1999,622,1609,1383,982,18562,40585,145272,92162,70152,1440505,181415,198806,241365,137884,1457050,2054680,0.088293554,0.117470847,0.096757646,0.067107287,813982,17.64,1400,1850609,79.36507937,0.055984719,79.36507937,79.36507937,0.0,1400,1400.0,0.0,9.61,15.12,15.55,6.81,0.028174147,0.100847967,0.063978952,0.048699588,0.241700654,Pre-GFC,1,0.03350932,0.08668247,0.074507057,0.052903782,0.247602629,0.235050102
2000,677,1727,1212,1143,18715,45426,154972,77771,84861,1442392,178147,219132,203060,148618,1446191,2035619,0.087514903,0.099753441,0.107648828,0.073008751,793015,17.71,1397,1834250,78.88198758,-0.006086957,78.88198758,78.88198758,0.0,1397,1397.0,0.0,9.98,15.88,16.32,6.92,0.031493519,0.107440973,0.053918075,0.058833521,0.251686088,Pre-GFC,1,0.036174192,0.092278921,0.064760887,0.061074005,0.254288004,0.246112744
2001,674,2264,1208,1525,19091,44783,224789,80263,96266,1463881,178260,298866,220258,248962,1265808,2056263,0.086691245,0.107115675,0.145344248,0.121074979,821065,18.04,1419,1852625,78.65853659,-0.002832725,78.65853659,78.65853659,0.0,1419,1419.0,0.0,10.23,16.58,17.13,7.0,0.030591968,0.153556881,0.05482891,0.06576081,0.304738568,Pre-GFC,1,0.035304594,0.118589911,0.063275889,0.079880572,0.297050966,0.277355822
2002,637,1674,1351,1314,19511,42468,156365,88715,100435,1559773,182945,212474,224378,172589,1425330,2062193,0.088713811,0.108805529,0.103033033,0.083691973,834431,18.52,1517,1857687,81.91144708,0.041354831,81.91144708,81.91144708,0.0,1517,1517.0,0.0,10.46,17.13,17.81,7.38,0.027227039,0.100248562,0.056876866,0.06439078,0.248743247,Pre-GFC,1,0.03264825,0.085797755,0.069242991,0.067346625,0.255035621,0.233509302
2003,673,1392,1362,1114,19478,46330,124275,99733,81346,1602504,225136,190701,232289,204720,1446790,2104425,0.106982192,0.110381221,0.090619053,0.09728073,834277,18.46,1556,1855951,84.29035753,0.029042466,84.29035753,84.29035753,0.0,1556,1556.0,0.0,10.59,17.87,18.28,7.28,0.028911004,0.077550508,0.062235726,0.050761808,0.219459047,Pre-GFC,1,0.034551802,0.071465243,0.069925044,0.05719273,0.233134819,0.234829038
2004,602,1779,1359,1133,19264,46096,179023,103505,89242,1639165,204954,219688,231105,171909,1474969,2127574,0.096332254,0.108623719,0.103257513,0.08080048,861501,18.25,1593,1897242,87.28767123,0.03555939,87.28767123,87.28767123,0.0,1593,1593.0,0.0,10.5,18.74,19.23,6.95,0.028121635,0.109215973,0.063144955,0.054443573,0.254926136,Pre-GFC,1,0.03125,0.092348422,0.070546096,0.058814369,0.252958887,0.264067691
2005,530,1634,1137,1130,19292,36450,153780,83195,88596,1665059,197332,224769,222919,162606,1514896,2152914,0.091658097,0.103542919,0.10440222,0.07552833,856496,18.31,1629,1928083,88.96777717,0.019247918,88.96777717,88.96777717,0.0,1629,1629.0,0.0,10.57,19.47,20.43,6.94,0.021891116,0.092357088,0.049965196,0.053208925,0.217422326,Pre-GFC,1,0.027472527,0.084698321,0.058936347,0.058573502,0.229680697,0.228229318
2006,540,1682,1082,1277,19447,37655,167538,80384,95356,1694217,210153,277068,211689,217079,1469112,2201319,0.095466854,0.096164618,0.125864538,0.09861315,852964,18.39,1657,1961693,90.10331702,0.012763496,90.10331702,90.10331702,0.0,1657,1657.0,0.0,10.68,20.23,21.32,6.92,0.022225606,0.098888159,0.047446106,0.056283227,0.224843099,Pre-GFC,1,0.027767779,0.08649149,0.055638402,0.065665655,0.235563326,0.227592945
2007,603,1582,1187,1091,19610,43540,160516,86834,85154,1770777,231754,287170,292564,205030,1477714,2294533,0.101002688,0.127504813,0.125154007,0.089355873,863638,18.5,1727,2031817,93.35135135,0.036047889,93.35135135,93.35135135,0.0,1727,1727.0,0.0,10.76,20.84,21.83,6.92,0.024588076,0.090647213,0.049037231,0.048088494,0.212361014,Pre-GFC,1,0.030749618,0.080673126,0.060530342,0.05563488,0.227587965,0.21927588
2008,431,1722,1261,1168,19615,32117,168836,96829,92174,1813046,165875,322259,277503,214858,1385598,2229430,0.074402426,0.124472623,0.14454771,0.096373513,904598,18.61,1781,2030407,95.70123589,0.025172475,95.70123589,95.70123589,0.0,1781,1781.0,0.0,10.94,21.61,22.68,6.89,0.017714388,0.093122844,0.053406808,0.050839306,0.215083346,Pre-GFC,1,0.02197298,0.087789957,0.064287535,0.059546266,0.233596737,0.23334183
2009,399,1582,1112,1594,19573,30188,161734,83565,144287,1860876,148392,269261,251412,218573,1388291,2158706,0.068741181,0.116464215,0.124732594,0.101251861,919136,18.55,1831,1976143,98.70619946,0.031399423,98.70619946,98.70619946,0.0,1831,1831.0,0.0,11.48,22.38,23.7,7.25,0.016222467,0.08691283,0.04490627,0.077537138,0.225578706,Pre-GFC,1,0.020385225,0.080825627,0.056812957,0.081438717,0.239462525,0.241608338
2010,415,1190,941,1178,19035,30749,117871,74913,105543,1836399,158675,218606,227411,226612,1396534,2105199,0.075372922,0.108023517,0.103841015,0.10764398,917525,17.91,1806,1911159,100.8375209,0.02159258,100.8375209,101.1976599,0.003571478,1806,1812.450089,6.450089111,12.0,23.19,24.5,7.85,0.016744183,0.064185942,0.040793422,0.057472804,0.179196351,Post-GFC,1,0.021801944,0.062516417,0.049435251,0.061885999,0.195639611,0.223903336
