Date,Private sector - total,Public sector - total,Private sector - regular,Public sector - regular
Jan to Mar 2001,6.8,3.2,4.1,3.4
Feb to Apr 2001,6.7,4.2,4.5,4.5
Mar to May 2001,5.1,5.3,4.8,5.6
Apr to Jun 2001,5.4,5.8,4.8,6.1
May to Jul 2001,5.1,5.8,4.8,6.1
Jun to Aug 2001,5.1,6.0,5.1,6.2
Jul to Sep 2001,4.5,6.2,5.0,6.4
Aug to Oct 2001,4.4,6.2,4.7,6.3
Sep to Nov 2001,4.2,5.7,4.5,5.9
Oct to Dec 2001,3.8,5.5,4.4,5.6
Nov to Jan 2002,3.5,5.1,4.4,5.2
Dec to Feb 2002,2.9,4.9,4.7,4.9
Jan to Mar 2002,2.9,4.6,4.9,4.6
Feb to Apr 2002,2.9,4.2,4.8,4.2
Mar to May 2002,3.2,4.0,4.5,3.9
Apr to Jun 2002,3.5,3.7,4.4,3.6
May to Jul 2002,3.7,3.8,4.3,3.7
Jun to Aug 2002,3.6,3.3,4.0,3.3
Jul to Sep 2002,3.4,3.2,3.5,3.1
Aug to Oct 2002,3.0,3.0,3.2,3.0
Sep to Nov 2002,2.7,3.7,3.0,3.6
Oct to Dec 2002,2.3,4.3,2.7,4.1
Nov to Jan 2003,2.1,4.5,2.8,4.3
Dec to Feb 2003,1.8,4.5,2.7,4.3
Jan to Mar 2003,2.7,4.2,2.6,4.3
Feb to Apr 2003,2.9,4.3,2.5,4.4
Mar to May 2003,3.2,4.1,2.7,4.3
Apr to Jun 2003,2.4,4.4,2.7,4.4
May to Jul 2003,2.3,4.4,2.6,4.5
Jun to Aug 2003,2.2,5.3,2.5,5.2
Jul to Sep 2003,2.5,5.5,2.7,5.6
Aug to Oct 2003,3.0,5.6,3.0,5.7
Sep to Nov 2003,3.4,5.0,3.2,5.2
Oct to Dec 2003,3.6,4.7,3.6,4.8
Nov to Jan 2004,3.8,4.6,3.5,4.6
Dec to Feb 2004,3.7,4.6,3.3,4.5
Jan to Mar 2004,3.6,4.5,3.0,4.4
Feb to Apr 2004,3.6,4.6,3.0,4.5
Mar to May 2004,4.0,4.7,3.2,4.6
Apr to Jun 2004,4.2,4.6,3.3,4.7
May to Jul 2004,4.4,4.3,3.4,4.4
Jun to Aug 2004,4.4,3.9,3.7,4.0
Jul to Sep 2004,4.6,3.8,3.7,3.9
Aug to Oct 2004,4.7,4.1,3.8,4.1
Sep to Nov 2004,4.8,4.4,3.6,4.4
Oct to Dec 2004,4.9,4.4,3.8,4.4
Nov to Jan 2005,4.7,4.6,3.8,4.5
Dec to Feb 2005,5.1,4.5,4.1,4.5
Jan to Mar 2005,4.8,4.9,4.1,4.9
Feb to Apr 2005,4.6,5.0,4.1,5.0
Mar to May 2005,4.0,5.4,4.0,5.5
Apr to Jun 2005,3.9,5.4,3.8,5.4
May to Jul 2005,4.1,5.5,3.9,5.4
Jun to Aug 2005,4.5,5.6,4.1,5.1
Jul to Sep 2005,4.7,5.7,4.2,5.1
Aug to Oct 2005,4.5,5.5,4.2,5.0
Sep to Nov 2005,4.4,5.2,4.1,5.2
Oct to Dec 2005,4.2,4.9,3.8,5.3
Nov to Jan 2006,4.0,4.8,3.8,5.2
Dec to Feb 2006,4.4,4.9,3.8,5.2
Jan to Mar 2006,5.0,4.5,3.9,4.5
Feb to Apr 2006,5.6,4.2,4.0,4.0
Mar to May 2006,5.4,3.5,4.1,3.1
Apr to Jun 2006,5.5,3.6,4.4,3.0
May to Jul 2006,5.4,3.5,4.2,3.1
Jun to Aug 2006,5.0,3.3,3.9,3.3
Jul to Sep 2006,4.3,3.0,3.7,3.0
Aug to Oct 2006,4.3,2.8,4.0,2.8
Sep to Nov 2006,4.5,2.8,4.2,2.8
Oct to Dec 2006,5.3,2.9,4.4,2.9
Nov to Jan 2007,6.1,3.2,4.2,3.1
Dec to Feb 2007,7.2,3.1,4.1,3.1
Jan to Mar 2007,6.5,3.3,4.1,3.3
Feb to Apr 2007,5.7,3.1,4.2,3.2
Mar to May 2007,4.7,3.5,4.3,3.6
Apr to Jun 2007,4.7,3.4,4.3,3.4
May to Jul 2007,4.9,3.3,4.7,3.2
Jun to Aug 2007,5.1,3.2,4.9,3.1
Jul to Sep 2007,5.7,3.2,5.1,3.2
Aug to Oct 2007,5.4,3.3,4.7,3.3
Sep to Nov 2007,5.3,3.3,4.5,3.2
Oct to Dec 2007,4.3,3.2,4.3,3.2
Nov to Jan 2008,4.1,3.2,4.4,3.2
Dec to Feb 2008,3.8,3.3,4.3,3.3
Jan to Mar 2008,4.4,3.4,4.4,3.4
Feb to Apr 2008,4.7,3.8,4.4,3.9
Mar to May 2008,4.8,3.7,4.2,4.0
Apr to Jun 2008,4.3,3.4,4.0,3.7
May to Jul 2008,3.8,3.4,3.5,3.6
Jun to Aug 2008,3.2,3.5,3.3,3.5
Jul to Sep 2008,2.8,3.9,3.2,3.8
Aug to Oct 2008,2.9,3.7,3.3,3.7
Sep to Nov 2008,2.6,3.7,3.2,3.6
Oct to Dec 2008,2.6,3.5,3.2,3.4
Nov to Jan 2009,1.9,3.3,3.0,3.2
Dec to Feb 2009,-0.5,3.1,2.8,3.1
Jan to Mar 2009,-3.5,2.7,2.4,2.8
Feb to Apr 2009,-3.6,2.7,2.0,2.7
Mar to May 2009,-1.8,2.6,1.9,2.8
Apr to Jun 2009,0.3,3.3,1.6,3.5
May to Jul 2009,-0.1,3.4,1.3,3.8
Jun to Aug 2009,-0.2,3.7,0.8,4.0
Jul to Sep 2009,-0.4,3.6,0.5,3.8
Aug to Oct 2009,-0.5,3.7,0.3,3.8
Sep to Nov 2009,-0.6,3.8,0.2,3.8
Oct to Dec 2009,-0.5,3.6,0.2,3.9
Nov to Jan 2010,-0.3,3.7,0.5,4.0
Dec to Feb 2010,1.8,3.7,0.7,4.0
