Iteration,Value,Agent
0,786.4921465968587,DQN
1,2170.0714285714284,DQN
2,2366.0407239819006,DQN
3,1109.2307692307693,DQN
4,196.28125,DQN
5,105.69444444444444,DQN
6,119.90445859872611,DQN
7,131.78571428571428,DQN
8,2343.623188405797,DQN
9,2963.7974683544303,DQN
10,3003.677248677249,DQN
11,2977.78801843318,DQN
12,3031.6163793103447,DQN
13,3041.8627450980393,DQN
14,3109.5724907063195,DQN
15,3094.726775956284,DQN
16,3107.5438596491226,DQN
17,3108.212121212121,DQN
18,3067.662721893491,DQN
19,3210.1098901098903,DQN
20,3283.235294117647,DQN
21,3742.3347107438017,DQN
22,4569.950819672131,DQN
23,4112.047101449275,DQN
24,4301.920289855072,DQN
25,3496.4356435643563,DQN
26,6029.943181818182,DQN
27,6360.157342657342,DQN
28,7547.102803738318,DQN
29,7655.314465408805,DQN
30,7614.433333333333,DQN
31,8169.8626373626375,DQN
32,10650.781990521327,DQN
33,10907.5,DQN
34,10488.787878787878,DQN
35,11320.902255639097,DQN
36,12649.20634920635,DQN
37,12143.774834437087,DQN
38,12810.94696969697,DQN
39,12973.155737704918,DQN
40,13064.728682170542,DQN
41,12746.984732824427,DQN
42,12888.58024691358,DQN
43,13018.291139240506,DQN
44,13134.273255813954,DQN
45,13199.45652173913,DQN
46,13246.951871657753,DQN
47,13101.638888888889,DQN
48,12958.21052631579,DQN
49,13235.755208333334,DQN
50,13157.122905027933,DQN
51,13350.233918128655,DQN
52,13332.857142857143,DQN
53,13134.065420560748,DQN
54,13254.954128440368,DQN
55,13296.305309734513,DQN
56,13188.139013452916,DQN
57,13227.47641509434,DQN
58,13353.981900452489,DQN
59,13231.40350877193,DQN
60,13427.04128440367,DQN
61,13381.056034482759,DQN
62,13402.737068965518,DQN
63,13614.299516908213,DQN
64,13582.640186915887,DQN
65,13542.677824267783,DQN
66,13571.533613445377,DQN
67,13618.293172690763,DQN
68,13746.288888888888,DQN
69,13709.484978540773,DQN
70,13607.967479674797,DQN
