Year,Value,type,datype,Val2,pct_tote
946684800000,0.8186581284,zh,Percentage,27484,0.0081865813
978307200000,0.6351039261,zh,Percentage,27712,0.0063510393
1009843200000,0.5582593759,zh,Percentage,27944,0.0055825938
1041379200000,0.4393891074,zh,Percentage,28221,0.0043938911
1072915200000,0.3785488959,zh,Percentage,28530,0.003785489
1104537600000,0.4124783362,zh,Percentage,28850,0.0041247834
1136073600000,0.5044958473,zh,Percentage,29138,0.0050449585
1167609600000,0.5650486759,zh,Percentage,29378,0.0056504868
1199145600000,0.4826515458,zh,Percentage,29628,0.0048265155
1230768000000,0.6482370696,zh,Percentage,29156,0.0064823707
1262304000000,0.574791296,zh,Percentage,29228,0.005747913
1293840000000,0.6467424603,zh,Percentage,29378,0.0064674246
1325376000000,0.8485705627,zh,Percentage,29697,0.0084857056
1356998400000,1.9472090004,zh,Percentage,30043,0.01947209
1388534400000,2.0290043572,zh,Percentage,30754,0.0202900436
1420070400000,2.3845293272,zh,Percentage,31285,0.0238452933
1451606400000,2.8477822581,zh,Percentage,31744,0.0284778226
1483228800000,2.7544686028,zh,Percentage,32057,0.027544686
1514764800000,2.4075957952,zh,Percentage,32439,0.024075958
1546300800000,2.7317906034,zh,Percentage,32799,0.027317906
1577836800000,3.2883201575,zh,Percentage,32509,0.0328832016
1609459200000,2.8358070787,zh,Percentage,32407,0.0283580708
1640995200000,3.151722453,zh,Percentage,32744,0.0315172245
946684800000,27484,total,Total,27484,1
978307200000,27712,total,Total,27712,1
1009843200000,27944,total,Total,27944,1
1041379200000,28221,total,Total,28221,1
1072915200000,28530,total,Total,28530,1
1104537600000,28850,total,Total,28850,1
1136073600000,29138,total,Total,29138,1
1167609600000,29378,total,Total,29378,1
1199145600000,29628,total,Total,29628,1
1230768000000,29156,total,Total,29156,1
1262304000000,29228,total,Total,29228,1
1293840000000,29378,total,Total,29378,1
1325376000000,29697,total,Total,29697,1
1356998400000,30043,total,Total,30043,1
1388534400000,30754,total,Total,30754,1
1420070400000,31285,total,Total,31285,1
1451606400000,31744,total,Total,31744,1
1483228800000,32057,total,Total,32057,1
1514764800000,32439,total,Total,32439,1
1546300800000,32799,total,Total,32799,1
1577836800000,32509,total,Total,32509,1
1609459200000,32407,total,Total,32407,1
1640995200000,32744,total,Total,32744,1
946684800000,225,zh,Total,27484,0.0081865813
978307200000,176,zh,Total,27712,0.0063510393
1009843200000,156,zh,Total,27944,0.0055825938
1041379200000,124,zh,Total,28221,0.0043938911
1072915200000,108,zh,Total,28530,0.003785489
1104537600000,119,zh,Total,28850,0.0041247834
1136073600000,147,zh,Total,29138,0.0050449585
1167609600000,166,zh,Total,29378,0.0056504868
1199145600000,143,zh,Total,29628,0.0048265155
1230768000000,189,zh,Total,29156,0.0064823707
1262304000000,168,zh,Total,29228,0.005747913
1293840000000,190,zh,Total,29378,0.0064674246
1325376000000,252,zh,Total,29697,0.0084857056
1356998400000,585,zh,Total,30043,0.01947209
1388534400000,624,zh,Total,30754,0.0202900436
1420070400000,746,zh,Total,31285,0.0238452933
1451606400000,904,zh,Total,31744,0.0284778226
1483228800000,883,zh,Total,32057,0.027544686
1514764800000,781,zh,Total,32439,0.024075958
1546300800000,896,zh,Total,32799,0.027317906
1577836800000,1069,zh,Total,32509,0.0328832016
1609459200000,919,zh,Total,32407,0.0283580708
1640995200000,1032,zh,Total,32744,0.0315172245
