year,DP type,Value
2010,Refugees,10548835
2010,Asylum Seekers,835969
2010,Internally Displaced People,14697804
2011,Refugees,10403937
2011,Asylum Seekers,895691
2011,Internally Displaced People,15473378
2012,Refugees,10497017
2012,Asylum Seekers,941497
2012,Internally Displaced People,17670368
2013,Refugees,11698233
2013,Asylum Seekers,1162934
2013,Internally Displaced People,23925555
2014,Refugees,14384289
2014,Asylum Seekers,1794704
2014,Internally Displaced People,32274619
2015,Refugees,16110276
2015,Asylum Seekers,3223460
2015,Internally Displaced People,37494172
2016,Refugees,17184286
2016,Asylum Seekers,2729521
2016,Internally Displaced People,36627127
2017,Refugees,19940566
2017,Asylum Seekers,3089507
2017,Internally Displaced People,39118516
2018,Refugees,20359553
2018,Asylum Seekers,3501629
2018,Internally Displaced People,41425168
2019,Refugees,20414669
2019,Asylum Seekers,4148141
2019,Internally Displaced People,43503362
2020,Refugees,20661846
2020,Asylum Seekers,4184926
2020,Internally Displaced People,48557439
2021,Refugees,21327285
2021,Asylum Seekers,4616134
2021,Internally Displaced People,51322623
