scenario,t,y
Base,1970-01-01 00:00:00,0.9982090836261924
Base,1970-01-01 00:15:00,0.9996308422701288
Base,1970-01-01 00:30:00,0.9997964906789032
Base,1970-01-01 00:45:00,0.9997641641188622
Base,1970-01-01 01:00:00,0.99988735317668
Base,1970-01-01 01:15:00,0.999623427913108
Base,1970-01-01 01:30:00,0.99941401457694
Base,1970-01-01 01:45:00,0.9996968649541212
Base,1970-01-01 02:00:00,0.9995145750660216
Base,1970-01-01 02:15:00,0.9993537011142176
Base,1970-01-01 02:30:00,0.9992834224446436
Base,1970-01-01 02:45:00,0.999401122396624
Base,1970-01-01 03:00:00,0.9988947485334232
Base,1970-01-01 03:15:00,0.9987288607222664
Base,1970-01-01 03:30:00,0.9988471482750608
Base,1970-01-01 03:45:00,0.99864845477356
Base,1970-01-01 04:00:00,0.9979758047439452
Base,1970-01-01 04:15:00,0.9977435002679704
Base,1970-01-01 04:30:00,0.9962645383059388
Base,1970-01-01 04:45:00,0.9946250713710464
Base,1970-01-01 05:00:00,0.9887370226295368
Base,1970-01-01 05:15:00,0.9778227747387248
Base,1970-01-01 05:30:00,0.9536079279588624
Base,1970-01-01 05:45:00,0.9266488714174336
Base,1970-01-01 06:00:00,0.9191152961702374
Base,1970-01-01 06:15:00,0.9266834450568966
Base,1970-01-01 06:30:00,0.9230057912942712
Base,1970-01-01 06:45:00,0.9241881140488836
Base,1970-01-01 07:00:00,0.925496819482844
Base,1970-01-01 07:15:00,0.925033696436922
Base,1970-01-01 07:30:00,0.9231654304224884
Base,1970-01-01 07:45:00,0.9183423559189532
Base,1970-01-01 08:00:00,0.9201420530384848
Base,1970-01-01 08:15:00,0.9198242973670776
Base,1970-01-01 08:30:00,0.9166798393336728
Base,1970-01-01 08:45:00,0.9106741981641118
Base,1970-01-01 09:00:00,0.9134316562515272
Base,1970-01-01 09:15:00,0.9181564258145
Base,1970-01-01 09:30:00,0.9214373945661544
Base,1970-01-01 09:45:00,0.9224584917081756
Base,1970-01-01 10:00:00,0.9224221410320598
Base,1970-01-01 10:15:00,0.9254419040382456
Base,1970-01-01 10:30:00,0.9288906672596396
Base,1970-01-01 10:45:00,0.9257934157948702
Base,1970-01-01 11:00:00,0.9269396155449494
Base,1970-01-01 11:15:00,0.925955791259937
Base,1970-01-01 11:30:00,0.925121719918795
Base,1970-01-01 11:45:00,0.9224509247686428
Base,1970-01-01 12:00:00,0.9228807411538074
Base,1970-01-01 12:15:00,0.9208192787210456
Base,1970-01-01 12:30:00,0.9166389850938194
Base,1970-01-01 12:45:00,0.9135687550629285
Base,1970-01-01 13:00:00,0.9136630051584536
Base,1970-01-01 13:15:00,0.9158708457432376
Base,1970-01-01 13:30:00,0.9119398624542614
Base,1970-01-01 13:45:00,0.9115034529119947
Base,1970-01-01 14:00:00,0.9126606670613254
Base,1970-01-01 14:15:00,0.9115972477420154
Base,1970-01-01 14:30:00,0.9076721745581512
Base,1970-01-01 14:45:00,0.9084043169840816
Base,1970-01-01 15:00:00,0.9087367035465946
Base,1970-01-01 15:15:00,0.9058937787515218
Base,1970-01-01 15:30:00,0.9069778939808144
Base,1970-01-01 15:45:00,0.9066915404513404
Base,1970-01-01 16:00:00,0.9040533338838144
Base,1970-01-01 16:15:00,0.9025946047215058
Base,1970-01-01 16:30:00,0.9046026912157752
Base,1970-01-01 16:45:00,0.9047577129173794
Base,1970-01-01 17:00:00,0.9058450070259152
Base,1970-01-01 17:15:00,0.9088585306640642
Base,1970-01-01 17:30:00,0.9100100686897128
Base,1970-01-01 17:45:00,0.9137404622002784
