LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,GDPHRWKD,TOT,USD,A,1970,27.859639,
AUS,GDPHRWKD,TOT,USD,A,1971,28.555981,
AUS,GDPHRWKD,TOT,USD,A,1972,29.18443,
AUS,GDPHRWKD,TOT,USD,A,1973,29.785706,
AUS,GDPHRWKD,TOT,USD,A,1974,29.311577,
AUS,GDPHRWKD,TOT,USD,A,1975,30.396437,
AUS,GDPHRWKD,TOT,USD,A,1976,30.903851,
AUS,GDPHRWKD,TOT,USD,A,1977,30.868929,
AUS,GDPHRWKD,TOT,USD,A,1978,32.171347,
AUS,GDPHRWKD,TOT,USD,A,1979,32.327506,
AUS,GDPHRWKD,TOT,USD,A,1980,32.674105,
AUS,GDPHRWKD,TOT,USD,A,1981,33.639549,
AUS,GDPHRWKD,TOT,USD,A,1982,34.060317,
AUS,GDPHRWKD,TOT,USD,A,1983,34.91334,
AUS,GDPHRWKD,TOT,USD,A,1984,35.677016,
AUS,GDPHRWKD,TOT,USD,A,1985,34.426948,
AUS,GDPHRWKD,TOT,USD,A,1986,34.446506,
AUS,GDPHRWKD,TOT,USD,A,1987,35.181674,
AUS,GDPHRWKD,TOT,USD,A,1988,35.071034,
AUS,GDPHRWKD,TOT,USD,A,1989,35.18574,
AUS,GDPHRWKD,TOT,USD,A,1990,35.739134,
AUS,GDPHRWKD,TOT,USD,A,1991,36.554685,
AUS,GDPHRWKD,TOT,USD,A,1992,37.673202,
AUS,GDPHRWKD,TOT,USD,A,1993,37.756041,
AUS,GDPHRWKD,TOT,USD,A,1994,37.822945,
AUS,GDPHRWKD,TOT,USD,A,1995,38.965823,
AUS,GDPHRWKD,TOT,USD,A,1996,40.337064,
AUS,GDPHRWKD,TOT,USD,A,1997,41.688593,
AUS,GDPHRWKD,TOT,USD,A,1998,43.05628,
AUS,GDPHRWKD,TOT,USD,A,1999,43.43655,
AUS,GDPHRWKD,TOT,USD,A,2000,43.881409,
AUS,GDPHRWKD,TOT,USD,A,2001,45.412233,
AUS,GDPHRWKD,TOT,USD,A,2002,46.044236,
AUS,GDPHRWKD,TOT,USD,A,2003,47.035806,
AUS,GDPHRWKD,TOT,USD,A,2004,46.900983,
AUS,GDPHRWKD,TOT,USD,A,2005,47.093749,
AUS,GDPHRWKD,TOT,USD,A,2006,47.366355,
AUS,GDPHRWKD,TOT,USD,A,2007,47.939074,
AUS,GDPHRWKD,TOT,USD,A,2008,49.624367,
AUS,GDPHRWKD,TOT,USD,A,2009,49.144573,
AUS,GDPHRWKD,TOT,USD,A,2010,49.954717,
AUS,GDPHRWKD,TOT,USD,A,2011,50.542506,
AUS,GDPHRWKD,TOT,USD,A,2012,51.752995,
AUS,GDPHRWKD,TOT,USD,A,2013,52.618353,
AUS,GDPHRWKD,TOT,USD,A,2014,52.861423,
AUS,GDPHRWKD,TOT,USD,A,2015,54.203308,
AUS,GDPHRWKD,TOT,USD,A,2016,54.058517,
AUS,GDPHRWKD,TOT,USD,A,2017,54.71063,
AUS,GDPHRWKD,TOT,USD,A,2018,54.71286,E
AUS,GDPHRWKD,TOT,USD,A,2019,55.245375,E
AUS,GDPHRWKD,TOT,USD,A,2020,53.623684,E
AUT,GDPHRWKD,TOT,USD,A,1995,51.105772,
