symbol,date,price
GBP,22/01/2018,6.45909927
GBP,23/01/2018,6.580039653
GBP,24/01/2018,6.562344305
GBP,25/01/2018,7.734385852
GBP,26/01/2018,8.204259134
GBP,29/01/2018,8.254929614
GBP,30/01/2018,8.572419069
GBP,31/01/2018,8.62106709
GBP,01/02/2018,8.503770156
GBP,02/02/2018,7.980705776
GBP,05/02/2018,9.251848115
GBP,06/02/2018,10.42726136
GBP,07/02/2018,10.41120063
GBP,08/02/2018,10.60026102
GBP,09/02/2018,10.59662
GBP,12/02/2018,11.060328
GBP,13/02/2018,10.00698519
GBP,14/02/2018,9.914762601
GBP,15/02/2018,10.38438823
GBP,16/02/2018,10.55289489
GBP,19/02/2018,10.65724739
GBP,20/02/2018,10.71453902
GBP,21/02/2018,10.46491813
GBP,22/02/2018,10.66956894
GBP,23/02/2018,9.329234171
GBP,26/02/2018,9.231334525
GBP,27/02/2018,9.231039464
GBP,28/02/2018,9.184749721
GBP,01/03/2018,9.565393454
GBP,02/03/2018,9.485643142
GBP,05/03/2018,9.287610784
GBP,06/03/2018,8.833644947
GBP,07/03/2018,7.970452218
GBP,08/03/2018,7.961248998
GBP,09/03/2018,8.11391215
GBP,12/03/2018,8.088033232
GBP,13/03/2018,7.7224609
GBP,14/03/2018,7.854751681
GBP,15/03/2018,7.819024005
GBP,16/03/2018,7.150431916
GBP,19/03/2018,6.750030289
GBP,20/03/2018,6.877255608
GBP,21/03/2018,6.825794668
GBP,22/03/2018,7.657465023
GBP,23/03/2018,7.298825088
GBP,26/03/2018,7.272633405
GBP,27/03/2018,7.542712825
GBP,28/03/2018,7.759795721
GBP,29/03/2018,8.004409474
GBP,30/03/2018,7.007802462
GBP,02/04/2018,7.005103522
GBP,03/04/2018,7.00317007
GBP,04/04/2018,6.90693295
GBP,05/04/2018,6.841851928
GBP,06/04/2018,7.180828586
GBP,09/04/2018,6.863747717
GBP,10/04/2018,6.850405652
GBP,11/04/2018,6.820096715
GBP,12/04/2018,6.685847518
GBP,13/04/2018,6.743966073
GBP,16/04/2018,6.640851657
GBP,17/04/2018,6.912367896
GBP,18/04/2018,6.878350926
GBP,19/04/2018,7.302055867
GBP,20/04/2018,7.10169568
GBP,23/04/2018,7.356667351
GBP,24/04/2018,7.422036701
GBP,25/04/2018,7.169336782
GBP,26/04/2018,7.140262646
GBP,27/04/2018,6.806883838
GBP,30/04/2018,7.606958956
GBP,01/05/2018,7.595546821
GBP,02/05/2018,8.465997746
GBP,03/05/2018,8.398659111
GBP,04/05/2018,8.345428344
GBP,07/05/2018,8.240018933
GBP,08/05/2018,7.949180441
GBP,09/05/2018,7.734886873
GBP,10/05/2018,7.528884934
GBP,11/05/2018,7.47040175
GBP,14/05/2018,7.364531507
GBP,15/05/2018,7.365801748
GBP,16/05/2018,6.62696202
GBP,17/05/2018,6.989581816
GBP,18/05/2018,6.8433967
