Year,Series,Income,View
2021,20th,28007,by Percentile
2020,20th,28544,by Percentile
2019,20th,29762,by Percentile
2018,20th,27621,by Percentile
2017,20th,27435,by Percentile
2017,20th,27231,by Percentile
2016,20th,27099,by Percentile
2015,20th,26074,by Percentile
2014,20th,24552,by Percentile
2013,20th,24464,by Percentile
2013,20th,24348,by Percentile
2012,20th,24353,by Percentile
2011,20th,24462,by Percentile
2010,20th,24906,by Percentile
2009,20th,25891,by Percentile
2008,20th,26127,by Percentile
2007,20th,26579,by Percentile
2006,20th,26988,by Percentile
2005,20th,26671,by Percentile
2004,20th,26580,by Percentile
2003,20th,26557,by Percentile
2002,20th,27057,by Percentile
2001,20th,27566,by Percentile
2000,20th,28272,by Percentile
1999,20th,27953,by Percentile
1998,20th,26849,by Percentile
1997,20th,26003,by Percentile
1996,20th,25475,by Percentile
1995,20th,25502,by Percentile
1994,20th,24350,by Percentile
1993,20th,24009,by Percentile
1992,20th,23917,by Percentile
1991,20th,24494,by Percentile
1990,20th,25202,by Percentile
1989,20th,25590,by Percentile
1988,20th,25132,by Percentile
1987,20th,24709,by Percentile
1986,20th,24250,by Percentile
1985,20th,23938,by Percentile
1984,20th,23661,by Percentile
1983,20th,23216,by Percentile
1982,20th,22723,by Percentile
1981,20th,23016,by Percentile
1980,20th,23475,by Percentile
1979,20th,24436,by Percentile
1978,20th,24146,by Percentile
1977,20th,23417,by Percentile
1976,20th,23467,by Percentile
1975,20th,22957,by Percentile
1974,20th,24149,by Percentile
1973,20th,24033,by Percentile
1972,20th,23522,by Percentile
1971,20th,22732,by Percentile
1970,20th,23028,by Percentile
1969,20th,23422,by Percentile
1968,20th,22742,by Percentile
1967,20th,21337,by Percentile
2021,40th,55000,by Percentile
2020,40th,55044,by Percentile
2019,40th,56700,by Percentile
2018,40th,53948,by Percentile
2017,40th,52188,by Percentile
2017,40th,52069,by Percentile
2016,40th,51484,by Percentile
2015,40th,49759,by Percentile
2014,40th,47181,by Percentile
2013,40th,47804,by Percentile
2013,40th,46816,by Percentile
2012,40th,47010,by Percentile
2011,40th,46504,by Percentile
2010,40th,47322,by Percentile
2009,40th,48799,by Percentile
2008,40th,49197,by Percentile
2007,40th,51218,by Percentile
2006,40th,50884,by Percentile
2005,40th,50066,by Percentile
2004,40th,49857,by Percentile
2003,40th,50207,by Percentile
2002,40th,50407,by Percentile
2001,40th,51105,by Percentile
2000,40th,52064,by Percentile
1999,40th,52069,by Percentile
1998,40th,50659,by Percentile
1997,40th,49305,by Percentile
1996,40th,47887,by Percentile
1995,40th,47664,by Percentile
1994,40th,45704,by Percentile
1993,40th,45693,by Percentile
1992,40th,45822,by Percentile
1991,40th,46689,by Percentile
1990,40th,47707,by Percentile
1989,40th,48659,by Percentile
1988,40th,47474,by Percentile
1987,40th,46901,by Percentile
1986,40th,46384,by Percentile
1985,40th,45039,by Percentile
1984,40th,44284,by Percentile
1983,40th,43169,by Percentile
1982,40th,43216,by Percentile
1981,40th,43027,by Percentile
1980,40th,44025,by Percentile
1979,40th,45381,by Percentile
1978,40th,45656,by Percentile
1977,40th,44106,by Percentile
1976,40th,43721,by Percentile
1975,40th,43086,by Percentile
1974,40th,44794,by Percentile
1973,40th,46213,by Percentile
1972,40th,45301,by Percentile
1971,40th,43334,by Percentile
1970,40th,44115,by Percentile
1969,40th,44945,by Percentile
1968,40th,43117,by Percentile
1967,40th,41607,by Percentile
2021,60th,89744,by Percentile
2020,60th,89534,by Percentile
2019,60th,91657,by Percentile
2018,60th,85823,by Percentile
2017,60th,85271,by Percentile
2017,60th,85715,by Percentile
2016,60th,84530,by Percentile
2015,60th,82340,by Percentile
2014,60th,78141,by Percentile
2013,60th,78286,by Percentile
2013,60th,76306,by Percentile
2012,60th,76350,by Percentile
2011,60th,75374,by Percentile
2010,60th,76587,by Percentile
2009,60th,78232,by Percentile
2008,60th,79125,by Percentile
2007,60th,81215,by Percentile
2006,60th,80824,by Percentile
2005,60th,80189,by Percentile
2004,60th,79412,by Percentile
2003,60th,80410,by Percentile
2002,60th,80286,by Percentile
2001,60th,81303,by Percentile
2000,60th,82315,by Percentile
1999,60th,82188,by Percentile
1998,60th,80528,by Percentile
1997,60th,77672,by Percentile
1996,60th,75912,by Percentile
1995,60th,74384,by Percentile
1994,60th,72727,by Percentile
1993,60th,71826,by Percentile
1992,60th,71941,by Percentile
1991,60th,72116,by Percentile
1990,60th,72985,by Percentile
1989,60th,74786,by Percentile
1988,60th,73984,by Percentile
1987,60th,73211,by Percentile
1986,60th,71988,by Percentile
1985,60th,69771,by Percentile
1984,60th,68226,by Percentile
1983,60th,66255,by Percentile
1982,60th,66031,by Percentile
1981,60th,66548,by Percentile
1980,60th,67494,by Percentile
1979,60th,69820,by Percentile
1978,60th,69080,by Percentile
1977,60th,67230,by Percentile
1976,60th,66601,by Percentile
1975,60th,65107,by Percentile
1974,60th,66190,by Percentile
1973,60th,68377,by Percentile
1972,60th,66953,by Percentile
1971,60th,63768,by Percentile
1970,60th,64165,by Percentile
1969,60th,65000,by Percentile
1968,60th,61801,by Percentile
1967,60th,59053,by Percentile
2021,80th,149131,by Percentile
2020,80th,148620,by Percentile
2019,80th,151017,by Percentile
2018,80th,140265,by Percentile
2017,80th,139930,by Percentile
2017,80th,140208,by Percentile
2016,80th,136633,by Percentile
2015,80th,133803,by Percentile
2014,80th,128603,by Percentile
2013,80th,128416,by Percentile
2013,80th,123381,by Percentile
2012,80th,123065,by Percentile
2011,80th,122636,by Percentile
2010,80th,124568,by Percentile
2009,80th,126586,by Percentile
2008,80th,126449,by Percentile
2007,80th,130991,by Percentile
2006,80th,130708,by Percentile
2005,80th,127537,by Percentile
2004,80th,126533,by Percentile
2003,80th,128275,by Percentile
2002,80th,126883,by Percentile
2001,80th,128091,by Percentile
2000,80th,129002,by Percentile
1999,80th,129246,by Percentile
1998,80th,124948,by Percentile
1997,80th,120730,by Percentile
1996,80th,117328,by Percentile
1995,80th,115333,by Percentile
1994,80th,113971,by Percentile
1993,80th,111646,by Percentile
1992,80th,110108,by Percentile
1991,80th,110419,by Percentile
1990,80th,111303,by Percentile
1989,80th,113628,by Percentile
1988,80th,111713,by Percentile
1987,80th,110647,by Percentile
1986,80th,108819,by Percentile
1985,80th,104934,by Percentile
1984,80th,103063,by Percentile
1983,80th,100129,by Percentile
1982,80th,98465,by Percentile
1981,80th,98387,by Percentile
1980,80th,98824,by Percentile
1979,80th,101234,by Percentile
1978,80th,100469,by Percentile
1977,80th,98014,by Percentile
1976,80th,95821,by Percentile
1975,80th,93483,by Percentile
1974,80th,96063,by Percentile
1973,80th,98449,by Percentile
1972,80th,95830,by Percentile
1971,80th,90927,by Percentile
1970,80th,91545,by Percentile
1969,80th,91069,by Percentile
1968,80th,86836,by Percentile
1967,80th,84210,by Percentile
2021,95th,286304,by Percentile
2020,95th,287841,by Percentile
2019,95th,286138,by Percentile
2018,95th,268368,by Percentile
2017,95th,269781,by Percentile
2017,95th,261985,by Percentile
2016,95th,254316,by Percentile
2015,95th,245257,by Percentile
2014,95th,236637,by Percentile
2013,95th,238967,by Percentile
2013,95th,228333,by Percentile
2012,95th,225989,by Percentile
2011,95th,224551,by Percentile
2010,95th,224761,by Percentile
2009,95th,227857,by Percentile
2008,95th,227063,by Percentile
2007,95th,231855,by Percentile
2006,95th,234405,by Percentile
2005,95th,230861,by Percentile
2004,95th,225959,by Percentile
2003,95th,227587,by Percentile
2002,95th,226536,by Percentile
2001,95th,230869,by Percentile
2000,95th,229113,by Percentile
1999,95th,231635,by Percentile
1998,95th,220240,by Percentile
1997,95th,213684,by Percentile
1996,95th,206210,by Percentile
1995,95th,200120,by Percentile
1994,95th,199175,by Percentile
1993,95th,193740,by Percentile
1992,95th,187959,by Percentile
1991,95th,187536,by Percentile
1990,95th,191028,by Percentile
1989,95th,194105,by Percentile
1988,95th,189100,by Percentile
1987,95th,185151,by Percentile
1986,95th,182475,by Percentile
1985,95th,173383,by Percentile
