Unnamed: 0,Year,Value,Type
0,1962,2.398,Social Security
1,1963,2.5,Social Security
2,1964,2.455,Social Security
3,1965,2.408,Social Security
4,1966,2.595,Social Security
5,1967,2.545,Social Security
6,1968,2.595,Social Security
7,1969,2.724,Social Security
8,1970,2.832,Social Security
9,1971,3.146,Social Security
10,1972,3.237,Social Security
11,1973,3.561,Social Security
12,1974,3.708,Social Security
13,1975,3.955,Social Security
14,1976,4.07,Social Security
15,1977,4.134,Social Security
16,1978,4.066,Social Security
17,1979,3.999,Social Security
18,1980,4.193,Social Security
19,1981,4.401,Social Security
20,1982,4.645,Social Security
21,1983,4.766,Social Security
22,1984,4.458,Social Security
23,1985,4.371,Social Security
24,1986,4.342,Social Security
25,1987,4.301,Social Security
26,1988,4.219,Social Security
27,1989,4.148,Social Security
28,1990,4.179,Social Security
29,1991,4.378,Social Security
30,1992,4.444,Social Security
31,1993,4.457,Social Security
32,1994,4.416,Social Security
33,1995,4.408,Social Security
34,1996,4.365,Social Security
35,1997,4.287,Social Security
36,1998,4.211,Social Security
37,1999,4.082,Social Security
38,2000,4.013,Social Security
39,2001,4.079,Social Security
40,2002,4.175,Social Security
41,2003,4.171,Social Security
42,2004,4.086,Social Security
43,2005,4.04,Social Security
44,2006,3.989,Social Security
45,2007,4.065,Social Security
46,2008,4.137,Social Security
47,2009,4.685,Social Security
48,2010,4.708,Social Security
49,2011,4.687,Social Security
50,2012,4.766,Social Security
51,2013,4.848,Social Security
52,2014,4.864,Social Security
53,2015,4.876,Social Security
54,2016,4.911,Social Security
55,2017,4.88,Social Security
56,2018,4.837,Social Security
57,2019,4.908,Social Security
58,2020,5.175,Social Security
59,2021,4.983,Social Security
60,2022,4.847,Social Security
0,1962,1.042,Income Security
1,1963,0.968,Income Security
2,1964,0.9,Income Security
3,1965,0.765,Income Security
4,1966,0.652,Income Security
5,1967,0.613,Income Security
6,1968,0.661,Income Security
7,1969,0.663,Income Security
8,1970,0.781,Income Security
9,1971,1.201,Income Security
10,1972,1.35,Income Security
11,1973,1.068,Income Security
12,1974,1.173,Income Security
13,1975,1.798,Income Security
14,1976,2.105,Income Security
15,1977,1.709,Income Security
16,1978,1.413,Income Security
17,1979,1.255,Income Security
18,1980,1.587,Income Security
19,1981,1.593,Income Security
20,1982,1.605,Income Security
21,1983,1.809,Income Security
22,1984,1.309,Income Security
23,1985,1.225,Income Security
24,1986,1.197,Income Security
25,1987,1.154,Income Security
26,1988,1.115,Income Security
27,1989,1.135,Income Security
28,1990,1.165,Income Security
29,1991,1.427,Income Security
30,1992,1.726,Income Security
31,1993,1.728,Income Security
