Date,date2,creditCard,mortgage_revertTo,mortgage_fixed2year,Unnamed: 5
31-Aug-22,2022-08-31,21.79,4.89,3.51,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling representative credit card lending to households (in percent) not seasonally adjusted              [a] [b] [c]             IUMCCTL
31-Jul-22,2022-07-31,21.66,4.55,3.43,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling revert-to-rate mortgage to households (in percent) not seasonally adjusted              [a] [b] [c]             IUMTLMV
30-Jun-22,2022-06-30,21.43,4.39,2.87,Monthly interest rate of UK monetary financial institutions (excl. Central Bank) sterling 2 year (60% LTV) fixed rate mortgage to households (in percent) not seasonally adjusted              [b] [c]             IUMZICQ
31-May-22,2022-05-31,21.38,4.26,2.55,
30-Apr-22,2022-04-30,21.41,4.11,2.25,
31-Mar-22,2022-03-31,21.42,3.99,2.01,
28-Feb-22,2022-02-28,21.44,3.84,1.65,
31-Jan-22,2022-01-31,21.43,3.67,1.42,
31-Dec-21,2021-12-31,21.42,3.61,1.39,
30-Nov-21,2021-11-30,21.42,3.59,1.35,
31-Oct-21,2021-10-31,21.48,3.6,1.13,
30-Sep-21,2021-09-30,21.45,3.61,1.13,
31-Aug-21,2021-08-31,21.45,3.61,1.1,
31-Jul-21,2021-07-31,21.49,3.61,1.16,
30-Jun-21,2021-06-30,21.49,3.61,1.17,
31-May-21,2021-05-31,21.49,3.61,1.21,
30-Apr-21,2021-04-30,21.3,3.61,1.24,
31-Mar-21,2021-03-31,21.15,3.62,1.29,
28-Feb-21,2021-02-28,21.02,3.62,1.3,
31-Jan-21,2021-01-31,20.99,3.62,1.33,
31-Dec-20,2020-12-31,20.9,3.62,1.35,
30-Nov-20,2020-11-30,20.92,3.62,1.4,
31-Oct-20,2020-10-31,20.91,3.64,1.49,
30-Sep-20,2020-09-30,20.72,3.65,1.46,
31-Aug-20,2020-08-31,20.56,3.65,1.41,
31-Jul-20,2020-07-31,20.56,3.66,1.32,
30-Jun-20,2020-06-30,20.54,3.65,1.3,
31-May-20,2020-05-31,20.58,3.65,1.32,
30-Apr-20,2020-04-30,20.63,3.66,1.32,
31-Mar-20,2020-03-31,20.78,4.1,1.31,
29-Feb-20,2020-02-29,20.77,4.26,1.3,
31-Jan-20,2020-01-31,20.77,4.27,1.3,
31-Dec-19,2019-12-31,20.77,4.27,1.3,
30-Nov-19,2019-11-30,20.33,4.27,1.29,
31-Oct-19,2019-10-31,19.62,4.27,1.31,
30-Sep-19,2019-09-30,20.01,4.29,1.38,
31-Aug-19,2019-08-31,20.01,4.29,1.44,
31-Jul-19,2019-07-31,20.01,4.29,1.49,
30-Jun-19,2019-06-30,19.99,4.29,1.56,
31-May-19,2019-05-31,20.0,4.29,1.56,
30-Apr-19,2019-04-30,19.92,4.31,1.6,
31-Mar-19,2019-03-31,19.83,4.31,1.59,
28-Feb-19,2019-02-28,19.73,4.31,1.61,
31-Jan-19,2019-01-31,18.67,4.48,1.65,
31-Dec-18,2018-12-31,18.66,4.4,1.61,
30-Nov-18,2018-11-30,18.69,4.41,1.67,
31-Oct-18,2018-10-31,18.38,4.45,1.64,
30-Sep-18,2018-09-30,18.46,4.39,1.65,
31-Aug-18,2018-08-31,18.47,4.35,1.7,
31-Jul-18,2018-07-31,18.35,4.1,1.73,
30-Jun-18,2018-06-30,18.26,4.06,1.68,
31-May-18,2018-05-31,18.24,4.16,1.69,
30-Apr-18,2018-04-30,18.26,4.17,1.73,
31-Mar-18,2018-03-31,17.92,4.14,1.52,
28-Feb-18,2018-02-28,17.92,4.23,1.45,
31-Jan-18,2018-01-31,17.92,4.21,1.42,
31-Dec-17,2017-12-31,17.95,4.54,1.41,
30-Nov-17,2017-11-30,17.96,4.34,1.45,
31-Oct-17,2017-10-31,17.95,4.31,1.44,
30-Sep-17,2017-09-30,17.97,4.31,1.23,
31-Aug-17,2017-08-31,17.96,4.32,1.24,
31-Jul-17,2017-07-31,17.96,4.51,1.23,
30-Jun-17,2017-06-30,17.96,4.28,1.38,
31-May-17,2017-05-31,17.89,4.23,1.29,
30-Apr-17,2017-04-30,17.97,4.54,1.24,
31-Mar-17,2017-03-31,17.96,4.28,1.28,
28-Feb-17,2017-02-28,17.96,4.37,1.35,
31-Jan-17,2017-01-31,17.96,4.49,1.33,
31-Dec-16,2016-12-31,17.96,4.23,1.35,
30-Nov-16,2016-11-30,17.96,4.28,1.32,
31-Oct-16,2016-10-31,17.95,4.24,1.38,
30-Sep-16,2016-09-30,17.94,4.24,1.45,
31-Aug-16,2016-08-31,17.93,4.3,1.59,
31-Jul-16,2016-07-31,17.96,4.55,1.73,
30-Jun-16,2016-06-30,17.94,4.52,1.71,
