Task Duration (ns),Eager (Thread Pool),l1,Deferred (Thread Pool),l2,Deferred (Inline Executor),l3,Execute (Inline Executor),l4,Direct Invoke,l5
100,69366,Eager (Thread Pool),68506,Deferred (Thread Pool),55757,Deferred (Inline Executor),55011,Execute (Inline Executor),54866,Direct Invoke
200,69585,Eager (Thread Pool),68786,Deferred (Thread Pool),55928,Deferred (Inline Executor),55161,Execute (Inline Executor),55063,Direct Invoke
300,69601,Eager (Thread Pool),68732,Deferred (Thread Pool),55938,Deferred (Inline Executor),55177,Execute (Inline Executor),55074,Direct Invoke
400,69818,Eager (Thread Pool),68918,Deferred (Thread Pool),56174,Deferred (Inline Executor),55313,Execute (Inline Executor),55177,Direct Invoke
500,69798,Eager (Thread Pool),69073,Deferred (Thread Pool),56284,Deferred (Inline Executor),55495,Execute (Inline Executor),55384,Direct Invoke
600,69891,Eager (Thread Pool),68999,Deferred (Thread Pool),56273,Deferred (Inline Executor),55495,Execute (Inline Executor),55379,Direct Invoke
700,70063,Eager (Thread Pool),69356,Deferred (Thread Pool),56388,Deferred (Inline Executor),55640,Execute (Inline Executor),55522,Direct Invoke
800,70226,Eager (Thread Pool),69249,Deferred (Thread Pool),56547,Deferred (Inline Executor),55696,Execute (Inline Executor),55630,Direct Invoke
900,70164,Eager (Thread Pool),69371,Deferred (Thread Pool),56631,Deferred (Inline Executor),55781,Execute (Inline Executor),55722,Direct Invoke
1000,70350,Eager (Thread Pool),69489,Deferred (Thread Pool),56754,Deferred (Inline Executor),55987,Execute (Inline Executor),55862,Direct Invoke
1100,70352,Eager (Thread Pool),69514,Deferred (Thread Pool),56780,Deferred (Inline Executor),55998,Execute (Inline Executor),55970,Direct Invoke
1200,70562,Eager (Thread Pool),69744,Deferred (Thread Pool),56967,Deferred (Inline Executor),56113,Execute (Inline Executor),56062,Direct Invoke
1300,70716,Eager (Thread Pool),69770,Deferred (Thread Pool),57059,Deferred (Inline Executor),56291,Execute (Inline Executor),56235,Direct Invoke
