DATE,GDP,lnGDP,gGDP,gGDP_5y,Source
1947-01-01,243.164,5.493736113,,,https://fred.stlouisfed.org/series/GDP
1947-04-01,245.968,5.505201446,,,
1947-07-01,249.585,5.519799539,,,
1947-10-01,259.745,5.559700381,,,
1948-01-01,265.742,5.582525913,0.092850915,,
1948-04-01,272.567,5.607884455,0.108140083,,
1948-07-01,279.196,5.631914044,0.118640944,,
1948-10-01,280.366,5.636095892,0.079389401,,
1949-01-01,275.034,5.616894726,0.034966245,,
1949-04-01,271.351,5.603413186,-0.004461288,,
1949-07-01,272.889,5.609065119,-0.022589865,,
1949-10-01,270.627,5.600741489,-0.034736737,,
1950-01-01,280.828,5.637742382,0.021066486,,
1950-04-01,290.383,5.671200741,0.070137939,,
1950-07-01,308.153,5.730596413,0.129224703,,
1950-10-01,319.945,5.768149106,0.182236067,,
1951-01-01,336.0,5.81711116,0.196461891,,
1951-04-01,344.09,5.840903251,0.184952287,,
1951-07-01,351.385,5.861882488,0.140293945,,
1951-10-01,356.178,5.875430606,0.113247589,,
1952-01-01,359.82,5.885603906,0.070892857,0.479742067,
1952-04-01,361.03,5.888961057,0.049231306,0.467792558,
1952-07-01,367.701,5.907270108,0.046433399,0.473249594,
1952-10-01,380.812,5.942305815,0.069162048,0.466099444,
1953-01-01,387.98,5.960953792,0.078261353,0.459987507,
1953-04-01,391.749,5.970621329,0.085087112,0.437257628,
1953-07-01,391.171,5.969144805,0.063829035,0.401062336,
1953-10-01,385.97,5.955759646,0.013544741,0.376664788,
1954-01-01,385.345,5.954139037,-0.006791587,0.401081321,
1954-04-01,386.121,5.956150792,-0.014366342,0.422957719,
1954-07-01,390.996,5.96869733,-0.000447375,0.432802348,
1954-10-01,399.734,5.990799326,0.035660803,0.47706622,
1955-01-01,413.073,6.023624333,0.071956299,0.47091102,
1955-04-01,421.532,6.043895694,0.091709594,0.451641453,
1955-07-01,430.221,6.06429903,0.100320719,0.396127898,
1955-10-01,437.092,6.080143699,0.093457149,0.366147307,
1956-01-01,439.746,6.086197287,0.064572122,0.308767857,
1956-04-01,446.01,6.100341373,0.058069138,0.296201575,
1956-07-01,451.191,6.111890753,0.048742391,0.284036029,
1956-10-01,460.463,6.132232505,0.053469293,0.292788999,
1957-01-01,469.779,6.152262371,0.068296244,0.305594464,
1957-04-01,472.025,6.15703195,0.058328289,0.307439825,
1957-07-01,479.49,6.172723039,0.062720666,0.304021474,
1957-10-01,474.864,6.163028447,0.031275043,0.246977511,
1958-01-01,467.54,6.147484907,-0.004766071,0.205062117,
1958-04-01,471.978,6.156932374,-9.96e-05,0.204796949,
1958-07-01,485.841,6.18588141,0.013245323,0.242016918,
1958-10-01,499.555,6.213717702,0.05199594,0.29428453,
1959-01-01,510.33,6.235057575,0.091521581,0.324345716,
1959-04-01,522.653,6.258917764,0.107367293,0.353599001,
1959-07-01,525.034,6.263463022,0.080670425,0.342811691,
1959-10-01,528.6,6.270232002,0.058141746,0.322379382,
1960-01-01,542.648,6.296460859,0.063327651,0.313685474,
1960-04-01,541.08,6.293567142,0.035256662,0.283603617,
1960-07-01,545.604,6.301893438,0.039178415,0.268194719,
1960-10-01,540.197,6.291933888,0.021939084,0.235888554,
1961-01-01,545.018,6.300818822,0.004367472,0.23939274,
1961-04-01,555.545,6.319949614,0.02673357,0.245588664,
1961-07-01,567.664,6.341529694,0.040432255,0.258145663,
1961-10-01,580.612,6.36408272,0.074815299,0.260930846,
1962-01-01,594.013,6.386901205,0.089896114,0.264452008,
1962-04-01,600.366,6.397539469,0.080679333,0.271894497,
1962-07-01,609.027,6.411862602,0.072865287,0.270155791,
