Unnamed: 0.1,Unnamed: 0,Country,"GDP per capita, PPP (constant 2017 international $)",Code,Primary energy consumption per capita (kWh/person),Region
0,2,Afghanistan,2065.036235,AFG,945.6453857,South Asia
1,4,Angola,6712.021615,AGO,3429.592773,Sub-Saharan Africa
2,5,Albania,13653.20157,ALB,11266.25781,Europe & Central Asia
3,9,Argentina,22066.10101,ARG,20785.91406,Latin America & Carribean
4,10,Armenia,13653.76338,ARM,15538.20117,Europe & Central Asia
5,12,Antigua and Barbuda,21850.13341,ATG,31384.86328,Latin America & Carribean
6,15,Azerbaijan,14442.04087,AZE,17979.77148,Europe & Central Asia
7,16,Burundi,751.4434047,BDI,318.7487488,Sub-Saharan Africa
8,18,Benin,3287.309538,BEN,2482.886475,Sub-Saharan Africa
9,19,Burkina Faso,2175.50468,BFA,946.6964722,Sub-Saharan Africa
10,20,Bangladesh,5550.032778,BGD,2775.810303,South Asia
11,21,Bulgaria,23265.87692,BGR,30017.48633,Europe & Central Asia
12,24,Bosnia and Herzegovina,14896.79651,BIH,21068.46484,Europe & Central Asia
13,25,Belarus,19279.20925,BLR,32671.71484,Europe & Central Asia
14,26,Belize,7152.657414,BLZ,9246.844727,Latin America & Carribean
15,28,Bolivia,8724.474187,BOL,7940.383301,Latin America & Carribean
16,29,Brazil,14736.15606,BRA,16525.10938,Latin America & Carribean
17,30,Barbados,15499.80821,BRB,24536.79297,Latin America & Carribean
18,32,Bhutan,11864.76625,BTN,29338.07617,South Asia
19,33,Botswana,16404.44491,BWA,9992.323242,Sub-Saharan Africa
20,34,Central African Republic,946.0596566,CAF,328.4351196,Sub-Saharan Africa
21,39,Chile,24931.12188,CHL,25430.22656,Latin America & Carribean
22,40,China,15977.76383,CHN,27883.20898,East Asia & Pacific
23,41,Cote d'Ivoire,5212.554021,CIV,2410.60791,Sub-Saharan Africa
24,42,Cameroon,3742.856779,CMR,1814.028931,Sub-Saharan Africa
25,45,Colombia,14571.99095,COL,10647.37402,Latin America & Carribean
26,46,Comoros,3058.980105,COM,1567.063477,Sub-Saharan Africa
27,48,Costa Rica,20970.54415,CRI,13158.58984,Latin America & Carribean
28,56,Djibouti,5260.015344,DJI,2598.322998,Middle East & North Africa
29,57,Dominica,12329.82527,DMA,10994.0791,Latin America & Carribean
30,59,Dominican Republic,18412.89999,DOM,11434.63477,Latin America & Carribean
31,60,Algeria,11521.98421,DZA,16140.19629,Middle East & North Africa
32,66,Ecuador,11370.6033,ECU,12162.4834,Latin America & Carribean
33,72,Ethiopia,2221.404665,ETH,943.6289673,Sub-Saharan Africa
34,76,Fiji,13684.29169,FJI,9642.426758,East Asia & Pacific
35,80,Gabon,14945.85929,GAB,7848.57666,Sub-Saharan Africa
36,82,Georgia,14989.25816,GEO,18547.29688,Europe & Central Asia
37,83,Ghana,5540.045627,GHA,3294.342529,Sub-Saharan Africa
38,85,Guinea,2566.322989,GIN,1211.761719,Sub-Saharan Africa
39,87,Guinea-Bissau,1939.28951,GNB,721.2616577,Sub-Saharan Africa
40,88,Equatorial Guinea,18600.39178,GNQ,16879.89844,Sub-Saharan Africa
41,89,Greece,29698.03048,GRC,29698.73828,Europe & Central Asia
42,90,Grenada,16867.57213,GRD,11660.63379,Latin America & Carribean
43,92,Guatemala,8653.308195,GTM,5688.776855,Latin America & Carribean
44,94,Guyana,13082.18148,GUY,14245.79785,Latin America & Carribean
45,97,Honduras,5736.181633,HND,5802.885254,Latin America & Carribean
46,99,Croatia,29336.08545,HRV,23197.64648,Europe & Central Asia
47,100,Haiti,3073.32914,HTI,1163.586426,Latin America & Carribean
48,106,Indonesia,11812.10243,IDN,8977.151367,East Asia & Pacific
49,109,India,6689.365354,IND,6941.969727,South Asia
50,113,Iraq,10889.8025,IRQ,15723.45215,Middle East & North Africa
51,117,Jamaica,9777.005686,JAM,14562.76367,Latin America & Carribean
52,118,Jordan,10071.37989,JOR,11483.71875,Middle East & North Africa
53,121,Kenya,4459.210605,KEN,1849.1698,Sub-Saharan Africa
54,123,Cambodia,4388.800909,KHM,3994.236816,East Asia & Pacific
55,124,Kiribati,2102.782035,KIR,2738.874268,East Asia & Pacific
56,130,Lebanon,14493.37237,LBN,15613.75,Middle East & North Africa
57,131,Liberia,1469.763959,LBR,1111.514282,Sub-Saharan Africa
58,132,Libya,21842.61925,LBY,25863.94727,Middle East & North Africa
59,138,Sri Lanka,13079.53863,LKA,5072.591309,South Asia
60,141,Lesotho,2656.115855,LSO,2292.675537,Sub-Saharan Africa
61,148,Morocco,7546.754883,MAR,7223.973145,Middle East & North Africa
62,150,Moldova,13026.51597,MDA,10373.6875,Europe & Central Asia
63,151,Madagascar,1618.532561,MDG,676.539917,Sub-Saharan Africa
64,152,Maldives,19510.49184,MDV,17493.39063,South Asia
65,154,Mexico,19675.44067,MEX,16507.16992,Latin America & Carribean
66,157,North Macedonia,16773.04057,MKD,14905.75977,Europe & Central Asia
67,158,Mali,2321.702199,MLI,1289.118286,Sub-Saharan Africa
68,162,Montenegro,21533.93209,MNE,22650.16797,Europe & Central Asia
69,163,Mongolia,12486.07746,MNG,24337.97266,East Asia & Pacific
70,165,Mozambique,1281.780014,MOZ,2377.498047,Sub-Saharan Africa
71,166,Mauritania,5343.997921,MRT,3976.341797,Sub-Saharan Africa
72,167,Mauritius,22869.75631,MUS,23277.91797,Sub-Saharan Africa
73,168,Malawi,1537.141177,MWI,530.1196899,Sub-Saharan Africa
74,169,Malaysia,28421.46248,MYS,38858.89063,East Asia & Pacific
75,171,Namibia,9809.218482,NAM,8737.738281,Sub-Saharan Africa
76,173,Niger,1224.375135,NER,451.224884,Sub-Saharan Africa
77,174,Nigeria,5135.499469,NGA,2481.222412,Sub-Saharan Africa
78,175,Nicaragua,5445.729533,NIC,4371.559082,Latin America & Carribean
79,178,Nepal,3952.760349,NPL,1529.663818,South Asia
80,179,Nauru,13525.77285,NRU,24818.05273,East Asia & Pacific
81,184,Pakistan,5317.774364,PAK,4541.509766,South Asia
82,186,Peru,12858.3263,PER,10507.8457,Latin America & Carribean
83,187,Philippines,8914.723798,PHL,5204.539063,East Asia & Pacific
84,189,Papua New Guinea,4292.609429,PNG,3316.351318,East Asia & Pacific
85,195,Paraguay,12615.52865,PRY,18397.52148,Latin America & Carribean
86,201,Romania,29875.06277,ROU,20002.61523,Europe & Central Asia
87,203,Rwanda,2227.515571,RWA,499.5462341,Sub-Saharan Africa
88,206,Sudan,4173.566406,SDN,2359.674072,Sub-Saharan Africa
89,207,Senegal,3368.262274,SEN,2703.498535,Sub-Saharan Africa
90,209,Solomon Islands,2660.514892,SLB,2038.201538,East Asia & Pacific
