date,Approve,Disapprove,Don't know,Unweighted base,Base
2011-02-09,0.3,0.55,0.15,7060,7060
2011-02-16,0.3,0.55,0.15,12573,12570
2011-02-23,0.3,0.54,0.15,10061,10061
2011-03-02,0.3,0.55,0.15,11873,11873
2011-03-09,0.29,0.57,0.14,8743,8739
2011-03-16,0.29,0.57,0.15,12110,12110
2011-03-23,0.31,0.55,0.15,9550,9550
2011-03-30,0.32,0.54,0.14,9069,9069
2011-04-06,0.31,0.55,0.14,11449,11449
2011-04-13,0.31,0.55,0.14,12124,12124
2011-04-20,0.3,0.54,0.15,13844,13844
2011-04-27,0.32,0.55,0.14,7912,7912
2011-05-03,0.32,0.53,0.15,6714,6714
2011-05-11,0.33,0.54,0.13,9247,9247
2011-05-18,0.33,0.54,0.13,12265,12265
2011-05-25,0.32,0.54,0.15,12524,12524
2011-06-01,0.33,0.53,0.15,10980,10980
2011-06-08,0.31,0.54,0.15,10999,10999
2011-06-15,0.3,0.55,0.14,13996,13996
2011-06-22,0.3,0.55,0.15,13495,13495
2011-06-29,0.3,0.56,0.14,13880,13880
2011-07-06,0.29,0.57,0.14,13918,13918
2011-07-12,0.29,0.57,0.15,10696,10696
2011-07-20,0.29,0.56,0.15,12982,12982
2011-07-27,0.29,0.56,0.15,13563,13564
2011-08-03,0.3,0.56,0.15,13481,13481
2011-08-10,0.29,0.56,0.15,11054,11054
2011-08-17,0.29,0.57,0.14,10844,10846
2011-08-24,0.29,0.56,0.14,10521,10521
2011-08-31,0.3,0.55,0.15,7762,7762
2011-09-07,0.3,0.55,0.15,13186,13186
2011-09-14,0.3,0.55,0.15,13052,13053
2011-09-21,0.3,0.55,0.15,10410,10410
2011-09-28,0.3,0.55,0.15,10336,10336
2011-10-05,0.31,0.55,0.14,9650,9651
2011-10-12,0.3,0.55,0.15,10629,10629
2011-10-19,0.29,0.56,0.16,7501,7501
2011-10-26,0.28,0.57,0.15,8555,8555
2011-11-02,0.29,0.56,0.15,8350,8350
2011-11-09,0.28,0.56,0.16,8513,8513
2011-11-16,0.28,0.57,0.15,8633,8633
2011-11-23,0.28,0.57,0.15,8603,8603
2011-11-30,0.28,0.56,0.15,8429,8429
2011-12-07,0.29,0.57,0.14,8591,8591
2011-12-14,0.32,0.53,0.16,8610,8610
2011-12-21,0.32,0.53,0.15,8714,8715
2011-12-22,0.31,0.54,0.15,1721,1721
2012-01-04,0.32,0.51,0.16,3533,3533
2012-01-11,0.33,0.52,0.15,8684,8684
2012-01-18,0.32,0.53,0.16,8654,8654
2012-01-24,0.32,0.53,0.15,6922,6922
2012-02-01,0.33,0.52,0.15,8857,8857
2012-02-08,0.31,0.54,0.15,8424,8424
2012-02-15,0.31,0.53,0.16,6969,6969
2012-02-22,0.3,0.55,0.15,8720,8720
2012-02-29,0.31,0.53,0.16,8635,8635
2012-03-07,0.3,0.56,0.14,8637,8638
2012-03-14,0.29,0.55,0.16,7016,7016
2012-03-21,0.29,0.56,0.15,6931,6931
2012-03-28,0.27,0.59,0.15,8778,8778
2012-04-04,0.23,0.63,0.14,8483,8483
2012-04-11,0.26,0.6,0.14,5131,5131
2012-04-18,0.24,0.61,0.15,8661,8662
2012-04-25,0.23,0.63,0.14,8337,8338
2012-05-02,0.23,0.62,0.14,8690,8690
2012-05-09,0.23,0.63,0.14,6909,6909
2012-05-16,0.24,0.62,0.14,8650,8650
2012-05-23,0.24,0.61,0.15,8554,8554
2012-05-30,0.24,0.62,0.14,8480,8479
2012-06-06,0.25,0.61,0.14,5007,5007
2012-06-13,0.24,0.61,0.15,8614,8614
2012-06-20,0.24,0.61,0.15,8658,8660
2012-06-27,0.26,0.6,0.14,8435,8436
2012-07-04,0.24,0.61,0.15,8761,8762
2012-07-11,0.25,0.6,0.15,8587,8587
2012-07-18,0.24,0.61,0.15,8699,8699
2012-07-25,0.24,0.61,0.15,8516,8516
2012-08-01,0.25,0.6,0.15,8636,8636
2012-08-08,0.24,0.61,0.15,8627,8627
2012-08-15,0.25,0.6,0.15,7631,7631
2012-08-21,0.24,0.6,0.16,6875,6875
2012-08-29,0.23,0.61,0.15,8632,8632
2012-09-05,0.23,0.62,0.15,8280,8280
2012-09-12,0.23,0.62,0.15,8580,8580
2012-09-19,0.25,0.6,0.15,6856,6856
2012-09-26,0.24,0.61,0.15,8777,8777
2012-10-03,0.24,0.6,0.16,7144,7164
2012-10-10,0.25,0.6,0.15,10672,10711
2012-10-17,0.26,0.6,0.15,8985,8985
2012-10-24,0.25,0.6,0.15,8757,8757
2012-10-31,0.27,0.58,0.15,9081,9082
2012-11-06,0.27,0.58,0.15,7018,7018
2012-11-14,0.27,0.58,0.15,8204,8163
2012-11-21,0.26,0.59,0.15,8559,8559
2012-11-28,0.26,0.59,0.15,8995,8995
2012-12-05,0.26,0.59,0.15,10553,10553
2012-12-12,0.26,0.59,0.15,8343,8343
2012-12-19,0.26,0.59,0.15,8605,8605
2012-12-21,0.26,0.58,0.16,3584,3584
2013-01-02,0.25,0.6,0.15,1760,1760
2013-01-09,0.26,0.57,0.17,9786,9787
2013-01-15,0.27,0.59,0.14,5748,5739
2013-01-23,0.27,0.57,0.16,9701,9702
2013-01-30,0.27,0.57,0.15,7580,7580
2013-02-06,0.26,0.59,0.15,9664,9664
2013-02-12,0.26,0.59,0.15,5592,5592
2013-02-20,0.25,0.59,0.15,9319,9319
2013-02-27,0.25,0.6,0.15,7559,7559
2013-03-06,0.24,0.6,0.16,9285,9285
2013-03-12,0.24,0.62,0.14,5624,5624
2013-03-20,0.24,0.6,0.16,9589,9589
2013-03-27,0.24,0.6,0.15,9431,9431
2013-04-03,0.25,0.59,0.16,5704,5704
2013-04-09,0.26,0.6,0.14,7662,7662
2013-04-16,0.27,0.58,0.15,7494,7494
2013-04-24,0.27,0.57,0.15,9515,9488
2013-04-30,0.27,0.58,0.15,7360,7360
2013-05-08,0.25,0.6,0.15,7741,7741
2013-05-15,0.25,0.59,0.16,9355,9355
2013-05-22,0.24,0.61,0.15,9108,9108
2013-05-29,0.25,0.6,0.15,7466,7466
2013-06-05,0.25,0.6,0.15,5841,5841
2013-06-12,0.25,0.59,0.16,9246,9246
2013-06-19,0.25,0.59,0.15,9301,9301
2013-06-26,0.26,0.58,0.16,9453,9453
2013-07-03,0.26,0.58,0.16,9286,9287
2013-07-10,0.27,0.58,0.15,8793,8793
2013-07-16,0.27,0.57,0.16,5493,5493
2013-07-24,0.28,0.57,0.15,9434,9434
2013-07-30,0.29,0.57,0.15,7354,7354
2013-08-07,0.28,0.56,0.16,9494,9494
2013-08-14,0.28,0.56,0.16,7519,7519
2013-08-21,0.28,0.57,0.15,9328,9337
2013-08-28,0.28,0.57,0.15,7742,7732
2013-09-04,0.28,0.56,0.15,9497,9493
2013-09-11,0.28,0.57,0.16,8457,8456
2013-09-18,0.3,0.54,0.15,9029,9025
2013-09-23,0.29,0.57,0.14,3719,3719
2013-10-02,0.3,0.55,0.15,9220,9222
2013-10-09,0.32,0.54,0.14,7505,7505
2013-10-16,0.31,0.54,0.15,7399,7393
2013-10-23,0.29,0.57,0.14,10177,10177
2013-10-30,0.28,0.57,0.15,9154,9154
2013-11-06,0.28,0.55,0.16,9003,8990
2013-11-12,0.28,0.57,0.15,5662,5662
2013-11-20,0.29,0.56,0.15,7589,7589
2013-11-27,0.29,0.56,0.15,9264,9264
2013-12-04,0.28,0.56,0.16,7256,7256
2013-12-10,0.29,0.55,0.16,5507,5507
2013-12-12,0.32,0.53,0.15,1902,1902
2013-12-19,0.3,0.55,0.15,1784,1784
2014-01-08,0.29,0.56,0.15,5659,5659
2014-01-15,0.29,0.55,0.16,9461,9460
2014-01-22,0.29,0.56,0.15,7496,7496
2014-01-29,0.31,0.53,0.15,5108,5109
2014-01-30,0.32,0.53,0.15,1942,1942
2014-02-12,0.3,0.55,0.15,6479,6479
2014-02-18,0.3,0.55,0.15,3135,3135
2014-02-26,0.31,0.56,0.13,5222,5226
2014-03-05,0.32,0.55,0.14,4415,4415
2014-03-12,0.31,0.54,0.15,9442,9440
2014-03-19,0.31,0.54,0.15,8517,8518
2014-03-26,0.34,0.51,0.15,10987,10987
2014-04-02,0.33,0.53,0.15,11186,11186
2014-04-09,0.32,0.53,0.15,7962,7962
2014-04-16,0.32,0.53,0.15,7924,7924
2014-04-23,0.33,0.52,0.15,4828,4828
2014-04-30,0.32,0.53,0.15,8667,8667
2014-05-07,0.32,0.52,0.16,7571,7571
2014-05-14,0.32,0.53,0.15,8808,8808
2014-05-21,0.32,0.54,0.14,9636,9636
2014-05-28,0.31,0.55,0.14,8041,8041
2014-06-04,0.32,0.53,0.15,7652,7652
2014-06-11,0.31,0.54,0.14,10110,10110
2014-06-18,0.33,0.52,0.15,8302,8281
2014-06-25,0.31,0.54,0.15,7843,7847
2014-07-01,0.31,0.54,0.16,7052,7052
2014-07-09,0.31,0.52,0.16,9557,9549
2014-07-16,0.31,0.53,0.16,9975,9975
2014-07-23,0.3,0.54,0.15,9551,9551
2014-07-30,0.32,0.52,0.16,7952,7952
2014-08-04,0.32,0.53,0.16,5723,5723
2014-08-12,0.32,0.52,0.16,3616,3616
2014-08-20,0.31,0.52,0.16,3136,3136
2014-08-27,0.31,0.54,0.15,6638,6638
2014-09-03,0.3,0.54,0.16,8239,8239
2014-09-10,0.31,0.55,0.15,9969,9969
2014-09-17,0.31,0.55,0.15,9718,9718
2014-09-24,0.31,0.54,0.15,10125,10125
2014-10-01,0.31,0.55,0.14,9047,9046
2014-10-08,0.33,0.54,0.13,10049,10050
2014-10-15,0.31,0.55,0.14,8142,8143
2014-10-22,0.31,0.54,0.15,9904,9904
2014-10-29,0.31,0.54,0.14,8131,8131
2014-11-05,0.31,0.54,0.15,7504,7505
2014-11-12,0.31,0.55,0.15,9953,9953
2014-11-19,0.31,0.53,0.15,9469,9469
2014-11-26,0.31,0.55,0.13,9655,9655
2014-12-03,0.31,0.55,0.15,9754,9754
2014-12-09,0.31,0.55,0.14,7153,7153
2014-12-17,0.31,0.54,0.15,7695,7695
2014-12-22,0.31,0.54,0.15,5760,5760
2015-01-07,0.32,0.53,0.15,5230,5231
2015-01-14,0.31,0.54,0.15,8787,8787
2015-01-21,0.32,0.53,0.15,6695,6695
2015-01-28,0.33,0.53,0.14,8109,8108
2015-02-04,0.33,0.52,0.16,6789,6790
2015-02-11,0.32,0.53,0.15,8396,8396
2015-02-18,0.32,0.53,0.15,6238,6238
2015-02-24,0.33,0.52,0.14,4891,4890
2015-03-04,0.33,0.53,0.14,7151,7151
2015-03-11,0.34,0.51,0.15,6929,6929
2015-03-18,0.34,0.51,0.16,8697,8697
2015-03-25,0.37,0.49,0.15,7184,7184
2015-04-01,0.36,0.49,0.15,8756,8758
2015-04-08,0.37,0.49,0.14,5119,5119
2015-04-15,0.37,0.5,0.13,10396,10394
2015-04-21,0.37,0.5,0.13,6803,6803
2015-04-28,0.37,0.5,0.13,8255,8255
2015-05-05,0.38,0.49,0.13,9668,9668
2015-05-13,0.41,0.45,0.14,3428,3428
2015-05-18,0.4,0.44,0.15,4916,4915
2015-05-26,0.41,0.45,0.14,4882,4882
2015-06-02,0.4,0.45,0.16,3415,3415
2015-06-10,0.4,0.44,0.16,4776,4776
2015-06-16,0.4,0.43,0.17,4671,4671
2015-06-24,0.4,0.44,0.16,4838,4838
2015-07-01,0.39,0.46,0.15,7859,7859
2015-07-07,0.37,0.47,0.15,1756,1756
2015-07-13,0.4,0.44,0.16,5005,5005
2015-08-24,0.37,0.49,0.15,1769,1769
2015-09-18,0.37,0.5,0.13,1551,1551
2015-10-26,0.35,0.5,0.15,1738,1738
2015-11-23,0.32,0.53,0.15,1699,1699
2015-12-23,0.32,0.5,0.18,3617,3617
2016-01-25,0.33,0.51,0.16,3373,3389
2016-02-23,0.29,0.52,0.19,1700,1700
2016-03-21,0.22,0.58,0.2,1688,1688
2016-04-25,0.22,0.55,0.23,2033,2033
2016-05-02,0.24,0.58,0.18,2050,2050
2016-05-20,0.24,0.56,0.2,1764,1764
2016-06-05,0.18,0.61,0.21,1916,1916
2016-07-04,0.22,0.57,0.21,1820,1820
2016-07-22,0.27,0.48,0.25,1673,1673
2016-09-01,0.26,0.46,0.27,1711,1711
2016-09-19,0.25,0.49,0.25,1601,1601
2016-10-24,0.29,0.41,0.3,1631,1631
2016-11-22,0.28,0.45,0.27,1693,1693
2016-12-15,0.26,0.49,0.25,1569,1569
2017-01-24,0.3,0.39,0.31,1643,1643
2017-02-20,0.3,0.43,0.28,1784,1784
2017-03-29,0.34,0.41,0.25,1643,1643
2017-04-21,0.35,0.41,0.23,1590,1590
2017-04-28,0.35,0.43,0.22,1612,1612
2017-05-22,0.32,0.47,0.21,1974,1974
2017-06-26,0.24,0.53,0.24,1661,1661
2017-07-24,0.23,0.53,0.24,1609,1609
2017-08-24,0.23,0.51,0.26,1729,1729
2017-09-27,0.21,0.53,0.26,1645,1645
2017-10-19,0.21,0.52,0.27,1648,1648
2017-11-17,0.2,0.55,0.25,1672,1672
2017-12-15,0.2,0.49,0.31,1692,1692
2018-02-28,0.24,0.52,0.24,1646,1646
2018-03-24,0.25,0.48,0.26,1658,1658
2018-04-19,0.29,0.45,0.26,1692,1692
2018-04-26,0.26,0.48,0.26,1637,1637
2018-06-11,0.23,0.49,0.28,1674,1674
2018-07-04,0.25,0.38,0.37,1641,1641
2018-07-24,0.18,0.56,0.26,1627,1627
2018-08-22,0.2,0.52,0.28,1667,1667
2018-09-21,0.19,0.57,0.24,1762,1762
2018-10-23,0.21,0.51,0.28,1802,1802
2018-11-22,0.19,0.55,0.26,1691,1691
2018-12-17,0.2,0.57,0.23,1660,1660
2019-01-23,0.13,0.6,0.26,1867,1867
2019-03-27,0.11,0.67,0.22,1697,1697
2019-05-01,0.11,0.66,0.24,1867,1867
2019-05-13,0.09,0.72,0.2,2131,2131
2019-06-24,0.1,0.71,0.18,1709,1709
2019-07-01,0.11,0.7,0.19,1675,1675
2019-07-08,0.1,0.69,0.22,1665,1665
2019-07-14,0.14,0.69,0.17,1783,1783
2019-07-22,0.1,0.69,0.21,1691,1691
2019-07-29,0.14,0.63,0.22,1712,1712
2019-08-05,0.15,0.62,0.23,1679,1679
2019-08-11,0.2,0.62,0.18,1750,1750
2019-08-19,0.16,0.62,0.21,1702,1702
2019-08-26,0.18,0.59,0.23,1674,1674
2019-09-02,0.22,0.57,0.21,1654,1654
2019-09-09,0.16,0.66,0.18,1680,1680
2019-09-16,0.18,0.66,0.16,1699,1699
2019-09-23,0.17,0.64,0.18,1689,1689
2019-09-30,0.17,0.64,0.19,1700,1700
2019-10-06,0.2,0.61,0.19,1687,1687
2019-10-14,0.18,0.6,0.23,1666,1666
2019-10-21,0.22,0.56,0.22,1693,1693
2019-10-28,0.2,0.58,0.22,1682,1682
2019-11-04,0.19,0.62,0.19,1670,1670
2019-11-11,0.22,0.59,0.19,1679,1679
2019-11-18,0.21,0.59,0.19,1668,1668
2019-11-25,0.22,0.58,0.19,1679,1679
2019-12-01,0.22,0.59,0.19,1658,1658
2019-12-16,0.27,0.53,0.2,1695,1695
2019-12-23,0.34,0.46,0.21,1692,1692
2019-12-30,0.32,0.44,0.24,1688,1688
2020-01-06,0.3,0.45,0.25,1702,1702
2020-01-13,0.33,0.42,0.24,1660,1660
2020-01-20,0.32,0.45,0.23,1708,1708
2020-01-27,0.33,0.41,0.25,1673,1673
2020-02-03,0.35,0.42,0.23,1686,1686
2020-02-09,0.36,0.42,0.23,1692,1692
2020-02-17,0.34,0.39,0.27,1646,1646
2020-02-24,0.34,0.41,0.25,1658,1658
2020-03-02,0.33,0.41,0.26,1646,1646
2020-03-09,0.36,0.37,0.27,1626,1626
2020-03-16,0.39,0.35,0.26,1637,1637
2020-03-23,0.52,0.27,0.21,1633,1633
2020-03-30,0.52,0.26,0.21,1631,1631
2020-04-06,0.5,0.29,0.2,1619,1619
2020-04-13,0.5,0.28,0.22,1623,1623
2020-04-20,0.47,0.32,0.21,1611,1611
2020-04-27,0.47,0.33,0.2,1664,1664
2020-05-03,0.49,0.3,0.2,1655,1655
2020-05-10,0.44,0.37,0.19,1674,1674
2020-05-18,0.39,0.42,0.19,1643,1643
2020-05-25,0.37,0.42,0.21,1672,1672
2020-06-02,0.35,0.44,0.21,1618,1618
2020-06-08,0.32,0.49,0.2,1666,1666
2020-06-15,0.34,0.46,0.2,1648,1648
2020-06-22,0.32,0.48,0.2,1658,1658
2020-06-29,0.35,0.45,0.21,1667,1666
2020-07-06,0.34,0.46,0.19,1638,1638
2020-07-13,0.36,0.44,0.2,1673,1673
