Date,year,month,date2,Price,Dividend,Earnings,CPI,R,PriceReal,DividendReal,RealTotalReturn,EarningsReal,CAPE
1871.01,1871,1,1871-1-01,4.44,0.26,0.4,12.46406116,5.32,105.4820771,6.176878388,105.4820771,9.502889827,
1871.02,1871,2,1871-2-01,4.5,0.26,0.4,12.84464132,5.323333333,103.7398956,5.993860637,104.239384,9.221324056,
1871.03,1871,3,1871-3-01,4.61,0.26,0.4,13.0349719,5.326666667,104.7239707,5.906341079,105.7227621,9.086678583,
1871.04,1871,4,1871-4-01,4.74,0.26,0.4,12.55922645,5.33,111.7559681,6.130074197,113.3375379,9.430883381,
1871.05,1871,5,1871-5-01,4.86,0.26,0.4,12.27381157,5.333333333,117.249795,6.272622776,119.4392294,9.650188886,
1871.06,1871,6,1871-6-01,4.82,0.26,0.4,12.08348099,5.336666667,118.1164129,6.371424763,120.8628966,9.802191943,
1871.07,1871,7,1871-7-01,4.73,0.26,0.4,12.08348099,5.34,115.9109197,6.371424763,119.1494185,9.802191943,
1871.08,1871,8,1871-8-01,4.79,0.26,0.4,11.8932314,5.343333333,119.2589329,6.473344999,123.1454909,9.958992305,
1871.09,1871,9,1871-9-01,4.84,0.26,0.4,12.17864628,5.346666667,117.679718,6.321637744,122.0587819,9.72559653,
1871.1,1871,10,1871-10-01,4.59,0.26,0.4,12.36889587,5.35,109.8846493,6.224402793,114.5116473,9.576004297,
1871.11,1871,11,1871-11-01,4.64,0.26,0.4,12.36889587,5.353333333,111.0816498,6.224402793,116.2995924,9.576004297,
1871.12,1871,12,1871-12-01,4.74,0.26,0.4,12.65439174,5.356666667,110.9155255,6.083973974,116.6564781,9.35995996,
1872.01,1872,1,1872-1-01,4.86,0.2633,0.4025,12.65439174,5.36,113.7235135,6.161193643,120.1498145,9.418459709,
1872.02,1872,2,1872-2-01,4.88,0.2667,0.405,12.65439174,5.378333333,114.1915115,6.240753303,121.1937088,9.476959459,
1872.03,1872,3,1872-3-01,5.04,0.27,0.4075,12.84464132,5.396666667,116.1886831,6.224393738,123.8638525,9.394223882,
1872.04,1872,4,1872-4-01,5.18,0.2733,0.41,13.13013719,5.415,116.8196149,6.163475048,125.084014,9.246340175,
1872.05,1872,5,1872-5-01,5.18,0.2767,0.4125,13.13013719,5.433333333,116.8196149,6.240152016,125.6408149,9.302720298,
1872.06,1872,6,1872-6-01,5.13,0.28,0.415,13.0349719,5.451666667,116.5366528,6.360675008,125.9065675,9.42742903,
1872.07,1872,7,1872-7-01,5.1,0.2833,0.4175,12.84464132,5.47,117.5718817,6.531002763,127.6130417,9.624756984,
1872.08,1872,8,1872-8-01,5.04,0.2867,0.42,12.93980661,5.488333333,115.3341781,6.560775567,125.7776529,9.611181507,
1872.09,1872,9,1872-9-01,4.95,0.29,0.4225,13.0349719,5.506666667,112.4476475,6.587841973,123.2284452,9.597804254,
1872.1,1872,10,1872-10-01,4.97,0.2933,0.425,12.74947603,5.525,115.4301676,6.812005666,127.1190029,9.87078898,
1872.11,1872,11,1872-11-01,4.95,0.2967,0.4275,13.13013719,5.543333333,111.6326436,6.691193,123.5509929,9.641001036,
1872.12,1872,12,1872-12-01,5.07,0.3,0.43,12.93980661,5.561666667,116.0206911,6.865129648,129.0406992,9.840019162,
1873.01,1873,1,1873-1-01,5.11,0.3025,0.4325,12.93980661,5.58,116.9360417,6.922339062,130.7003696,9.897228576,
1873.02,1873,2,1873-2-01,5.15,0.305,0.435,13.22522149,5.570833333,115.3080291,6.828922114,129.5167885,9.739610229,
1873.03,1873,3,1873-3-01,5.11,0.3075,0.4375,13.22522149,5.561666667,114.4124328,6.884896886,129.1552732,9.795585,
1873.04,1873,4,1873-4-01,5.04,0.31,0.44,13.22522149,5.5525,112.8451392,6.940871657,128.0389605,9.851559771,
1873.05,1873,5,1873-5-01,5.05,0.3125,0.4425,12.93980661,5.543333333,115.5630157,7.151176717,131.7989499,10.12606623,
1873.06,1873,6,1873-6-01,4.98,0.315,0.445,12.55922645,5.534166667,117.4144981,7.426820662,134.6164086,10.49185776,
1873.07,1873,7,1873-7-01,4.97,0.3175,0.4475,12.55922645,5.525,117.178726,7.485763683,135.0613005,10.55080078,
1873.08,1873,8,1873-8-01,4.97,0.32,0.45,12.55922645,5.515833333,117.178726,7.544706704,135.7859755,10.6097438,
1873.09,1873,9,1873-9-01,4.59,0.3225,0.4525,12.55922645,5.506666667,108.2193868,7.603649726,126.1382043,10.66868682,
1873.1,1873,10,1873-10-01,4.19,0.325,0.455,12.27381157,5.4975,101.0857286,7.84077847,118.5849518,10.97708986,
1873.11,1873,11,1873-11-01,4.04,0.3275,0.4575,11.8932314,5.488333333,100.5858223,8.15392495,118.7956281,11.39059745,
1873.12,1873,12,1873-12-01,4.42,0.33,0.46,12.17864628,5.479166667,107.4678417,8.023617137,127.7132338,11.18443601,
1874.01,1874,1,1874-1-01,4.66,0.33,0.46,12.36889587,5.47,111.5604501,7.900203545,133.3592046,11.01240494,
1874.02,1874,2,1874-2-01,4.8,0.33,0.46,12.36889587,5.436666667,114.9120516,7.900203545,138.1526953,11.01240494,
1874.03,1874,3,1874-3-01,4.73,0.33,0.46,12.36889587,5.403333333,113.2362508,7.900203545,136.9294683,11.01240494,
1874.04,1874,4,1874-4-01,4.6,0.33,0.46,12.17864628,5.37,111.8443601,8.023617137,136.0548804,11.18443601,
1874.05,1874,5,1874-5-01,4.48,0.33,0.46,12.08348099,5.336666667,109.7845498,8.086808353,134.3689682,11.27252073,
1874.06,1874,6,1874-6-01,4.46,0.33,0.46,11.79806612,5.303333333,111.9384547,8.282441716,137.8499673,11.54522179,
1874.07,1874,7,1874-7-01,4.46,0.33,0.46,11.8932314,5.27,111.0427642,8.216168652,137.590113,11.45284115,
1874.08,1874,8,1874-8-01,4.47,0.33,0.46,11.79806612,5.236666667,112.1894378,8.282441716,139.8661381,11.54522179,
1874.09,1874,9,1874-9-01,4.54,0.33,0.46,11.79806612,5.203333333,113.9463194,8.282441716,142.9169096,11.54522179,
1874.1,1874,10,1874-10-01,4.53,0.33,0.46,11.60773554,5.17,115.5595844,8.418247871,145.8202242,11.73452734,
1874.11,1874,11,1874-11-01,4.57,0.33,0.46,11.51265124,5.136666667,117.5428254,8.487775141,149.2153336,11.83144414,
1874.12,1874,12,1874-12-01,4.54,0.33,0.46,11.51265124,5.103333333,116.7712095,8.487775141,149.1337059,11.83144414,
1875.01,1875,1,1875-1-01,4.54,0.3275,0.4517,11.51265124,5.07,116.7712095,8.423473814,150.0302053,11.61796373,
1875.02,1875,2,1875-2-01,4.53,0.325,0.4433,11.51265124,5.03,116.5140042,8.359172487,150.5947463,11.40191127,
1875.03,1875,3,1875-3-01,4.59,0.3225,0.435,11.51265124,4.99,118.057236,8.29487116,153.4828078,11.18843087,
1875.04,1875,4,1875-4-01,4.65,0.32,0.4267,11.60773554,4.95,118.6207655,8.163149451,155.0998257,10.8850496,
1875.05,1875,5,1875-5-01,4.47,0.3175,0.4183,11.32232066,4.91,116.9034551,8.303545189,153.7591555,10.93975733,
1875.06,1875,6,1875-6-01,4.38,0.315,0.41,11.13207107,4.87,116.5073742,8.378954995,154.1565833,10.90594142,
1875.07,1875,7,1875-7-01,4.39,0.3125,0.4017,11.13207107,4.83,116.7733728,8.312455352,155.4250902,10.68516261,
1875.08,1875,8,1875-8-01,4.41,0.31,0.3933,11.22715537,4.79,116.3118949,8.176119594,155.7177305,10.37312205,
1875.09,1875,9,1875-9-01,4.37,0.3075,0.385,11.13207107,4.75,116.2413756,8.179456067,156.5358707,10.24094499,
1875.1,1875,10,1875-10-01,4.3,0.305,0.3767,11.13207107,4.71,114.3793857,8.112956424,154.9388705,10.02016618,
1875.11,1875,11,1875-11-01,4.37,0.3025,0.3683,11.03690579,4.67,117.2436623,8.115837034,159.7349795,9.881199271,
1875.12,1875,12,1875-12-01,4.37,0.3,0.36,10.9417405,4.63,118.2633837,8.118767759,162.0460308,9.742521311,
1876.01,1876,1,1876-1-01,4.46,0.3,0.3533,10.84657521,4.59,121.7579987,8.189999911,167.7695682,9.645089895,
1876.02,1876,2,1876-2-01,4.52,0.3,0.3467,10.84657521,4.578333333,123.3959987,8.189999911,170.9669703,9.464909897,
1876.03,1876,3,1876-3-01,4.51,0.3,0.34,10.84657521,4.566666667,123.1229987,8.189999911,171.5343386,9.281999899,
1876.04,1876,4,1876-4-01,4.34,0.3,0.3333,10.75149091,4.555,119.5298327,8.262430833,167.4876227,9.179560656,
1876.05,1876,5,1876-5-01,4.18,0.3,0.3267,10.37091074,4.543333333,119.3478665,8.565636348,168.2328431,9.327977983,
1876.06,1876,6,1876-6-01,4.15,0.3,0.32,10.08541488,4.531666667,121.8455304,8.808110629,172.788212,9.395318004,
1876.07,1876,7,1876-7-01,4.1,0.3,0.3133,10.08541488,4.52,120.3775119,8.808110629,171.7473192,9.198603533,
1876.08,1876,8,1876-8-01,3.93,0.3,0.3067,10.18058017,4.508333333,114.30765,8.72577481,164.1246595,8.920650448,
1876.09,1876,9,1876-9-01,3.69,0.3,0.3,10.27574545,4.496666667,106.3330578,8.64496405,153.7089998,8.64496405,
1876.1,1876,10,1876-10-01,3.67,0.3,0.2933,10.46599504,4.485,103.8342939,8.487816941,151.119388,8.298255696,
1876.11,1876,11,1876-11-01,3.6,0.3,0.2867,10.56116033,4.473333333,100.9360115,8.411334288,147.9214044,8.038431801,
1876.12,1876,12,1876-12-01,3.58,0.3,0.28,10.75149091,4.461666667,98.59834128,8.262430833,145.5046034,7.711602111,
1877.01,1877,1,1877-1-01,3.55,0.2908,0.2817,10.9417405,4.45,96.07208515,7.869792215,142.7443374,7.623522926,
1877.02,1877,2,1877-2-01,3.34,0.2817,0.2833,10.65632562,4.440833333,92.80989013,7.827708398,138.866557,7.872168226,
1877.03,1877,3,1877-3-01,3.17,0.2725,0.285,10.18058017,4.431666667,92.20235383,7.925912119,138.9457929,8.28948607,
1877.04,1877,4,1877-4-01,2.94,0.2633,0.2867,10.46599504,4.4225,83.18060602,7.449474001,126.2858361,8.111523723,
1877.05,1877,5,1877-5-01,2.94,0.2542,0.2883,10.65632562,4.413333333,81.69493323,7.063555111,124.9239339,8.011105187,
1877.06,1877,6,1877-6-01,2.73,0.245,0.29,10.08541488,4.404166667,80.15380672,7.193290347,123.4839538,8.514506941,
1877.07,1877,7,1877-7-01,2.85,0.2358,0.2917,10.18058017,4.395,82.8948607,6.858459001,128.5872921,8.484361707,
1877.08,1877,8,1877-8-01,3.05,0.2267,0.2933,9.8,4.385833333,92.15715051,6.849844597,143.8405056,8.862194179,
1877.09,1877,9,1877-9-01,3.24,0.2175,0.295,9.704834711,4.376666667,98.85807317,6.636305838,155.1625958,9.000966539,
1877.1,1877,10,1877-10-01,3.31,0.2083,0.2967,9.704834711,4.3675,100.9938957,6.355597729,159.3461593,9.052836516,
1877.11,1877,11,1877-11-01,3.26,0.1992,0.2983,9.514585124,4.358333333,101.4572341,6.199472708,160.8923224,9.283648136,
1877.12,1877,12,1877-12-01,3.25,0.19,0.3,9.514585124,4.349166667,101.1460156,5.913151679,161.1802176,9.336555282,
1878.01,1878,1,1878-1-01,3.25,0.1892,0.3008,9.229089256,4.34,104.2749017,6.070403509,166.9723419,9.65104321,
1878.02,1878,2,1878-2-01,3.18,0.1883,0.3017,9.134004959,4.33,103.0910947,6.104419222,165.8913154,9.780686561,
1878.03,1878,3,1878-3-01,3.24,0.1875,0.3025,8.94367438,4.32,107.2714881,6.207840748,173.450745,10.01531641,
1878.04,1878,4,1878-4-01,3.33,0.1867,0.3033,8.848509091,4.31,111.4369986,6.247834125,181.0279543,10.1498023,
1878.05,1878,5,1878-5-01,3.34,0.1858,0.3042,8.563094215,4.3,115.4970838,6.424957535,188.4932816,10.51922542,
