year,MT
1980-01-01T00:00:00,3766.4900000000002
1981-01-01T00:00:00,3794.8860000000004
1982-01-01T00:00:00,3947.4390000000003
1983-01-01T00:00:00,3986.255
1984-01-01T00:00:00,4186.809
1985-01-01T00:00:00,4384.168000000001
1986-01-01T00:00:00,4493.868
1987-01-01T00:00:00,4605.592000000001
1988-01-01T00:00:00,4705.923000000001
1989-01-01T00:00:00,4780.166
1990-01-01T00:00:00,4702.379
1991-01-01T00:00:00,4537.049
1992-01-01T00:00:00,4439.5560000000005
1993-01-01T00:00:00,4323.764
1994-01-01T00:00:00,4406.505
1995-01-01T00:00:00,4485.7570000000005
1996-01-01T00:00:00,4586.158
1997-01-01T00:00:00,4589.709
1998-01-01T00:00:00,4567.467000000001
1999-01-01T00:00:00,4507.147
2000-01-01T00:00:00,4648.726000000001
2001-01-01T00:00:00,4865.715
2002-01-01T00:00:00,4916.793000000001
2003-01-01T00:00:00,5271.999000000001
2004-01-01T00:00:00,5671.298000000001
2005-01-01T00:00:00,6032.159000000001
2006-01-01T00:00:00,6343.612
2007-01-01T00:00:00,6615.427000000001
2008-01-01T00:00:00,6837.017000000001
2009-01-01T00:00:00,6913.764
2010-01-01T00:00:00,7345.909000000001
2011-01-01T00:00:00,7835.6630000000005
2012-01-01T00:00:00,8039.782
2013-01-01T00:00:00,8138.898
2014-01-01T00:00:00,8043.147000000001
2015-01-01T00:00:00,7831.214000000001
2016-01-01T00:00:00,7303.822
2017-01-01T00:00:00,7560.447
2018-01-01T00:00:00,7858.962
2019-01-01T00:00:00,8007.745000000001
