env_step,rew,rew_std,Agent
0,17.4591,3.1393,PPO
30720,258.0573,21.2869,PPO
61440,321.5229,32.9819,PPO
92160,368.9201,45.9052,PPO
122880,399.3288,43.0806,PPO
153600,432.5139,71.3239,PPO
184320,499.772,111.9788,PPO
215040,555.8803,145.4804,PPO
245760,676.9764,211.6327,PPO
276480,813.3559,313.94,PPO
307200,883.8523,297.6962,PPO
337920,965.7387,317.0964,PPO
368640,1133.3987,313.3517,PPO
399360,1301.2343,435.8154,PPO
430080,1508.3458,468.8199,PPO
460800,2025.0004,756.4872,PPO
491520,1975.8486,705.2052,PPO
522240,2227.2255,669.5327,PPO
552960,2409.7045,716.1465,PPO
583680,2393.2191,703.3068,PPO
614400,2312.3677,731.6068,PPO
645120,2165.5728,703.9315,PPO
675840,2199.1089,663.8891,PPO
706560,2253.354,723.8256,PPO
737280,2047.2415,670.5035,PPO
768000,2268.8839,920.2149,PPO
798720,2331.4466,660.495,PPO
829440,2395.9565,766.3797,PPO
860160,2412.8335,845.1709,PPO
890880,2609.335,700.8103,PPO
921600,2323.7125,554.5084,PPO
952320,2342.3823,677.2163,PPO
983040,2370.1043,695.5023,PPO
1013760,2482.5501,852.3902,PPO
1044480,2543.0648,664.076,PPO
1075200,2595.0248,682.0517,PPO
1105920,2293.5028,619.1544,PPO
1136640,2665.0402,689.8843,PPO
1167360,2365.2063,640.2129,PPO
1198080,2740.7154,743.8731,PPO
1228800,2375.3191,919.2542,PPO
1259520,2752.1238,635.7227,PPO
1290240,2652.1802,545.9033,PPO
1320960,2563.4924,543.7153,PPO
1351680,2903.989,437.1591,PPO
1382400,2708.8197,442.3195,PPO
1413120,2696.5147,533.7476,PPO
1443840,2825.6167,502.3265,PPO
1474560,2837.7101,583.6296,PPO
1505280,2286.467,775.9048,PPO
1536000,2564.4424,609.329,PPO
1566720,2815.8548,473.1315,PPO
1597440,2637.735,407.1216,PPO
1628160,2826.9888,466.1343,PPO
1658880,2679.819,604.9165,PPO
1689600,2310.0095,820.3102,PPO
1720320,2401.5418,607.9464,PPO
1751040,2253.5243,640.3227,PPO
1781760,2329.541,569.5139,PPO
1812480,2402.1102,546.2053,PPO
1843200,2731.4867,377.6566,PPO
1873920,2638.8958,423.2264,PPO
1904640,2741.9472,490.6814,PPO
1935360,2672.56,626.8115,PPO
1966080,2579.2487,823.8814,PPO
1996800,2532.4619,608.9239,PPO
2027520,2714.8373,558.9923,PPO
2058240,2790.1972,606.7406,PPO
2088960,2806.6684,594.6761,PPO
2119680,2983.2358,490.9231,PPO
2150400,2678.8518,383.2641,PPO
2181120,2504.8482,731.2124,PPO
2211840,2916.3325,529.2655,PPO
2242560,2736.5338,549.6671,PPO
2273280,2704.9419,624.3988,PPO
2304000,2578.0559,619.9542,PPO
2334720,2459.1878,714.9442,PPO
2365440,2359.8527,534.6146,PPO
2396160,2530.1409,724.2738,PPO
2426880,2624.1701,535.1847,PPO
2457600,2731.1249,553.7215,PPO
2488320,2601.1055,374.4485,PPO
2519040,2680.2664,439.8017,PPO
