Iteration,Value,Agent
0.0,630.208333333,DQN
1.0,467.412140575,DQN
2.0,519.338842975,DQN
3.0,574.32885906,DQN
4.0,673.55679702,DQN
5.0,843.537414966,DQN
6.0,917.464114833,DQN
7.0,1041.99535963,DQN
8.0,963.232323232,DQN
9.0,1028.27004219,DQN
10.0,964.113785558,DQN
11.0,1030.04385965,DQN
12.0,1040.2247191,DQN
13.0,996.19047619,DQN
14.0,1021.41119221,DQN
15.0,969.59798995,DQN
16.0,992.307692308,DQN
17.0,917.307692308,DQN
18.0,893.417721519,DQN
19.0,922.922636103,DQN
20.0,904.098360656,DQN
21.0,963.436123348,DQN
22.0,958.506224066,DQN
23.0,981.666666667,DQN
24.0,948.275862069,DQN
25.0,1002.7607362,DQN
26.0,1048.09688581,DQN
27.0,1084.01253918,DQN
28.0,1084.93589744,DQN
29.0,1078.91156463,DQN
30.0,1197.06840391,DQN
31.0,1158.13148789,DQN
32.0,1155.20504732,DQN
33.0,1204.49101796,DQN
34.0,1251.79640719,DQN
35.0,1372.5,DQN
36.0,1525.29182879,DQN
37.0,1418.30357143,DQN
38.0,1343.43434343,DQN
39.0,1292.23300971,DQN
40.0,1341.55844156,DQN
41.0,1346.26865672,DQN
42.0,1511.03202847,DQN
43.0,1700.35971223,DQN
44.0,1558.73493976,DQN
45.0,1609.29487179,DQN
46.0,1448.58044164,DQN
47.0,1698.65771812,DQN
48.0,1647.36842105,DQN
49.0,1617.95665635,DQN
50.0,1779.47882736,DQN
51.0,1758.38509317,DQN
52.0,1767.05882353,DQN
53.0,1820.1863354,DQN
54.0,1843.55828221,DQN
55.0,1899.7005988,DQN
56.0,1906.19195046,DQN
57.0,1967.68292683,DQN
58.0,1832.63473054,DQN
59.0,1701.06100796,DQN
60.0,1667.22222222,DQN
61.0,1537.42690058,DQN
62.0,1683.63095238,DQN
63.0,1621.7877095,DQN
64.0,1858.48484848,DQN
65.0,1699.46091644,DQN
66.0,1923.7804878,DQN
67.0,1625.45931759,DQN
68.0,1714.48863636,DQN
69.0,1866.07669617,DQN
70.0,2109.52380952,DQN
71.0,2013.75358166,DQN
72.0,2042.94294294,DQN
73.0,1994.3620178,DQN
74.0,1909.85507246,DQN
75.0,1836.64772727,DQN
76.0,1968.67816092,DQN
77.0,2020.97701149,DQN
78.0,1795.45454545,DQN
79.0,1919.7740113,DQN
80.0,2138.16568047,DQN
81.0,2183.33333333,DQN
82.0,1982.65895954,DQN
83.0,2201.2012012,DQN
84.0,2044.78873239,DQN
85.0,2047.56446991,DQN
86.0,2180.36809816,DQN
87.0,2013.48314607,DQN
88.0,2056.33802817,DQN
89.0,1952.20779221,DQN
90.0,1856.05263158,DQN
91.0,1865.57377049,DQN
92.0,2020.05420054,DQN
93.0,2054.09356725,DQN
94.0,2087.89808917,DQN
95.0,2140.49844237,DQN
96.0,2209.6875,DQN
97.0,2385.80858086,DQN
98.0,2351.74603175,DQN
99.0,2182.46153846,DQN
100.0,1946.43799472,DQN
101.0,2089.7574124,DQN
102.0,2036.7816092,DQN
103.0,2480.47945205,DQN
104.0,2433.81294964,DQN
105.0,2142.45283019,DQN
106.0,2413.3126935,DQN
107.0,2151.14942529,DQN
108.0,2103.2967033,DQN
109.0,2373.8317757,DQN
110.0,2396.1038961,DQN
111.0,2360.68111455,DQN
112.0,2104.95867769,DQN
113.0,2177.77777778,DQN
114.0,2375.07598784,DQN
115.0,2428.4057971,DQN
116.0,2375.35816619,DQN
117.0,2654.34083601,DQN
118.0,2692.3566879,DQN
119.0,2428.22822823,DQN
120.0,2336.16438356,DQN
121.0,2166.04278075,DQN
122.0,2326.33053221,DQN
123.0,2454.36046512,DQN
124.0,2506.15384615,DQN
125.0,2405.78034682,DQN
126.0,2292.32876712,DQN
127.0,2236.22754491,DQN
128.0,2414.8255814,DQN
129.0,2432.66475645,DQN
130.0,2318.69918699,DQN
131.0,2463.93939394,DQN
132.0,2289.86928105,DQN
133.0,2494.52449568,DQN
134.0,2449.42528736,DQN
135.0,2658.38509317,DQN
136.0,2532.65895954,DQN
137.0,2427.94117647,DQN
138.0,2378.51002865,DQN
139.0,2432.57142857,DQN
140.0,2331.79190751,DQN
141.0,2341.37931034,DQN
