Date,Value,Price Index
1989 JAN,4.9,CPI
1989 FEB,5.0,CPI
1989 MAR,5.0,CPI
1989 APR,5.3,CPI
1989 MAY,5.3,CPI
1989 JUN,5.2,CPI
1989 JUL,5.2,CPI
1989 AUG,5.0,CPI
1989 SEP,5.2,CPI
1989 OCT,5.5,CPI
1989 NOV,5.5,CPI
1989 DEC,5.5,CPI
1990 JAN,5.7,CPI
1990 FEB,5.9,CPI
1990 MAR,6.0,CPI
1990 APR,6.4,CPI
1990 MAY,6.8,CPI
1990 JUN,6.9,CPI
1990 JUL,6.8,CPI
1990 AUG,7.7,CPI
1990 SEP,8.1,CPI
1990 OCT,8.1,CPI
1990 NOV,7.8,CPI
1990 DEC,7.6,CPI
1991 JAN,7.1,CPI
1991 FEB,7.0,CPI
1991 MAR,6.9,CPI
1991 APR,8.4,CPI
1991 MAY,8.2,CPI
1991 JUN,8.4,CPI
1991 JUL,8.3,CPI
1991 AUG,7.9,CPI
1991 SEP,7.1,CPI
1991 OCT,6.8,CPI
1991 NOV,7.1,CPI
1991 DEC,7.2,CPI
1992 JAN,7.0,CPI
1992 FEB,6.9,CPI
1992 MAR,7.1,CPI
1992 APR,4.7,CPI
1992 MAY,4.3,CPI
1992 JUN,3.8,CPI
1992 JUL,3.6,CPI
1992 AUG,3.0,CPI
1992 SEP,3.0,CPI
1992 OCT,2.9,CPI
1992 NOV,2.6,CPI
1992 DEC,2.6,CPI
1993 JAN,2.2,CPI
1993 FEB,2.4,CPI
1993 MAR,2.5,CPI
1993 APR,2.5,CPI
1993 MAY,2.5,CPI
1993 JUN,2.4,CPI
1993 JUL,2.6,CPI
1993 AUG,2.9,CPI
1993 SEP,3.1,CPI
1993 OCT,2.6,CPI
1993 NOV,2.3,CPI
1993 DEC,2.4,CPI
1994 JAN,2.7,CPI
1994 FEB,2.5,CPI
1994 MAR,2.2,CPI
1994 APR,2.0,CPI
1994 MAY,2.0,CPI
1994 JUN,2.0,CPI
1994 JUL,1.7,CPI
1994 AUG,1.9,CPI
1994 SEP,1.5,CPI
1994 OCT,1.5,CPI
1994 NOV,1.8,CPI
1994 DEC,2.0,CPI
1995 JAN,2.4,CPI
1995 FEB,2.4,CPI
1995 MAR,2.6,CPI
1995 APR,2.3,CPI
1995 MAY,2.5,CPI
1995 JUN,2.6,CPI
1995 JUL,2.7,CPI
1995 AUG,2.6,CPI
1995 SEP,3.0,CPI
1995 OCT,2.9,CPI
1995 NOV,2.8,CPI
1995 DEC,3.0,CPI
1996 JAN,2.6,CPI
1996 FEB,2.7,CPI
1996 MAR,2.6,CPI
1996 APR,2.5,CPI
1996 MAY,2.3,CPI
1996 JUN,2.3,CPI
1996 JUL,2.2,CPI
1996 AUG,2.3,CPI
1996 SEP,2.3,CPI
1996 OCT,2.5,CPI
1996 NOV,2.6,CPI
1996 DEC,2.3,CPI
1997 JAN,2.1,CPI
1997 FEB,1.9,CPI
1997 MAR,1.7,CPI
1997 APR,1.6,CPI
1997 MAY,1.6,CPI
1997 JUN,1.7,CPI
1997 JUL,2.0,CPI
1997 AUG,2.0,CPI
1997 SEP,1.8,CPI
1997 OCT,1.9,CPI
1997 NOV,1.9,CPI
1997 DEC,1.7,CPI
1998 JAN,1.5,CPI
