Measure,Age,1,2,3,4,5,6,7,8,9,10,11-20,21-50,51-250,251-500,500+
RLP,1,77.54780362,66.93081761,75.975,75.53968254,76.37254902,72.82608696,76.02777778,71.80555556,75.84615385,72.07407407,73.33962264,81.53631285,85.0,89.93975904,98.88452088
RLP,2,91.7133059,81.7681592,78.09165903,75.65364583,75.76460481,73.40909091,71.92612137,67.39358601,67.29118774,73.88655462,71.19595645,78.46146872,75.03261675,82.39808153,94.53051997
RLP,3,98.07720291,83.41373316,77.99919679,80.40388769,73.14513557,73.0593692,67.16449086,69.80392157,66.7689243,71.98739496,66.05730428,64.6673209,65.91139241,62.61337209,82.45478036
RLP,4,105.8701582,88.53186023,85.01462523,87.17606444,80.47743056,79.83914729,77.22689076,81.31884058,83.30327869,81.08298755,122.9823009,111.7061995,74.36561743,78.45205479,104.1729223
RLP,5,115.0,101.7810794,96.35971223,99.76923077,94.05818182,92.52515091,98.33711048,94.4005848,84.06451613,90.4691358,90.69741986,98.7028181,85.72147147,88.80722892,94.36848341
RLP,6,122.0823224,102.8015816,100.2123369,137.8412256,97.32411067,102.7257019,109.8945783,107.0736196,97.31799163,96.55172414,100.6793651,120.7472527,96.8713156,128.4276018,103.817217
RLP,7,151.333758,122.8546341,117.2446154,166.6894737,108.2359813,112.3820513,105.0305085,117.7132867,112.543379,135.1835749,109.619883,134.4471947,102.1989828,127.0217786,70.1910828
RLP,8,155.6494083,120.3915929,119.0777202,115.5622568,116.5253807,121.4640884,112.0072202,124.669145,111.7815534,124.1030928,121.9082251,142.0936205,123.0442532,134.759322,75.2578534
RLP,9,154.2932203,117.8514851,117.8912214,118.9444444,111.815427,122.8095238,120.2480916,123.968254,119.3282828,120.4331551,169.0248889,125.5497124,127.7875371,137.0472441,86.64994233
RLP,10,160.5857418,119.9099723,116.5462185,123.4709977,110.8313609,123.7179487,120.4285714,137.7344398,115.3544974,122.8426966,124.387156,198.2654575,136.7408483,164.6362229,97.21212121
RLP,11-20,23.95037137,18.09663022,16.74189364,16.18411928,15.25687685,15.08699512,33.63511282,17.45474614,14.15177972,17.69565217,17.52343315,17.0133685,14.07412791,17.49019901,7.984813718
RLP,21-50,196.373648,120.1104338,107.1593011,147.3589651,114.8720066,114.3288364,126.5939335,108.655706,103.6122338,102.0152381,99.37087025,105.2945089,79.3474002,80.50577382,21.89398201
JobCreationPerFirm,1,0.0,0.36892082,0.702826128,1.138040511,1.482260442,1.781622602,2.210098665,2.30641959,2.952024498,2.849028948,4.167508569,7.489310758,17.61970747,51.53164557,145.8169643
JobCreationPerFirm,2,0.0,0.20245088,0.432907054,0.779863801,0.957790283,1.258892742,1.399855908,1.664478909,1.866104321,2.170665213,3.19517597,7.69800452,23.1978022,89.25792988,206.1890315
JobCreationPerFirm,3,0.0,0.149673303,0.392177376,0.69235589,0.934519539,1.229794242,1.462610413,1.746615564,2.051838327,2.371507793,3.509567707,8.716520242,30.81702379,105.8582915,430.8969072
JobCreationPerFirm,4,0.0,0.119542585,0.321816173,0.546098866,0.77603384,0.978696173,1.208784962,1.433609237,1.674790753,1.906630132,2.83001628,6.351659723,22.0618895,83.72753075,316.5315024
JobCreationPerFirm,5,0.0,0.102044951,0.267210533,0.445666313,0.622451857,0.79166717,0.957669857,1.124847975,1.309554879,1.483496584,2.243009722,5.124034023,18.49173671,71.94563427,244.5861027
JobCreationPerFirm,6,0.0,0.091969379,0.241583249,0.389454863,0.549635823,0.692630597,0.828004805,0.986886934,1.130464275,1.311763436,1.954904427,4.558917443,16.46702881,63.34090909,226.6775956
JobCreationPerFirm,7,0.0,0.086563065,0.224113227,0.355616183,0.497453621,0.613479611,0.759250501,0.891430362,1.023230088,1.167030468,1.747207157,4.215284842,16.83978815,54.6456477,190.2964245
JobCreationPerFirm,8,0.0,0.080208362,0.210158467,0.326212066,0.456209028,0.567537606,0.685339916,0.787179846,0.891671808,1.039671021,1.556602983,3.691542918,14.08228635,50.70870113,217.4936212
JobCreationPerFirm,9,0.0,0.078151244,0.206658721,0.319465533,0.432914445,0.538745754,0.667188803,0.753796677,0.861640431,1.019816759,1.497342974,3.693066531,13.48350652,48.16228838,190.0491525
JobCreationPerFirm,10,0.0,0.072621229,0.191261652,0.298807711,0.395063089,0.492866454,0.584140452,0.711438997,0.790574964,0.940502943,1.355408812,3.397875631,12.59177775,40.58708627,183.7571203
JobCreationPerFirm,11-20,0.0,0.41062169,1.104787288,1.713382244,2.328429271,2.905399693,3.509632975,4.066493869,4.635016387,5.482731466,8.273040026,22.85069338,95.79608955,366.6066879,1841.585257
