Date,Stock,Value
08/01/2018,Costco,-1.353817711
16/01/2018,Costco,-1.330047653
23/01/2018,Costco,-1.315318339
30/01/2018,Costco,-1.280325917
06/02/2018,Costco,-1.380860455
13/02/2018,Costco,-1.387562766
21/02/2018,Costco,-1.371219848
28/02/2018,Costco,-1.330976428
07/03/2018,Costco,-1.358638906
14/03/2018,Costco,-1.379971807
21/03/2018,Costco,-1.368718997
28/03/2018,Costco,-1.387942377
05/04/2018,Costco,-1.36731265
12/04/2018,Costco,-1.347229793
19/04/2018,Costco,-1.298390845
26/04/2018,Costco,-1.296906028
03/05/2018,Costco,-1.314488034
10/05/2018,Costco,-1.290968163
17/05/2018,Costco,-1.258443981
24/05/2018,Costco,-1.264008476
01/06/2018,Costco,-1.277801754
08/06/2018,Costco,-1.225842347
15/06/2018,Costco,-1.197942293
22/06/2018,Costco,-1.168318317
29/06/2018,Costco,-1.184933206
09/07/2018,Costco,-1.169572055
16/07/2018,Costco,-1.138929752
23/07/2018,Costco,-1.107660071
30/07/2018,Costco,-1.105544055
06/08/2018,Costco,-1.07725216
13/08/2018,Costco,-1.102017488
20/08/2018,Costco,-1.040967147
27/08/2018,Costco,-1.019963413
04/09/2018,Costco,-0.978956057
11/09/2018,Costco,-0.904083648
18/09/2018,Costco,-0.981548753
25/09/2018,Costco,-0.992704877
02/10/2018,Costco,-0.965835379
09/10/2018,Costco,-1.061527576
16/10/2018,Costco,-1.033951338
23/10/2018,Costco,-1.025545105
30/10/2018,Costco,-1.032065509
06/11/2018,Costco,-0.9630074
13/11/2018,Costco,-0.978825868
20/11/2018,Costco,-1.095614535
28/11/2018,Costco,-1.008751621
06/12/2018,Costco,-0.986228295
13/12/2018,Costco,-1.038913422
20/12/2018,Costco,-1.270285316
28/12/2018,Costco,-1.231618049
07/01/2019,Costco,-1.192557667
14/01/2019,Costco,-1.176807351
22/01/2019,Costco,-1.150031737
29/01/2019,Costco,-1.166491086
05/02/2019,Costco,-1.156253037
12/02/2019,Costco,-1.149462065
20/02/2019,Costco,-1.108321589
27/02/2019,Costco,-1.100898908
06/03/2019,Costco,-1.091581225
13/03/2019,Costco,-0.956157448
20/03/2019,Costco,-0.951419691
27/03/2019,Costco,-0.932231341
03/04/2019,Costco,-0.907989316
10/04/2019,Costco,-0.883273286
17/04/2019,Costco,-0.883668439
25/04/2019,Costco,-0.883352393
02/05/2019,Costco,-0.906330999
09/05/2019,Costco,-0.894980102
16/05/2019,Costco,-0.863546475
23/05/2019,Costco,-0.85491617
31/05/2019,Costco,-0.925780109
07/06/2019,Costco,-0.795691276
14/06/2019,Costco,-0.762912193
21/06/2019,Costco,-0.715563666
28/06/2019,Costco,-0.730369539
08/07/2019,Costco,-0.689673006
15/07/2019,Costco,-0.601152157
22/07/2019,Costco,-0.604398473
29/07/2019,Costco,-0.604715156
05/08/2019,Costco,-0.723719074
12/08/2019,Costco,-0.674550195
19/08/2019,Costco,-0.640504126
26/08/2019,Costco,-0.61793787
03/09/2019,Costco,-0.505220219
10/09/2019,Costco,-0.46594086
17/09/2019,Costco,-0.510299117
24/09/2019,Costco,-0.538072677
01/10/2019,Costco,-0.569655091
08/10/2019,Costco,-0.506490007
15/10/2019,Costco,-0.454911231
22/10/2019,Costco,-0.442373346
29/10/2019,Costco,-0.474987082
05/11/2019,Costco,-0.443484666
12/11/2019,Costco,-0.432986748
19/11/2019,Costco,-0.419150031
26/11/2019,Costco,-0.427101748
04/12/2019,Costco,-0.464638206
11/12/2019,Costco,-0.474340468
18/12/2019,Costco,-0.50161722
26/12/2019,Costco,-0.470920142
03/01/2020,Costco,-0.502730323
10/01/2020,Costco,-0.458912694
17/01/2020,Costco,-0.399745761
27/01/2020,Costco,-0.361811603
03/02/2020,Costco,-0.42105777
10/02/2020,Costco,-0.32203722
18/02/2020,Costco,-0.256210778
25/02/2020,Costco,-0.393122685
03/03/2020,Costco,-0.410177184
10/03/2020,Costco,-0.357022382
17/03/2020,Costco,-0.376228438
24/03/2020,Costco,-0.551950412
31/03/2020,Costco,-0.550436042
07/04/2020,Costco,-0.403004817
15/04/2020,Costco,-0.350089247
22/04/2020,Costco,-0.356862639
29/04/2020,Costco,-0.375430744
06/05/2020,Costco,-0.355462153
13/05/2020,Costco,-0.409378216
20/05/2020,Costco,-0.387252207
28/05/2020,Costco,-0.350111157
04/06/2020,Costco,-0.34060558
11/06/2020,Costco,-0.419841739
18/06/2020,Costco,-0.429905779
25/06/2020,Costco,-0.422237879
02/07/2020,Costco,-0.380623271
10/07/2020,Costco,-0.216959444
17/07/2020,Costco,-0.228461422
24/07/2020,Costco,-0.22055429
31/07/2020,Costco,-0.216958425
07/08/2020,Costco,-0.093846548
14/08/2020,Costco,-0.130908109
21/08/2020,Costco,-0.064229197
28/08/2020,Costco,-0.034131854
04/09/2020,Costco,-0.048540027
14/09/2020,Costco,-0.077756875
21/09/2020,Costco,-0.104572998
28/09/2020,Costco,-0.024126157
05/10/2020,Costco,0.047595475
12/10/2020,Costco,0.190878997
19/10/2020,Costco,0.183514786
26/10/2020,Costco,0.14469249
02/11/2020,Costco,0.09970851
09/11/2020,Costco,0.104600405
16/11/2020,Costco,0.223216814
23/11/2020,Costco,0.238615288
01/12/2020,Costco,0.366948991
08/12/2020,Costco,0.28497708
15/12/2020,Costco,0.237900905
22/12/2020,Costco,0.156833948
30/12/2020,Costco,0.259052152
07/01/2021,Costco,0.205309845
14/01/2021,Costco,0.159467535
22/01/2021,Costco,0.159055822
29/01/2021,Costco,0.077825046
05/02/2021,Costco,0.106147641
12/02/2021,Costco,0.086191278
22/02/2021,Costco,0.065245378
01/03/2021,Costco,-0.086817873
08/03/2021,Costco,-0.254630932
15/03/2021,Costco,-0.097208022
22/03/2021,Costco,-0.064387156
29/03/2021,Costco,0.114228783
06/04/2021,Costco,0.146966847
13/04/2021,Costco,0.188940685
20/04/2021,Costco,0.242707196
27/04/2021,Costco,0.230172114
04/05/2021,Costco,0.278693361
11/05/2021,Costco,0.302576283
18/05/2021,Costco,0.340838844
25/05/2021,Costco,0.362077478
02/06/2021,Costco,0.322492646
09/06/2021,Costco,0.317286107
16/06/2021,Costco,0.312741213
23/06/2021,Costco,0.416537481
30/06/2021,Costco,0.447114307
08/07/2021,Costco,0.541985371
15/07/2021,Costco,0.580578372
22/07/2021,Costco,0.627848683
29/07/2021,Costco,0.698400144
05/08/2021,Costco,0.846686641
12/08/2021,Costco,0.864652972
19/08/2021,Costco,0.938341197
26/08/2021,Costco,0.897357152
02/09/2021,Costco,0.993896469
10/09/2021,Costco,1.028587368
17/09/2021,Costco,0.981808513
24/09/2021,Costco,1.050031604
01/10/2021,Costco,0.889243144
