Entity,Year,Electricity from solar (TWh)
Europe (BP),1965-01-01,0
Europe (BP),1966-01-01,0
Europe (BP),1967-01-01,0
Europe (BP),1968-01-01,0
Europe (BP),1969-01-01,0
Europe (BP),1970-01-01,0
Europe (BP),1971-01-01,0
Europe (BP),1972-01-01,0
Europe (BP),1973-01-01,0
Europe (BP),1974-01-01,0
Europe (BP),1975-01-01,0
Europe (BP),1976-01-01,0
Europe (BP),1977-01-01,0
Europe (BP),1978-01-01,0
Europe (BP),1979-01-01,0
Europe (BP),1980-01-01,0
Europe (BP),1981-01-01,0
Europe (BP),1982-01-01,0
Europe (BP),1983-01-01,0
Europe (BP),1984-01-01,0.001010101
Europe (BP),1985-01-01,0.001010101
Europe (BP),1986-01-01,0.001010101
Europe (BP),1987-01-01,0
Europe (BP),1988-01-01,0.001010101
Europe (BP),1989-01-01,0.009090909
Europe (BP),1990-01-01,0.0125
Europe (BP),1991-01-01,0.0155
Europe (BP),1992-01-01,0.025087999
Europe (BP),1993-01-01,0.032382999
Europe (BP),1994-01-01,0.034688499
Europe (BP),1995-01-01,0.044840001
Europe (BP),1996-01-01,0.047811411
Europe (BP),1997-01-01,0.056926243
Europe (BP),1998-01-01,0.0670885
Europe (BP),1999-01-01,0.080198057
Europe (BP),2000-01-01,0.074473247
Europe (BP),2001-01-01,0.194202498
Europe (BP),2002-01-01,0.314754993
Europe (BP),2003-01-01,0.468697757
Europe (BP),2004-01-01,0.751097858
Europe (BP),2005-01-01,1.512383223
Europe (BP),2006-01-01,2.569087744
Europe (BP),2007-01-01,3.877704859
Europe (BP),2008-01-01,7.589071274
Europe (BP),2009-01-01,14.32483482
Europe (BP),2010-01-01,23.49743652
Europe (BP),2011-01-01,47.10554886
Europe (BP),2012-01-01,72.23394012
Europe (BP),2013-01-01,86.54611969
Europe (BP),2014-01-01,97.33773041
Europe (BP),2015-01-01,108.2346039
Europe (BP),2016-01-01,112.4035645
Europe (BP),2017-01-01,122.7574387
Europe (BP),2018-01-01,136.1681213
Europe (BP),2019-01-01,150.4425507
Europe (BP),2020-01-01,175.6517639
Europe (BP),2021-01-01,195.552124
United States,1965-01-01,0
United States,1966-01-01,0
United States,1967-01-01,0
United States,1968-01-01,0
United States,1969-01-01,0
United States,1970-01-01,0
United States,1971-01-01,0
United States,1972-01-01,0
United States,1973-01-01,0
United States,1974-01-01,0
United States,1975-01-01,0
United States,1976-01-01,0
United States,1977-01-01,0
United States,1978-01-01,0
United States,1979-01-01,0
United States,1980-01-01,0
United States,1981-01-01,0
United States,1982-01-01,0
United States,1983-01-01,0.003
United States,1984-01-01,0.00530101
United States,1985-01-01,0.010737374
United States,1986-01-01,0.014173737
United States,1987-01-01,0.01060303
United States,1988-01-01,0.009185859
United States,1989-01-01,0.253132313
United States,1990-01-01,0.370794952
United States,1991-01-01,0.478252888
United States,1992-01-01,0.408844471
United States,1993-01-01,0.47516188
United States,1994-01-01,0.501872778
United States,1995-01-01,0.514471591
United States,1996-01-01,0.541341245
United States,1997-01-01,0.532695711
United States,1998-01-01,0.524659336
United States,1999-01-01,0.518342078
United States,2000-01-01,0.518512666
United States,2001-01-01,0.574351072
United States,2002-01-01,0.601597607
United States,2003-01-01,0.610654294
United States,2004-01-01,0.698132455
United States,2005-01-01,0.748900652
United States,2006-01-01,0.824432135
United States,2007-01-01,1.095410466
United States,2008-01-01,1.633062601
United States,2009-01-01,2.075960398
United States,2010-01-01,3.013036489
United States,2011-01-01,4.738903999
United States,2012-01-01,9.037014008
United States,2013-01-01,16.03969574
United States,2014-01-01,29.21616173
United States,2015-01-01,39.4262619
United States,2016-01-01,55.42020035
United States,2017-01-01,78.05757904
United States,2018-01-01,94.30808258
United States,2019-01-01,107.9737396
United States,2020-01-01,132.0414124
United States,2021-01-01,165.3565674
World,1965-01-01,0
World,1966-01-01,0
World,1967-01-01,0
World,1968-01-01,0
World,1969-01-01,0
World,1970-01-01,0
World,1971-01-01,0
World,1972-01-01,0
World,1973-01-01,0
World,1974-01-01,0
World,1975-01-01,0
World,1976-01-01,0
World,1977-01-01,0
World,1978-01-01,0
World,1979-01-01,0
World,1980-01-01,0
World,1981-01-01,0
World,1982-01-01,0
World,1983-01-01,0.003
World,1984-01-01,0.006311111
World,1985-01-01,0.011747475
World,1986-01-01,0.015183838
World,1987-01-01,0.01060303
World,1988-01-01,0.01019596
World,1989-01-01,0.262223244
World,1990-01-01,0.388294935
World,1991-01-01,0.505202889
World,1992-01-01,0.4665851
World,1993-01-01,0.556697547
World,1994-01-01,0.59701395
World,1995-01-01,0.638813794
World,1996-01-01,0.699207962
World,1997-01-01,0.749584794
World,1998-01-01,0.811788976
World,1999-01-01,0.905196905
World,2000-01-01,1.058970094
World,2001-01-01,1.423285365
World,2002-01-01,1.799019575
World,2003-01-01,2.255103827
World,2004-01-01,2.971521616
World,2005-01-01,4.187109947
World,2006-01-01,5.761838913
World,2007-01-01,7.817909718
World,2008-01-01,12.69742298
World,2009-01-01,21.0739727
World,2010-01-01,33.91127014
World,2011-01-01,65.58232117
World,2012-01-01,101.5408783
World,2013-01-01,138.6014557
World,2014-01-01,196.3565063
World,2015-01-01,254.7397156
World,2016-01-01,327.5842285
World,2017-01-01,445.4662781
World,2018-01-01,576.230896
World,2019-01-01,703.9497681
World,2020-01-01,846.2293701
World,2021-01-01,1032.501221
