Date,Builds,Price,Period
01/01/1980,49600,18377.0,1980-1989
01/04/1980,49400,19132.0,1980-1989
01/07/1980,51250,19732.0,1980-1989
01/10/1980,52360,19926.0,1980-1989
01/01/1981,46070,19965.0,1980-1989
01/04/1981,40370,20487.0,1980-1989
01/07/1981,40880,20758.0,1980-1989
01/10/1981,41100,20410.0,1980-1989
01/01/1982,35670,19848.0,1980-1989
01/04/1982,33610,20681.0,1980-1989
01/07/1982,35790,21223.0,1980-1989
01/10/1982,41600,21514.0,1980-1989
01/01/1983,35990,22269.0,1980-1989
01/04/1983,41710,22850.0,1980-1989
01/07/1983,41610,23818.0,1980-1989
01/10/1983,48500,24012.0,1980-1989
01/01/1984,42500,24399.0,1980-1989
01/04/1984,40880,25174.0,1980-1989
01/07/1984,44080,26142.0,1980-1989
01/10/1984,47930,26529.0,1980-1989
01/01/1985,39370,26529.0,1980-1989
01/04/1985,40320,27497.0,1980-1989
01/07/1985,39340,28272.0,1980-1989
01/10/1985,45070,29046.0,1980-1989
01/01/1986,36750,29821.0,1980-1989
01/04/1986,41840,31176.0,1980-1989
01/07/1986,41430,32726.0,1980-1989
01/10/1986,50340,33887.0,1980-1989
01/01/1987,41360,34856.0,1980-1989
01/04/1987,43220,36598.0,1980-1989
01/07/1987,43820,38341.0,1980-1989
01/10/1987,49890,40767.0,1980-1989
01/01/1988,46820,42721.0,1980-1989
01/04/1988,47000,45234.0,1980-1989
01/07/1988,49790,51657.0,1980-1989
01/10/1988,50200,54728.0,1980-1989
01/01/1989,44750,55845.0,1980-1989
01/04/1989,42210,57520.0,1980-1989
01/07/1989,42850,59754.0,1980-1989
01/10/1989,45140,58358.0,1980-1989
01/01/1990,41020,57083.0,1990-1999
01/04/1990,38630,56515.0,1990-1999
01/07/1990,40430,57310.0,1990-1999
01/10/1990,43830,56231.0,1990-1999
01/01/1991,37150,55209.0,1990-1999
01/04/1991,38960,55266.0,1990-1999
01/07/1991,38780,56345.0,1990-1999
01/10/1991,39710,55436.0,1990-1999
01/01/1992,37690,54414.0,1990-1999
01/04/1992,33850,52994.0,1990-1999
01/07/1992,36240,53149.0,1990-1999
01/10/1992,36050,50814.0,1990-1999
01/01/1993,36320,51333.0,1990-1999
01/04/1993,35610,51488.0,1990-1999
01/07/1993,35910,52578.0,1990-1999
01/10/1993,40000,51800.0,1990-1999
01/01/1994,36200,52475.0,1990-1999
