Date,Value,Detail,Source
2011-01-31,3.14,Monthly average of UK resident monetary financial institutions' (excl. Central Bank) sterling standard variable rate mortgage to households (in percent) not seasonally adjusted              [a]             CFMBX2D,Bank of England
2011-02-28,3.14,,
2011-03-31,3.15,,
2011-04-30,3.15,,
2011-05-31,3.15,,
2011-06-30,3.16,,
2011-07-31,3.15,,
2011-08-31,3.17,,
2011-09-30,3.1,,
2011-10-31,3.17,,
2011-11-30,3.17,,
2011-12-31,3.17,,
2012-01-31,3.14,,
2012-02-29,3.15,,
2012-03-31,3.28,,
2012-04-30,3.26,,
2012-05-31,3.31,,
2012-06-30,3.31,,
2012-07-31,3.32,,
2012-08-31,3.33,,
2012-09-30,3.33,,
2012-10-31,3.4,,
2012-11-30,3.4,,
2012-12-31,3.41,,
2013-01-31,3.41,,
2013-02-28,3.43,,
2013-03-31,3.57,,
2013-04-30,3.59,,
2013-05-31,3.56,,
2013-06-30,3.56,,
2013-07-31,3.56,,
2013-08-31,3.56,,
2013-09-30,3.55,,
2013-10-31,3.54,,
2013-11-30,3.57,,
2013-12-31,3.56,,
2014-01-31,3.57,,
2014-02-28,3.55,,
2014-03-31,3.56,,
2014-04-30,3.56,,
2014-05-31,3.56,,
2014-06-30,3.56,,
2014-07-31,3.57,,
2014-08-31,3.57,,
2014-09-30,3.57,,
2014-10-31,3.57,,
2014-11-30,3.57,,
2014-12-31,3.56,,
2015-01-31,3.56,,
2015-02-28,3.56,,
2015-03-31,3.56,,
2015-04-30,3.56,,
2015-05-31,3.56,,
2015-06-30,3.56,,
2015-07-31,3.55,,
2015-08-31,3.55,,
2015-09-30,3.56,,
2015-10-31,3.56,,
2015-11-30,3.56,,
2015-12-31,3.57,,
