Column1,iso,country,value,total,continent
0,AGO,Armenia,5.7,487227000000.0,Europe
1,ALB,Austria,4.556850913,1552670000000.0,Europe
2,ARE,Azerbaijan,5.600037273,480368000000.0,Asia
3,ARG,Belize,15.22613065,594104000000.0,North America
4,ARM,British Virgin Islands,5.843934342,1608980000000.0,North America
5,AUS,Canada,4.540887309,1988340000000.0,North America
7,AZE,France,6.816589136,2957880000000.0,Europe
9,BEL,Germany,2.626987267,4259930000000.0,Europe
10,BFA,India,8.681228731,3176300000000.0,Asia
11,BGD,Indonesia,3.691240112,1186090000000.0,Asia
12,BGR,Ireland,13.58824711,504183000000.0,Europe
13,BHR,Israel,8.611990348,488527000000.0,Asia
14,BIH,Italy,6.737277123,2107700000000.0,Europe
15,BLR,Japan,1.657071117,4940880000000.0,Asia
16,BOL,Mexico,4.720565298,1272840000000.0,North America
17,BRA,Netherlands,4.863219149,1012850000000.0,Europe
18,BRB,Norway,3.880936036,482175000000.0,Europe
19,BTN,Poland,6.847713362,679445000000.0,Europe
20,BWA,Russian Federation,4.7495841,1778780000000.0,Europe
21,CAN,Saudi Arabia,3.240929768,833541000000.0,Asia
22,CHE,Spain,5.519594973,1427380000000.0,Europe
23,CHL,Sweden,5.075084725,635664000000.0,Europe
24,CHN,Switzerland,4.221716577,800640000000.0,Europe
25,CMR,Thailand,1.533835584,505947000000.0,Asia
26,COL,Turkiye,11.35349641,819035000000.0,Asia
27,CRI,United Kingdom,7.524910374,3131380000000.0,Europe
28,,South Africa,4.9,4900330000000.0,Africa
29,,Nigeria,3.6,593745000000.0,Africa
30,,Ghana,5.4,393445000000.0,Africa
31,,Egypt,3.3,365493000000.0,Africa
32,,Brazil,4.6,1834380000000.0,South America
33,,Argentina,10.4,487445000000.0,South America
34,,Colombia,10.7,314035000000.0,South America
45,,Ecuador,4.2,106035000000.0,South America
