Year,Country,Population,Rank
2011,India,106598,2
2011,China,90901,3
2011,United Kingdom,165834,1
2011,Vietnam,67037,6
2011,New Zealand,67045,5
2011,Sri Lanka,42657,8
2011,Philippines,33922,10
2011,Italy,68822,4
2011,Malaysia,38029,9
2011,Greece,48312,7
2016,India,161079,2
2016,China,155996,3
2016,United Kingdom,162961,1
2016,Vietnam,79058,4
2016,New Zealand,78904,5
2016,Sri Lanka,54032,7
2016,Philippines,45154,10
2016,Italy,63334,6
2016,Malaysia,47642,8
2016,Greece,45617,9
2021,India,242635,1
2021,China,166023,2
2021,United Kingdom,161913,3
2021,Vietnam,90552,4
2021,New Zealand,82939,5
2021,Sri Lanka,65152,6
2021,Philippines,58935,7
2021,Italy,58081,8
2021,Malaysia,57345,9
2021,Greece,44956,10
