Date,y1,y3,y5,y10,y20,us10y,german10y
1979-01-01,,,,,,.,
1979-01-02,11.4467751,12.26609208,12.55842005,12.62296801,12.47574449,9.18,
1979-01-03,11.52141285,12.29654061,12.59916256,12.660829,12.50565557,9.16,
1979-01-04,11.51724184,12.24343271,12.55824246,12.63555521,12.50183352,9.11,
1979-01-05,11.46323639,12.19549405,12.53718942,12.66521513,12.53173743,9.1,
1979-01-08,11.38367226,12.14448406,12.50450103,12.65302282,12.52240633,9.14,
1979-01-09,11.42983005,12.25047396,12.5772228,12.65733515,12.53110314,9.16,
1979-01-10,11.46270022,12.27822418,12.61418154,12.72373668,12.56592848,9.16,
1979-01-11,11.48163764,12.31431113,12.63325748,12.75719515,12.60066711,9.15,
1979-01-12,11.53958277,12.32198739,12.64820633,12.84223198,12.66600192,9.14,
1979-01-15,11.55024945,12.37427323,12.70261443,12.90176443,12.60152328,9.15,
1979-01-16,11.53356668,12.37905493,12.69979804,12.87371876,12.58730468,9.16,
1979-01-17,11.63604025,12.47503929,12.77966198,12.96850304,12.66213054,9.18,
1979-01-18,11.62371624,12.48217437,12.79271826,13.04794021,12.46174758,9.18,
1979-01-19,11.69687344,12.56665766,12.85832976,13.07671919,12.48585388,9.15,
1979-01-22,11.8443269,12.75857273,13.01727338,13.2740995,12.58682928,9.12,
1979-01-23,11.87943311,12.79169323,13.02693574,13.25234114,12.60175567,9.1,
1979-01-24,12.15201342,13.02684966,13.20106983,13.3538098,12.74998455,9.08,
1979-01-25,12.09931788,13.00221336,13.19052061,13.35608785,12.76358036,8.98,
1979-01-26,12.03959034,12.95382403,13.14920631,13.29289669,12.70913498,8.93,
1979-01-29,12.10303207,12.99725974,13.18757571,13.32923298,12.74192552,8.96,
1979-01-30,12.0829537,12.96845144,13.19204098,13.39726835,12.79648217,8.95,
1979-01-31,12.11425537,13.00531572,13.23879723,13.41783459,12.81035478,8.95,
1979-02-01,12.15443557,13.03763914,13.2882612,13.48884494,12.8495602,8.94,
1979-02-02,12.44724156,13.15560524,13.38197457,13.53748452,12.87402603,8.89,
1979-02-05,12.45335035,13.17766091,13.41263946,13.62119354,12.89406585,8.95,
1979-02-06,12.47545074,13.17783317,13.4196924,13.69329075,12.97366535,9,
1979-02-07,12.68456091,13.3127441,13.52157317,13.74928055,12.95304158,9.09,
1979-02-08,12.88173434,13.47463177,13.72415334,13.86478285,12.95344776,9.09,
1979-02-09,12.67344466,13.39985326,13.70085719,13.84729663,12.92684514,9.11,
1979-02-12,12.57347531,13.28537457,13.63792712,13.82229279,12.90731694,.,
1979-02-13,12.41797935,13.22980116,13.57977359,13.7367955,12.84787108,9.11,
1979-02-14,12.31976499,13.1902797,13.54703983,13.67336048,12.81469188,9.12,
1979-02-15,12.25585728,13.19287522,13.56475177,13.74050378,12.87233068,9.12,
1979-02-16,12.13962193,13.09190792,13.4444094,13.66826289,12.87656104,9.11,
1979-02-19,11.64986525,12.58259492,13.07891893,13.56190194,12.94657008,.,
1979-02-20,11.43221179,12.39725927,12.91263573,13.43233461,13.56902798,9.12,
1979-02-21,11.43577118,12.39149559,12.8791785,13.4307015,13.53531744,9.15,
1979-02-22,11.38353032,12.2819003,12.74056994,13.23337366,13.41412727,9.2,
1979-02-23,11.33527132,12.1665037,12.62272745,13.01944484,12.97008051,9.21,
1979-02-26,11.36584271,12.10251349,12.53509545,12.97353302,12.95982251,9.2,
1979-02-27,10.98235209,11.49199859,11.94329315,12.61372751,12.80726286,9.19,
1979-02-28,10.83989733,11.32559113,11.6333904,12.25637076,12.66386479,9.17,
1979-03-01,11.12005519,11.64608269,11.89184928,12.34365,12.61582821,9.17,
1979-03-02,11.05501817,11.52737629,11.79422485,12.22688167,12.38053044,9.16,
1979-03-05,10.96129386,11.22824378,11.40264521,11.92399336,12.2887119,9.11,
1979-03-06,11.00511131,11.29193326,11.51611399,12.11472708,12.4039634,9.14,
1979-03-07,10.72631619,11.08545806,11.34461686,11.9910616,12.39124304,9.1,
1979-03-08,10.27303037,10.68391194,10.93132558,11.57189471,12.17824269,9.1,
1979-03-09,10.39432273,10.82456469,10.97641539,11.5375917,12.17515422,9.11,
1979-03-12,10.44477767,10.86545165,11.031014,11.5756007,12.15810174,9.11,
1979-03-13,10.50285449,10.9054863,11.0986821,11.69111952,12.10975,9.11,
1979-03-14,10.52067278,10.97979184,11.20238233,11.74107378,12.12212812,9.12,
1979-03-15,10.82735034,11.31068457,11.50068183,11.98914151,12.25823615,9.14,
1979-03-16,10.79684498,11.21833733,11.41536609,11.85253043,12.12589905,9.12,
1979-03-19,10.78912827,11.15213501,11.37583725,11.8585366,12.19632154,9.12,
1979-03-20,10.62110614,10.8955804,11.09900408,11.66642209,12.15584893,9.13,
1979-03-21,10.60263775,10.85123252,11.05312409,11.61486458,12.11408271,9.13,
1979-03-22,10.68461033,10.88844823,11.08741549,11.68363779,12.20145902,9.12,
1979-03-23,10.46789,10.73584083,10.94496915,11.50954254,12.02439443,9.12,
1979-03-26,10.53273826,10.80555307,10.97948227,11.55737609,12.20830617,9.12,
1979-03-27,10.46013428,10.60673659,10.73302929,11.21995666,11.97377983,9.11,
1979-03-28,10.37754802,10.61625377,10.7492916,11.21902469,11.97895888,9.07,
1979-03-29,10.26907675,10.41032182,10.47257876,10.93330766,11.64152874,9.06,
1979-03-30,10.26499522,10.41488851,10.46808066,10.92436936,11.74507571,9.11,
1979-04-02,9.994990021,10.13208907,10.28962776,10.89204028,11.65710647,9.11,
1979-04-03,10.13091989,10.2975168,10.3882089,10.95353943,11.70919715,9.1,
1979-04-04,10.26452426,10.4107123,10.50679066,11.09958677,11.78677878,9.09,
1979-04-05,10.29429841,10.3897817,10.47738672,11.06205267,11.76052537,9.07,
1979-04-06,10.19481278,10.2964154,10.42811817,11.06281833,11.82015949,9.1,
1979-04-09,10.17548298,10.26910495,10.37429036,11.0240638,11.65553507,9.14,
1979-04-10,10.0442618,10.18204703,10.28220969,10.91415157,11.48833671,9.17,
1979-04-11,10.00668712,10.14214373,10.23874774,10.87623564,11.68723456,9.2,
1979-04-12,10.05026898,10.20016053,10.47152393,11.06737351,11.64861763,9.2,
1979-04-13,,,,,,.,
1979-04-16,,,,,,9.19,
1979-04-17,10.05767639,10.20793225,10.50384325,11.09045651,11.6775825,9.16,
1979-04-18,10.24872324,10.37504025,10.65263617,11.25154253,11.78920093,9.15,
1979-04-19,10.26871323,10.43467299,10.72367181,11.34942292,11.86697359,9.15,
1979-04-20,10.23916588,10.42670006,10.70642911,11.280581,11.91136302,9.19,
1979-04-23,10.24096617,10.46327593,10.7202823,11.2320735,11.87484917,9.21,
1979-04-24,10.17852055,10.34430379,10.62902718,11.19647866,11.8702185,9.24,
1979-04-25,10.28452842,10.44737036,10.67236244,11.17402192,11.90507669,9.23,
1979-04-26,10.30492464,10.45262836,10.68477074,11.18769977,11.93117658,9.27,
1979-04-27,10.23405452,10.34471385,10.61467067,11.14566295,11.90390625,9.32,
1979-04-30,10.04780997,10.08312665,10.45159914,11.10280757,11.87730206,9.35,
1979-05-01,10.24261872,10.26939,10.54631945,11.15035699,11.96225246,9.36,
1979-05-02,10.22525868,10.22106464,10.47127162,11.05039829,11.90936761,9.34,
1979-05-03,10.16095151,10.14389788,10.37902068,10.96054701,11.89301627,9.38,
1979-05-04,10.17828878,10.12597036,10.2948549,10.81192447,11.80803573,9.39,
1979-05-07,,,,,,9.39,
1979-05-08,10.3190133,10.26137319,10.39910112,10.92671654,11.86899411,9.38,
1979-05-09,10.54401882,10.4464018,10.57290337,11.09745438,11.95737469,9.36,
1979-05-10,10.79310204,10.74349765,10.83409506,11.25928767,12.06668748,9.36,
1979-05-11,10.78065964,10.68921128,10.81124492,11.23878082,12.08106247,9.34,
1979-05-14,10.83607146,10.75366034,10.89921401,11.33992233,12.1204538,9.3,
1979-05-15,10.95520303,10.86704704,11.00435681,11.38119176,12.14743571,9.32,
1979-05-16,10.9321979,10.88844729,10.99487766,11.29805595,12.12379673,9.31,
1979-05-17,11.00639268,10.85728277,10.95782037,11.25180791,12.101893,9.24,
1979-05-18,11.05399565,10.99694881,11.08605067,11.29218478,12.09112351,9.23,
1979-05-21,11.10927994,11.0918633,11.1996459,11.41369308,12.24365111,9.24,
1979-05-22,11.0974305,11.05887764,11.18635513,11.44981269,12.29898185,9.15,
1979-05-23,10.91903217,10.91459679,11.03867038,11.27544503,12.1957253,9.07,
1979-05-24,10.93419764,10.96774017,11.08073869,11.3008596,,9.06,
1979-05-25,11.02830764,11.00048478,11.12589498,11.37064284,,9.01,
1979-05-28,,,,,,.,
1979-05-29,10.92970198,10.9259225,11.10403634,11.39935382,,9.01,
1979-05-30,10.86800802,10.82729629,11.03486327,11.3736017,,.,
1979-05-31,10.9314053,10.84517783,11.05142406,11.40811073,,9.06,
1979-06-01,10.78668968,10.81511752,11.08812391,11.51360307,,9.05,
1979-06-04,10.89900756,10.948598,11.15605278,11.51353775,,9.06,
1979-06-05,10.94494981,10.96361031,11.16328589,11.50895181,,9.02,
1979-06-06,10.99837753,10.97659215,11.17583043,11.57619231,,8.97,
1979-06-07,10.82709845,10.83226941,11.15441965,11.69367518,,8.89,
1979-06-08,11.00344779,11.00719081,11.21203114,11.63766896,,8.9,
1979-06-11,11.06947479,11.0140311,11.27080487,11.6888523,,8.94,
1979-06-12,11.13846052,11.07079836,11.28834392,11.64839798,,8.79,
1979-06-13,12.00375924,11.7804286,11.87210507,12.04084349,,8.83,
1979-06-14,12.28404024,12.05156868,12.24837515,12.41835947,,8.87,
1979-06-15,12.31770441,12.01372524,12.23481561,12.4638435,,8.96,
1979-06-18,12.11882119,11.84611863,12.15218068,12.50527237,,8.95,
1979-06-19,11.9530531,11.69182967,12.03142641,12.44741747,,8.95,
1979-06-20,11.86517467,11.53924873,11.94593131,12.45330484,,8.94,
1979-06-21,11.91082808,11.66279423,12.02524929,12.47355336,,8.93,
1979-06-22,12.01469992,11.78006281,12.11458829,12.49790174,,8.98,
1979-06-25,12.09146361,11.85980091,12.18353396,12.54964199,,8.93,
1979-06-26,11.96817166,11.72458917,12.10656655,12.51539724,,8.82,
1979-06-27,11.93829077,11.69521239,12.11334636,12.52344702,,8.8,
