date,Health,Immigration & Asylum,Crime,The economy,Tax,Pensions,Education,Family life & childcare,Housing,The environment,Britain leaving the EU,Transport,Welfare benefits,Defence and security,None of these,Don't know,Afghanistan,Defence and Terrorism,Don't know / None of these,Unweighted base,Base
15/02/2011,0.31,0.47,0.23,0.78,0.21,0.16,0.18,0.08,0.0,0.07,0.08,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.02,2502,2502
01/03/2011,0.29,0.46,0.21,0.78,0.23,0.18,0.18,0.09,0.0,0.08,0.07,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.03,2104,2104
15/03/2011,0.29,0.46,0.18,0.77,0.21,0.27,0.16,0.07,0.0,0.08,0.07,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.03,2595,2595
29/03/2011,0.27,0.42,0.19,0.79,0.22,0.23,0.16,0.1,0.0,0.08,0.08,0.06,0.0,0.0,0.0,0.0,0.09,0.0,0.02,2198,2198
12/04/2011,0.37,0.43,0.21,0.75,0.19,0.19,0.16,0.09,0.0,0.08,0.07,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.03,2258,2258
26/04/2011,0.32,0.51,0.22,0.75,0.16,0.21,0.16,0.08,0.0,0.06,0.1,0.05,0.0,0.0,0.0,0.0,0.09,0.0,0.02,2617,2617
10/05/2011,0.37,0.48,0.21,0.75,0.15,0.17,0.17,0.08,0.0,0.08,0.09,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.03,2341,2363
24/05/2011,0.33,0.48,0.24,0.76,0.15,0.2,0.16,0.09,0.0,0.07,0.07,0.04,0.0,0.0,0.0,0.0,0.09,0.0,0.03,2442,2442
07/06/2011,0.35,0.51,0.23,0.76,0.14,0.21,0.16,0.08,0.0,0.07,0.07,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.03,2704,2704
14/06/2011,0.43,0.49,0.24,0.73,0.15,0.19,0.15,0.09,0.0,0.08,0.07,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.03,2706,2706
21/06/2011,0.36,0.46,0.21,0.74,0.13,0.34,0.13,0.07,0.0,0.08,0.09,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.02,2732,2732
28/06/2011,0.31,0.46,0.21,0.76,0.15,0.36,0.14,0.06,0.0,0.06,0.12,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.02,2573,2573
05/07/2011,0.29,0.48,0.2,0.73,0.13,0.38,0.15,0.07,0.0,0.07,0.11,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.03,2738,2738
12/07/2011,0.29,0.49,0.2,0.75,0.13,0.34,0.14,0.08,0.0,0.07,0.1,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.03,5226,5226
19/07/2011,0.28,0.48,0.21,0.77,0.14,0.29,0.14,0.07,0.0,0.07,0.14,0.03,0.0,0.0,0.0,0.0,0.1,0.0,0.03,2696,2696
26/07/2011,0.28,0.49,0.23,0.76,0.14,0.27,0.13,0.07,0.0,0.07,0.17,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.02,2615,2615
09/08/2011,0.2,0.46,0.48,0.74,0.12,0.23,0.11,0.06,0.0,0.06,0.13,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.03,2863,2863
23/08/2011,0.17,0.47,0.48,0.76,0.12,0.22,0.16,0.1,0.0,0.05,0.1,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.02,2585,2585
06/09/2011,0.27,0.49,0.38,0.75,0.13,0.22,0.16,0.09,0.0,0.06,0.1,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.02,2552,2552
20/09/2011,0.21,0.44,0.32,0.77,0.15,0.29,0.15,0.08,0.0,0.06,0.15,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.03,2468,2468
04/10/2011,0.26,0.49,0.24,0.79,0.14,0.23,0.14,0.07,0.0,0.06,0.22,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.02,2594,2603
18/10/2011,0.28,0.45,0.23,0.84,0.13,0.25,0.11,0.1,0.0,0.07,0.18,0.02,0.0,0.0,0.0,0.0,0.07,0.0,0.02,1705,1705
01/11/2011,0.23,0.48,0.24,0.8,0.11,0.23,0.12,0.08,0.0,0.07,0.29,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.03,1673,1673
15/11/2011,0.22,0.51,0.21,0.8,0.11,0.23,0.14,0.07,0.0,0.06,0.29,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1682,1682
29/11/2011,0.22,0.49,0.2,0.81,0.13,0.32,0.12,0.08,0.0,0.06,0.26,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.02,1742,1742
13/12/2011,0.2,0.41,0.18,0.81,0.11,0.3,0.12,0.06,0.0,0.06,0.38,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.03,1704,1704
03/01/2012,0.22,0.41,0.26,0.81,0.11,0.28,0.12,0.07,0.0,0.06,0.27,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.03,1762,1762
17/01/2012,0.22,0.45,0.21,0.82,0.1,0.25,0.14,0.09,0.0,0.07,0.28,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.03,1707,1707
31/01/2012,0.25,0.47,0.23,0.82,0.14,0.22,0.13,0.09,0.0,0.07,0.24,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.02,1722,1722
14/02/2012,0.32,0.49,0.21,0.8,0.12,0.22,0.13,0.1,0.0,0.05,0.23,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1725,1725
20/02/2012,0.29,0.42,0.2,0.75,0.16,0.21,0.12,0.1,0.0,0.08,0.23,0.03,0.0,0.0,0.0,0.0,0.05,0.0,0.03,1764,1764
28/02/2012,0.37,0.45,0.19,0.78,0.14,0.21,0.14,0.1,0.0,0.07,0.18,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.03,1729,1729
13/03/2012,0.33,0.45,0.2,0.77,0.17,0.21,0.12,0.1,0.0,0.07,0.12,0.05,0.0,0.0,0.0,0.0,0.15,0.0,0.02,1747,1747
27/03/2012,0.33,0.44,0.18,0.74,0.2,0.25,0.13,0.08,0.0,0.06,0.12,0.07,0.0,0.0,0.0,0.0,0.13,0.0,0.02,1682,1682
10/04/2012,0.26,0.47,0.22,0.77,0.21,0.26,0.13,0.08,0.0,0.06,0.11,0.05,0.0,0.0,0.0,0.0,0.1,0.0,0.02,1661,1661
24/04/2012,0.25,0.47,0.19,0.78,0.19,0.25,0.13,0.11,0.0,0.06,0.17,0.05,0.0,0.0,0.0,0.0,0.07,0.0,0.03,1786,1787
08/05/2012,0.28,0.46,0.17,0.81,0.19,0.25,0.15,0.11,0.0,0.07,0.19,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.02,1658,1658
22/05/2012,0.24,0.43,0.18,0.78,0.14,0.23,0.13,0.09,0.0,0.07,0.28,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1727,1727
07/06/2012,0.28,0.43,0.18,0.76,0.19,0.2,0.15,0.12,0.0,0.06,0.17,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.03,1827,1827
19/06/2012,0.24,0.44,0.16,0.8,0.14,0.25,0.13,0.11,0.0,0.07,0.31,0.02,0.0,0.0,0.0,0.0,0.06,0.0,0.02,1725,1726
03/07/2012,0.27,0.44,0.18,0.79,0.18,0.23,0.13,0.09,0.0,0.06,0.29,0.02,0.0,0.0,0.0,0.0,0.08,0.0,0.02,1730,1730
17/07/2012,0.28,0.5,0.19,0.79,0.15,0.23,0.13,0.09,0.0,0.08,0.21,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.02,1690,1690
31/07/2012,0.28,0.46,0.17,0.79,0.14,0.22,0.16,0.08,0.0,0.07,0.21,0.03,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1704,1704
14/08/2012,0.27,0.46,0.2,0.8,0.14,0.22,0.14,0.08,0.0,0.08,0.2,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1758,1758
28/08/2012,0.24,0.47,0.2,0.79,0.16,0.21,0.15,0.07,0.0,0.06,0.22,0.05,0.0,0.0,0.0,0.0,0.06,0.0,0.03,1695,1695
11/09/2012,0.27,0.44,0.19,0.79,0.15,0.2,0.16,0.1,0.0,0.07,0.16,0.04,0.0,0.0,0.0,0.0,0.07,0.0,0.03,1682,1682
25/09/2012,0.28,0.46,0.24,0.75,0.18,0.19,0.21,0.08,0.0,0.08,0.14,0.03,0.0,0.0,0.0,0.0,0.09,0.0,0.02,1764,1764
09/10/2012,0.3,0.46,0.19,0.76,0.17,0.21,0.15,0.09,0.0,0.06,0.15,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.03,1899,1899
23/10/2012,0.26,0.49,0.22,0.75,0.16,0.21,0.13,0.08,0.0,0.06,0.18,0.03,0.0,0.0,0.0,0.0,0.07,0.0,0.03,1706,1706
06/11/2012,0.27,0.46,0.21,0.74,0.18,0.22,0.16,0.1,0.0,0.09,0.19,0.04,0.0,0.0,0.0,0.0,0.06,0.0,0.02,1816,1816
20/11/2012,0.26,0.48,0.18,0.77,0.17,0.17,0.15,0.1,0.0,0.07,0.23,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.02,1627,1627
04/12/2012,0.3,0.46,0.17,0.77,0.24,0.19,0.14,0.08,0.0,0.09,0.22,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1791,1791
15/01/2013,0.28,0.47,0.18,0.77,0.16,0.22,0.13,0.11,0.0,0.08,0.21,0.05,0.0,0.0,0.0,0.0,0.05,0.0,0.02,2007,2007
29/01/2013,0.26,0.49,0.16,0.79,0.17,0.17,0.14,0.1,0.0,0.09,0.25,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.02,1971,1971
