Unnamed: 0,Year,LOCATION,Value,Series ID,dum
0,1972,GBR,0.7185,All,All
1,1973,GBR,0.728,All,All
2,1974,GBR,0.7315,All,All
3,1975,GBR,0.7310000000000001,All,All
4,1976,GBR,0.723,All,All
5,1977,GBR,0.719,All,All
6,1978,GBR,0.7165,All,All
7,1979,GBR,0.7185,All,All
8,1980,GBR,0.7165,All,All
9,1981,GBR,0.6955,All,All
10,1982,GBR,0.6755,All,All
11,1983,GBR,0.659,All,All
12,1984,GBR,0.665,All,All
13,1985,GBR,0.6725,All,All
14,1986,GBR,0.676,All,All
15,1987,GBR,0.6805000000000001,All,All
16,1988,GBR,0.7010000000000001,All,All
17,1989,GBR,0.7195,All,All
18,1990,GBR,0.7284999999999999,All,All
19,1991,GBR,0.7195,All,All
20,1992,GBR,0.6955,All,All
21,1993,GBR,0.6839999999999999,All,All
22,1994,GBR,0.6865,All,All
23,1995,GBR,0.6915,All,All
24,1996,GBR,0.6995,All,All
25,1997,GBR,0.7070000000000001,All,All
26,1998,GBR,0.7135,All,All
27,1999,GBR,0.719,All,All
28,2000,GBR,0.722,All,All
29,2001,GBR,0.7269999999999999,All,All
30,2002,GBR,0.7255,All,All
31,2003,GBR,0.7269999999999999,All,All
32,2004,GBR,0.731,All,All
33,2005,GBR,0.7324999999999999,All,All
34,2006,GBR,0.7284999999999999,All,All
35,2007,GBR,0.726,All,All
36,2008,GBR,0.7304999999999999,All,All
37,2009,GBR,0.7194999999999999,All,All
38,2010,GBR,0.7035,All,All
39,2011,GBR,0.7065,All,All
40,2012,GBR,0.7035,All,All
41,2013,GBR,0.712,All,All
42,2014,GBR,0.724,All,All
43,2015,GBR,0.735,All,All
44,2016,GBR,0.742,All,All
45,2017,GBR,0.7464999999999999,All,All
46,2018,GBR,0.754,All,All
47,2019,GBR,0.7615000000000001,All,All
48,2020,GBR,0.766,All,All
49,2021,GBR,0.7470000000000001,All,All
50,2022,GBR,0.7545,All,All
0,1972,GBR,0.909,Men,Gender
1,1973,GBR,0.916,Men,Gender
2,1974,GBR,0.912,Men,Gender
3,1975,GBR,0.905,Men,Gender
4,1976,GBR,0.892,Men,Gender
5,1977,GBR,0.884,Men,Gender
6,1978,GBR,0.877,Men,Gender
7,1979,GBR,0.8740000000000001,Men,Gender
8,1980,GBR,0.8640000000000001,Men,Gender
9,1981,GBR,0.83,Men,Gender
10,1982,GBR,0.8,Men,Gender
11,1983,GBR,0.779,Men,Gender
12,1984,GBR,0.779,Men,Gender
13,1985,GBR,0.7829999999999999,Men,Gender
14,1986,GBR,0.78,Men,Gender
15,1987,GBR,0.779,Men,Gender
16,1988,GBR,0.8,Men,Gender
17,1989,GBR,0.8170000000000001,Men,Gender
18,1990,GBR,0.825,Men,Gender
