country,date,value
United Kingdom,2021,2593519346209.63
United Kingdom,2020,2228202491287.77
United Kingdom,2019,2381302756451.69
United Kingdom,2018,2401191424105.81
United Kingdom,2017,2230026005320.22
United Kingdom,2016,2268162072305.43
United Kingdom,2015,2461981713831.11
United Kingdom,2014,2589212258883.71
United Kingdom,2013,2370557219044.81
United Kingdom,2012,2307492217341.89
United Kingdom,2011,2269136898116.46
United Kingdom,2010,2128953912778.9
United Kingdom,2009,2087737965415.17
United Kingdom,2008,2471209558823.53
United Kingdom,2007,2581408563425.37
United Kingdom,2006,2267322907083.72
United Kingdom,2005,2145018181818.18
United Kingdom,2004,2051594653972.9
United Kingdom,2003,1732819591836.73
United Kingdom,2002,1502862709832.13
United Kingdom,2001,1378845544839.5
United Kingdom,2000,1381224088364.35
United Kingdom,1999,1402366930917.33
United Kingdom,1998,1361778734680.36
United Kingdom,1997,1277007203667.32
United Kingdom,1996,1146224648985.96
United Kingdom,1995,1086766608805.43
United Kingdom,1994,1004345315273.95
United Kingdom,1993,939094673065.39
United Kingdom,1992,1041730431730.43
United Kingdom,1991,991302301587.3
United Kingdom,1990,931139073153.41
United Kingdom,1989,783294206479.06
United Kingdom,1988,778672170046.25
United Kingdom,1987,640423964700.11
United Kingdom,1986,525281002638.52
United Kingdom,1985,417849989733.06
United Kingdom,1984,399049777866.45
United Kingdom,1983,424413348491.74
United Kingdom,1982,447047826694.62
United Kingdom,1981,469950872186.5
United Kingdom,1980,486275589123.87
United Kingdom,1979,373820118593.82
United Kingdom,1978,286957545541.71
United Kingdom,1977,227563193790.34
United Kingdom,1976,207770720575.02
United Kingdom,1975,219508285398.23
United Kingdom,1974,183029352501.17
United Kingdom,1973,163372079862.81
United Kingdom,1972,145533326673.33
Germany,2021,3041225103434.06
Germany,2020,2811532855120.63
Germany,2019,2808335025309.8
Germany,2018,2860905995316.86
Germany,2017,2655523466630.59
Germany,2016,2521046002002.73
Germany,2015,2439682376398.83
Germany,2014,2839476465356.07
Germany,2013,2770026575795.3
Germany,2012,2616569774212.5
Germany,2011,2754119879513.62
Germany,2010,2538596284966.67
Germany,2009,2607310019466.01
Germany,2008,2714576310182.81
Germany,2007,2461242881105.5
Germany,2006,2216475957607.06
Germany,2005,2144100009936.19
Germany,2004,2109650865543.63
Germany,2003,1895970736945.49
Germany,2002,1558309281902.75
Germany,2001,1467378818473.62
Germany,2000,1467683146045.49
Germany,1999,1655953353217.38
Germany,1998,1673661220406.8
Germany,1997,1671082788179.56
Germany,1996,1898487132830.78
Germany,1995,1946233110413.54
Germany,1994,1664963239725.2
Germany,1993,1574441026854.37
Germany,1992,1603824671258.61
Germany,1991,1396386564525.63
Germany,1990,1336584774240.41
Germany,1989,1071809678560.28
Germany,1988,1085720493373.43
Germany,1987,1015447643090.32
Germany,1986,811753538683.24
Germany,1985,579983084639.92
Germany,1984,579148817950.66
Germany,1983,618658235158.94
Germany,1982,624505558152.66
Germany,1981,646945276503.68
Germany,1980,757521751667.74
Germany,1979,691654437093.16
Germany,1978,579499476144.11
Germany,1977,472755534405.8
Germany,1976,407871145720.06
Germany,1975,388097696955.24
Germany,1974,336320077091.68
Germany,1973,296212521039.15
Germany,1972,222287233637.98
United States,2021,19256306000000.0
United States,2020,17254541000000.0
United States,2019,17401500000000.0
United States,2018,16771912000000.0
United States,2017,15960169000000.0
United States,2016,15356374000000.0
United States,2015,14872459000000.0
United States,2014,14413979000000.0
United States,2013,13896173000000.0
United States,2012,13562803000000.0
United States,2011,13210168000000.0
United States,2010,12771302000000.0
United States,2009,12324647000000.0
United States,2008,12403523000000.0
United States,2007,11945126000000.0
United States,2006,11350189000000.0
United States,2005,10731093000000.0
United States,2004,10083880000000.0
United States,2003,9487128000000.0
United States,2002,8994760000000.0
United States,2001,8611952000000.0
United States,2000,8204767000000.0
United States,1999,7635185000000.0
United States,1998,7144856000000.0
United States,1997,6757318000000.0
United States,1996,6417484000000.0
United States,1995,6104333000000.0
United States,1994,5829066000000.0
United States,1993,5525024000000.0
United States,1992,5245942000000.0
United States,1991,4948306000000.0
United States,1990,4757180000000.0
United States,1989,4458186000000.0
United States,1988,4150467000000.0
United States,1987,3853172000000.0
United States,1986,3624267000000.0
United States,1985,3403470000000.0
United States,1984,3127068000000.0
United States,1983,2876998000000.0
United States,1982,2625786000000.0
United States,1981,2440992000000.0
United States,1980,2204317000000.0
United States,1979,1990125000000.0
United States,1978,1793022000000.0
United States,1977,1615144000000.0
United States,1976,1462173000000.0
United States,1975,1327272000000.0
United States,1974,1195366000000.0
United States,1973,1088700000000.0
United States,1972,993651000000.0
France,2021,2275068402631.75
France,2020,2064830144267.71
France,2019,2090116003003.92
France,2018,2153317024541.17
France,2017,2014573998174.12
France,2016,1928805239799.23
France,2015,1899008978207.03
France,2014,2240092780994.89
France,2013,2214279566639.61
France,2012,2111227700269.92
France,2011,2255653743667.32
France,2010,2098822923716.67
France,2009,2146077789070.7
France,2008,2257168417890.62
France,2007,2036667414078.44
France,2006,1786709592289.41
France,2005,1701796059940.86
France,2004,1634187863557.15
France,2003,1427452020636.86
France,2002,1151496043558.83
France,2001,1050638816782.28
France,2000,1040388578042.36
France,1999,1138438954539.77
France,1998,1150978430064.49
France,1997,1126495841762.19
France,1996,1261992563149.12
France,1995,1247045603890.13
France,1994,1089929111531.19
France,1993,1042068566133.89
France,1992,1084320941759.6
France,1991,973684455295.9
France,1990,969333815202.99
France,1989,783436150524.37
France,1988,787732628565.14
France,1987,736456400742.12
France,1986,604556302680.18
France,1985,438082201781.28
France,1984,417337686707.2
France,1983,439592047508.39
France,1982,460047908972.95
France,1981,479838261919.13
France,1980,531504191244.96
France,1979,458894542090.66
France,1978,378204941860.47
France,1977,306004279219.04
France,1976,277267140125.65
France,1975,267489674162.46
France,1974,205536006546.65
France,1973,188092221567.47
France,1972,145644993498.05
Italy,2021,1635542975868.19
Italy,2020,1493199940625.84
Italy,2019,1577554075629.8
Italy,2018,1654069686476.08
Italy,2017,1551440300778.24
Italy,2016,1485717126173.82
Italy,2015,1467086926918.2
Italy,2014,1732748295221.37
Italy,2013,1728719080255.14
Italy,2012,1692662951281.99
Italy,2011,1857396276020.43
Italy,2010,1736185458715.0
Italy,2009,1784399409340.9
Italy,2008,1902568244846.17
Italy,2007,1728285460745.81
Italy,2006,1537486409606.47
Italy,2005,1466680664544.12
Italy,2004,1411781363494.68
Italy,2003,1236304578508.82
Italy,2002,991689166967.61
Italy,2001,909813433261.1
Italy,2000,897682311428.39
Italy,1999,976735515072.74
Italy,1998,980891379502.62
Italy,1997,953605047748.98
Italy,1996,998943531183.34
Italy,1995,896234636871.51
Italy,1994,854370455091.26
Italy,1993,829827886058.82
Italy,1992,1037002622152.4
Italy,1991,969118937100.05
Italy,1990,914262542016.81
Italy,1989,723011831780.98
Italy,1988,691342173460.28
Italy,1987,625337602330.45
Italy,1986,493849811663.85
Italy,1985,350102456140.35
Italy,1984,338457172140.18
Italy,1983,342988980112.19
Italy,1982,332197116678.6
Italy,1981,333795728155.34
Italy,1980,363210228351.8
Italy,1979,293804768119.32
Italy,1978,233430358202.15
Italy,1977,192494213298.22
Italy,1976,167887185391.95
Italy,1975,173772482206.41
Italy,1974,148281699910.69
Italy,1973,132916237130.52
Italy,1972,110964482071.71
Japan,2021,3718164221002.12
Japan,2020,3771346058842.54
Japan,2019,3815461652531.38
Japan,2018,3747396175959.7
Japan,2017,3650077430239.53
Japan,2016,3720671108369.63
Japan,2015,3350968358065.59
Japan,2014,3797999260301.2
Japan,2013,4065242317146.24
Japan,2012,4869640083758.5
Japan,2011,4806097268216.69
Japan,2010,4380991656686.68
Japan,2009,4070151683069.7
Japan,2008,3768158708198.09
Japan,2007,3318927250570.05
Japan,2006,3341916073441.54
Japan,2005,3505028207682.58
Japan,2004,3545239525662.47
Japan,2003,3287238805004.59
Japan,2002,3046675120426.2
Japan,2001,3134526849169.21
Japan,2000,3488679586695.19
Japan,1999,3259750076378.23
Japan,1998,2814130520307.43
Japan,1997,3050631080519.28
Japan,1996,3327988556625.31
Japan,1995,3761198219001.57
Japan,1994,3373095791123.57
Japan,1993,3000150182827.36
Japan,1992,2565334899839.16
Japan,1991,2309787857619.55
Japan,1990,2032095585061.38
Japan,1989,1984194473356.89
Japan,1988,2001360106810.91
Japan,1987,1683274392878.75
Japan,1986,1383111064693.88
Japan,1985,936784331743.91
Japan,1984,892028334157.82
Japan,1983,851961398112.18
Japan,1982,771822093355.18
Japan,1981,814236962887.66
Japan,1980,742730465800.6
Japan,1979,705942747490.19
Japan,1978,668234260533.92
Japan,1977,477185029916.95
Japan,1976,386921971596.94
Japan,1975,343862398325.4
Japan,1974,297820187936.63
Japan,1973,260703325047.29
Japan,1972,192458500840.28
Canada,2021,1515151125902.05
Canada,2020,1313162204776.96
Canada,2019,1368888367332.95
Canada,2018,1354514980410.61
Canada,2017,1297635013774.46
Canada,2016,1215250129943.44
Canada,2015,1224766888757.13
Canada,2014,1373505262450.99
Canada,2013,1415697606306.81
Canada,2012,1409271248589.76
Canada,2011,1381733360566.04
Canada,2010,1269191182047.32
Canada,2009,1093342664683.75
Canada,2008,1152019681349.58
Canada,2007,1086613909319.43
Canada,2006,971873236953.46
Canada,2005,860849975243.44
Canada,2004,761145272867.03
Canada,2003,676776104489.33
Canada,2002,576498438794.37
Canada,2001,551306172520.66
Canada,2000,548458689650.53
Canada,1999,512666756411.12
Canada,1998,487672396359.96
Canada,1997,502570417449.08
Canada,1996,486733406674.0
Canada,1995,469529291751.68
Canada,1994,459690978324.55
Canada,1993,472138593907.45
Canada,1992,488271696864.4
Canada,1991,497968927293.36
Canada,1990,467679979430.92
Canada,1989,432368243243.24
Canada,1988,385039408466.73
Canada,1987,331349924585.22
Canada,1986,293987765383.23
Canada,1985,278941047235.45
Canada,1984,270304223612.08
Canada,1983,262853781239.86
Canada,1982,240958904109.59
Canada,1981,227787138210.03
Canada,1980,206358193636.68
Canada,1979,183261055147.69
Canada,1978,169085649162.8
Canada,1977,163887165021.16
Canada,1976,158085192697.77
Canada,1975,134726700747.15
Canada,1974,119651329243.35
Canada,1973,99246075392.46
Canada,1972,87874532781.09
