Year,Category,value
1991,Immigration,329
1991,Emigration,285
1991,Net migration,44
1992,Immigration,268
1992,Emigration,281
1992,Net migration,-13
1993,Immigration,266
1993,Emigration,266
1993,Net migration,-1
1994,Immigration,315
1994,Emigration,238
1994,Net migration,77
1995,Immigration,312
1995,Emigration,236
1995,Net migration,76
1996,Immigration,318
1996,Emigration,264
1996,Net migration,55
1997,Immigration,327
1997,Emigration,279
1997,Net migration,48
1998,Immigration,391
1998,Emigration,251
1998,Net migration,140
1999,Immigration,454
1999,Emigration,291
1999,Net migration,163
2000,Immigration,479
2000,Emigration,321
2000,Net migration,158
2001,Immigration,481
2001,Emigration,309
2001,Net migration,179
2002,Immigration,516
2002,Emigration,363
2002,Net migration,172
2003,Immigration,511
2003,Emigration,363
2003,Net migration,185
2004,Immigration,589
2004,Emigration,344
2004,Net migration,268
2005,Immigration,567
2005,Emigration,361
2005,Net migration,267
2006,Immigration,596
2006,Emigration,398
2006,Net migration,265
2007,Immigration,574
2007,Emigration,341
2007,Net migration,273
2008,Immigration,590
2008,Emigration,427
2008,Net migration,229
2009,Immigration,619
2009,Emigration,397
2009,Net migration,205
2009,Immigration,591
2009,Emigration,368
2009,Net migration,229
2010,Immigration,604
2010,Emigration,339
2010,Net migration,256
2011,Immigration,599
2011,Emigration,351
2011,Net migration,249
2012,Immigration,524
2012,Emigration,363
2012,Net migration,161
2013,Immigration,557
2013,Emigration,350
2013,Net migration,208
2014,Immigration,667
2014,Emigration,358
2014,Net migration,309
2015,Immigration,664
2015,Emigration,334
2015,Net migration,329
2016,Immigration,622
2016,Emigration,369
2016,Net migration,252
2017,Immigration,644
2017,Emigration,395
2017,Net migration,249
2018,Immigration,604
2018,Emigration,372
2018,Net migration,232
2019,Immigration,681
2019,Emigration,409
2019,Net migration,271
2020,Immigration,563
2020,Emigration,530
2020,Net migration,32
2021,Immigration,895
2021,Emigration,498
2021,Net migration,397
2022,Immigration,1064
2022,Emigration,560
2022,Net migration,504
