Date,Mortgage Rate,house_price_change,mortgage_rate_change,Period,House Price,Unnamed: 6,Unnamed: 7
31-Jan-95,8.13,0.55,-17.58917589,1995-1999,53203.0,,
28-Feb-95,8.38,-0.39,-20.64439141,1995-1999,53096.0,,
31-Mar-95,8.08,0.96,-19.67821782,1995-1999,53201.0,,
30-Apr-95,8.29,2.27,-20.14475271,1995-1999,53591.0,,
31-May-95,8.22,0.96,-14.72019465,1995-1999,53678.0,,
30-Jun-95,7.94,0.56,-11.08312343,1995-1999,53735.0,,
31-Jul-95,7.89,1.3,-9.759188847,1995-1999,53901.0,,
31-Aug-95,7.99,0.41,-11.2640801,1995-1999,53600.0,,
30-Sept-95,7.99,-0.21,-11.63954944,1995-1999,53309.0,,
31-Oct-95,7.99,-0.22,-12.89111389,1995-1999,52845.0,,
30-Nov-95,7.99,-0.15,-13.14142678,1995-1999,52788.0,,
31-Dec-95,7.99,0.32,-9.386733417,1995-1999,52922.0,,
31-Jan-96,6.7,0.29,8.805970149,1995-1999,52333.0,,
29-Feb-96,6.65,-0.37,10.52631579,1995-1999,52536.0,,
31-Mar-96,6.49,1.31,9.553158706,1995-1999,52683.0,,
30-Apr-96,6.62,1.91,9.365558912,1995-1999,53331.0,,
31-May-96,7.01,1.11,1.997146933,1995-1999,53822.0,,
30-Jun-96,7.06,1.5,1.133144476,1995-1999,54093.0,,
31-Jul-96,7.12,1.71,1.123595506,1995-1999,54704.0,,
31-Aug-96,7.09,1.54,1.128349788,1995-1999,55107.0,,
30-Sept-96,7.06,1.56,0.0,1995-1999,55026.0,,
31-Oct-96,6.96,0.63,1.58045977,1995-1999,54931.0,,
30-Nov-96,6.94,1.31,1.44092219,1995-1999,55497.0,,
31-Dec-96,7.24,1.13,-1.519337017,1995-1999,55755.0,,
31-Jan-97,7.29,0.2,-2.19478738,1995-1999,55789.0,,
28-Feb-97,7.35,0.55,-3.673469388,1995-1999,56199.0,,
31-Mar-97,7.11,1.83,-1.265822785,1995-1999,56784.0,,
30-Apr-97,7.24,3.4,-1.38121547,1995-1999,57577.0,,
31-May-97,7.15,0.89,-0.41958042,1995-1999,58498.0,,
30-Jun-97,7.14,1.15,-2.801120448,1995-1999,59140.0,,
31-Jul-97,7.2,1.59,-1.666666667,1995-1999,60089.0,,
31-Aug-97,7.17,1.14,2.231520223,1995-1999,60750.0,,
30-Sept-97,7.06,0.1,2.974504249,1995-1999,60991.0,,
31-Oct-97,7.07,-0.39,-2.263083451,1995-1999,61048.0,,
30-Nov-97,7.04,0.34,-5.397727273,1995-1999,61499.0,,
31-Dec-97,7.13,0.77,-9.957924264,1995-1999,61564.0,,
31-Jan-98,7.13,0.22,-17.25105189,1995-1999,61902.0,,
28-Feb-98,7.08,-0.16,-18.36158192,1995-1999,61659.0,,
31-Mar-98,7.02,1.18,-19.65811966,1995-1999,62253.0,,
30-Apr-98,7.14,2.58,-20.0280112,1995-1999,63666.0,,
31-May-98,7.12,1.46,-19.66292135,1995-1999,64277.0,,
30-Jun-98,6.94,1.42,-15.129683,1995-1999,64637.0,,
