value,date,symbol
1,2020-09-20,Punching self
3,2020-09-20,Self-harm / cutting
2,2020-09-20,Binging
0,2020-09-20,Violence towards others
2,2020-09-20,Verbal assualts to others
3,2020-09-20,Compare self to others
0,2020-09-20,Substance abuse
2,2020-09-21,Punching self
3,2020-09-21,Self-harm / cutting
4,2020-09-21,Binging
0,2020-09-21,Violence towards others
3,2020-09-21,Verbal assualts to others
2,2020-09-21,Compare self to others
0,2020-09-21,Substance abuse
2,2020-09-22,Punching self
2,2020-09-22,Self-harm / cutting
3,2020-09-22,Binging
1,2020-09-22,Violence towards others
3,2020-09-22,Verbal assualts to others
3,2020-09-22,Compare self to others
0,2020-09-22,Substance abuse
3,2020-09-23,Punching self
1,2020-09-23,Self-harm / cutting
5,2020-09-23,Binging
0,2020-09-23,Violence towards others
4,2020-09-23,Verbal assualts to others
3,2020-09-23,Compare self to others
0,2020-09-23,Substance abuse
1,2020-09-24,Punching self
1,2020-09-24,Self-harm / cutting
4,2020-09-24,Binging
1,2020-09-24,Violence towards others
2,2020-09-24,Verbal assualts to others
4,2020-09-24,Compare self to others
0,2020-09-24,Substance abuse
0,2020-09-25,Punching self
1,2020-09-25,Self-harm / cutting
3,2020-09-25,Binging
1,2020-09-25,Violence towards others
1,2020-09-25,Verbal assualts to others
2,2020-09-25,Compare self to others
0,2020-09-25,Substance abuse
1,2020-09-26,Punching self
2,2020-09-26,Self-harm / cutting
4,2020-09-26,Binging
0,2020-09-26,Violence towards others
2,2020-09-26,Verbal assualts to others
2,2020-09-26,Compare self to others
0,2020-09-26,Substance abuse
