env_step,rew,rew_std,Agent
0,-45.1638,26.8049,PPO
30720,1.1798,7.6052,PPO
61440,108.396,24.5339,PPO
92160,257.0256,60.1797,PPO
122880,409.4479,107.6753,PPO
153600,576.9856,104.0574,PPO
184320,680.1085,154.5434,PPO
215040,734.055,157.4357,PPO
245760,902.7627,256.8418,PPO
276480,1002.7442,263.7889,PPO
307200,933.2541,233.041,PPO
337920,1381.7994,171.3465,PPO
368640,1365.8795,265.6691,PPO
399360,1422.151,355.0902,PPO
430080,1437.5237,351.6675,PPO
460800,1592.5595,435.5349,PPO
491520,1830.9248,327.1536,PPO
522240,1865.1769,617.9661,PPO
552960,2027.5555,450.231,PPO
583680,1922.7912,530.9554,PPO
614400,2155.52,605.2654,PPO
645120,2281.4225,659.161,PPO
675840,2466.7854,800.2599,PPO
706560,2778.6914,818.3568,PPO
737280,2408.4636,658.6381,PPO
768000,2787.5943,758.873,PPO
798720,2672.0722,886.4375,PPO
829440,2815.8244,756.2206,PPO
860160,2881.8245,932.4833,PPO
890880,3054.5044,656.7209,PPO
921600,2805.7394,811.9402,PPO
952320,3156.5113,882.0281,PPO
983040,3258.3684,1079.2574,PPO
1013760,3141.0442,1009.4955,PPO
1044480,3103.7708,785.5033,PPO
1075200,2894.7434,844.0465,PPO
1105920,3268.2543,849.4982,PPO
1136640,3032.4115,887.7795,PPO
1167360,2798.2882,1018.4211,PPO
1198080,2982.8664,1182.9198,PPO
1228800,2853.1494,856.6556,PPO
1259520,3189.8264,857.3083,PPO
1290240,3148.1075,1157.6515,PPO
1320960,3414.5263,1133.0382,PPO
1351680,3182.4456,848.7621,PPO
1382400,3163.9297,898.0596,PPO
1413120,3334.0317,1050.2921,PPO
1443840,3112.8048,1262.7364,PPO
1474560,3406.995,1065.5177,PPO
1505280,3200.8696,1149.5605,PPO
1536000,3336.6813,867.9635,PPO
1566720,3522.898,1000.9456,PPO
1597440,3435.2771,967.5778,PPO
1628160,3601.9068,1035.0799,PPO
1658880,3446.1252,820.5245,PPO
1689600,3505.6386,968.1454,PPO
1720320,3687.4512,867.7069,PPO
1751040,3615.7173,839.4768,PPO
1781760,3712.6804,957.1922,PPO
1812480,3525.5926,825.2101,PPO
1843200,3679.4306,753.9294,PPO
1873920,3758.6323,770.2905,PPO
1904640,3481.2124,756.4533,PPO
1935360,3420.7446,805.4886,PPO
1966080,3494.1347,752.0038,PPO
1996800,3577.4866,339.4057,PPO
2027520,3639.4031,971.0206,PPO
2058240,3519.3977,713.6278,PPO
2088960,3512.7617,780.0977,PPO
2119680,3530.8447,636.9476,PPO
2150400,3523.7627,741.5985,PPO
2181120,3564.3577,708.5225,PPO
2211840,3576.1605,866.6277,PPO
2242560,3804.0978,705.8611,PPO
2273280,3599.313,699.1721,PPO
2304000,3721.4555,711.6818,PPO
2334720,3532.7069,837.1282,PPO
2365440,3608.8838,1090.2108,PPO
2396160,3910.161,678.6507,PPO
2426880,3426.0564,1185.8051,PPO
2457600,3679.0407,873.2651,PPO
2488320,3757.3899,950.9568,PPO
2519040,3813.3742,764.5632,PPO
2549760,3773.2322,727.4568,PPO
2580480,3639.3853,827.8082,PPO
2611200,3704.148,691.7173,PPO
2641920,3798.3913,694.0727,PPO
2672640,3826.2185,891.9137,PPO
2703360,3965.214,820.4513,PPO
2734080,3644.2885,977.7322,PPO
2764800,3832.7547,857.0111,PPO
2795520,3870.129,816.0748,PPO
2826240,3877.0556,882.7163,PPO
2856960,4003.1883,676.3348,PPO
2887680,3668.3481,838.448,PPO
2918400,4079.2655,880.1724,PPO
2949120,3730.9786,834.9895,PPO
2979840,3877.0596,878.0078,PPO
3010560,3750.2836,849.4658,PPO
3041280,4148.1549,852.399,PPO
3072000,3803.2651,890.7726,PPO
5000,873.2881,38.9518,TD3
10000,692.9757,120.2028,TD3
15000,397.0552,128.6915,TD3
20000,480.1642,153.2019,TD3
25000,400.1059,117.3685,TD3
30000,327.8603,112.1915,TD3
35000,423.3604,110.1699,TD3
40000,550.256,120.7782,TD3
45000,622.4788,118.6195,TD3
50000,597.6534,116.1693,TD3
55000,655.5329,52.1289,TD3
60000,605.0446,79.2021,TD3
65000,711.6328,154.2924,TD3
70000,815.7518,183.6716,TD3
75000,787.1799,162.4248,TD3
80000,824.0866,188.9611,TD3
85000,790.719,246.543,TD3
90000,919.297,227.2307,TD3
95000,904.733,246.6162,TD3
100000,827.7371,224.2807,TD3
105000,877.6288,302.8262,TD3
110000,909.9317,494.907,TD3
115000,1157.1115,416.5022,TD3
120000,1124.3433,486.0497,TD3
125000,1267.6399,570.4972,TD3
130000,1185.5972,499.663,TD3
135000,1192.8429,534.078,TD3
140000,1378.7758,648.9205,TD3
145000,1346.322,606.1947,TD3
150000,1505.2054,677.1879,TD3
155000,1381.1472,674.4805,TD3
160000,1399.9608,402.3369,TD3
165000,1796.5644,536.4386,TD3
170000,1493.7889,721.5545,TD3
175000,1725.0112,623.0873,TD3
180000,1938.587,717.4994,TD3
185000,1783.4559,740.0566,TD3
190000,1865.5029,575.1663,TD3
195000,1894.567,588.6718,TD3
200000,1987.107,656.7583,TD3
205000,1794.3525,506.857,TD3
210000,2027.3582,788.0785,TD3
215000,2086.72,493.8283,TD3
220000,2199.8547,800.2519,TD3
225000,2274.8124,698.8824,TD3
230000,2389.5561,639.7828,TD3
235000,2579.1222,680.182,TD3
240000,2322.6897,490.1931,TD3
245000,2498.8825,726.4331,TD3
250000,2523.3431,643.0873,TD3
255000,2525.9347,572.6054,TD3
260000,2875.4046,707.0678,TD3
265000,2664.8142,672.9307,TD3
270000,2917.7714,714.7034,TD3
275000,2790.7163,934.7828,TD3
280000,2977.8037,826.6263,TD3
285000,2697.3986,734.8315,TD3
290000,2907.1497,863.047,TD3
295000,2967.0549,708.2859,TD3
300000,2836.3506,522.9356,TD3
305000,3079.2142,781.9768,TD3
310000,2442.7108,1035.4865,TD3
315000,2990.2987,722.2599,TD3
320000,3125.9481,729.2069,TD3
325000,3259.542,711.0829,TD3
330000,3276.4432,859.4927,TD3
