Time,Country,Type,Value,Value2,Value = cumulative installed capacity at the end of the year in MW,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2008,England,Wind,1091.0,27.47072894,"Value2 = indexed capacity, 2012 = 100",,,,,
2009,England,Wind,1447.0,36.4345965,,,,,,
2010,England,Wind,1861.0,46.85886944,,,,,,
2011,England,Wind,2520.78,63.47173612,,,,,,
2012,England,Wind,3971.5,100.0,,,,,,
2013,England,Wind,5152.83,129.7451844,,,,,,
2014,England,Wind,5914.1,148.9135087,,,,,,
2015,England,Wind,6618.97,166.6617147,,,,,,
2016,England,Wind,7206.57,181.4571321,,,,,,
2017,England,Wind,9080.83,228.6498804,,,,,,
2018,England,Wind,9932.78,250.101473,,,,,,
2019,England,Wind,11338.31646,285.4920424,,,,,,
2020,England,Wind,11845.37246,298.2594099,,,,,,
2008,England,Solar,1.0,0.064924525,,,,,,
2009,England,Solar,1.0,0.064924525,,,,,,
2010,England,Solar,89.0,5.778282746,,,,,,
2011,England,Solar,887.81,57.64064275,,,,,,
2012,England,Solar,1540.25,100.0,,,,,,
2013,England,Solar,2622.41,170.2587242,,,,,,
2014,England,Solar,4908.63,318.6904723,,,,,,
2015,England,Solar,8548.54,555.009901,,,,,,
2016,England,Solar,10500.94,681.7685441,,,,,,
2017,England,Solar,11110.2,721.3244603,,,,,,
2018,England,Solar,11286.95,732.7998702,,,,,,
2019,England,Solar,11433.45394,742.311569,,,,,,
2020,England,Solar,11628.30242,754.9620142,,,,,,
2008,England,Hydro,25.0,79.69397514,,,,,,
2009,England,Hydro,25.0,79.69397514,,,,,,
2010,England,Hydro,26.0,82.88173414,,,,,,
2011,England,Hydro,29.5,94.03889066,,,,,,
2012,England,Hydro,31.37,100.0,,,,,,
2013,England,Hydro,32.2,102.64584,,,,,,
2014,England,Hydro,33.48,106.7261715,,,,,,
2015,England,Hydro,35.37,112.751036,,,,,,
2016,England,Hydro,35.13,111.9859739,,,,,,
2017,England,Hydro,42.37,135.0653491,,,,,,
2018,England,Hydro,43.87,139.8469876,,,,,,
2019,England,Hydro,43.74841,139.459388,,,,,,
2020,England,Hydro,44.50241,141.8629582,,,,,,
2008,Northern Ireland,Wind,214.0,46.49646931,,,,,,
2009,Northern Ireland,Wind,299.0,64.9646931,,,,,,
2010,Northern Ireland,Wind,320.0,69.52743074,,,,,,
2011,Northern Ireland,Wind,409.13,88.89299294,,,,,,
2012,Northern Ireland,Wind,460.25,100.0,,,,,,
2013,Northern Ireland,Wind,581.08,126.2531233,,,,,,
2014,Northern Ireland,Wind,697.37,151.5198262,,,,,,
2015,Northern Ireland,Wind,731.34,158.9005975,,,,,,
2016,Northern Ireland,Wind,886.16,192.5388376,,,,,,
2017,Northern Ireland,Wind,1182.37,256.8973384,,,,,,
2018,Northern Ireland,Wind,1340.33,291.2178164,,,,,,
2019,Northern Ireland,Wind,1349.11,293.1254753,,,,,,
2020,Northern Ireland,Wind,1354.26,294.2444324,,,,,,
2008,Northern Ireland,Solar,0.0,0.0,,,,,,
2009,Northern Ireland,Solar,0.0,0.0,,,,,,
2010,Northern Ireland,Solar,0.0,0.0,,,,,,
2011,Northern Ireland,Solar,1.8,31.80212014,,,,,,
2012,Northern Ireland,Solar,5.66,100.0,,,,,,
2013,Northern Ireland,Solar,27.04,477.7385159,,,,,,
2014,Northern Ireland,Solar,61.72,1090.459364,,,,,,
2015,Northern Ireland,Solar,105.82,1869.611307,,,,,,
2016,Northern Ireland,Solar,136.04,2403.533569,,,,,,
2017,Northern Ireland,Solar,262.28,4633.922261,,,,,,
2018,Northern Ireland,Solar,321.84,5686.219081,,,,,,
2019,Northern Ireland,Solar,333.56,5893.286219,,,,,,
2020,Northern Ireland,Solar,334.91,5917.137809,,,,,,
2008,Northern Ireland,Hydro,10.0,118.623962,,,,,,
2009,Northern Ireland,Hydro,10.0,118.623962,,,,,,
2010,Northern Ireland,Hydro,8.0,94.89916963,,,,,,
2011,Northern Ireland,Hydro,8.16,96.79715302,,,,,,
2012,Northern Ireland,Hydro,8.43,100.0,,,,,,
2013,Northern Ireland,Hydro,8.65,102.6097272,,,,,,
2014,Northern Ireland,Hydro,8.75,103.7959668,,,,,,
2015,Northern Ireland,Hydro,9.11,108.0664294,,,,,,
2016,Northern Ireland,Hydro,9.59,113.7603796,,,,,,
2017,Northern Ireland,Hydro,10.44,123.8434164,,,,,,
2018,Northern Ireland,Hydro,10.99,130.3677343,,,,,,
2019,Northern Ireland,Hydro,11.01,130.6049822,,,,,,
2020,Northern Ireland,Hydro,11.01,130.6049822,,,,,,
2008,Scotland,Wind,1745.0,44.12147692,,,,,,
2009,Scotland,Wind,2121.0,53.62845418,,,,,,
2010,Scotland,Wind,2677.4,67.69675777,,,,,,
2011,Scotland,Wind,3087.86,78.07503938,,,,,,
2012,Scotland,Wind,3954.99,100.0,,,,,,
2013,Scotland,Wind,4778.75,120.8283712,,,,,,
2014,Scotland,Wind,5276.82,133.4218291,,,,,,
2015,Scotland,Wind,5585.34,141.2226074,,,,,,
