date,label,month,quarter,sourceDataset,updateDate,value,year
1992 APR,1992 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,7.3,1992
1992 MAY,1992 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,7.0,1992
1992 JUN,1992 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,7.1,1992
1992 JUL,1992 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,7.1,1992
1992 AUG,1992 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,7.2,1992
1992 SEP,1992 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,7.4,1992
1992 OCT,1992 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,7.4,1992
1992 NOV,1992 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,7.5,1992
1992 DEC,1992 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,7.6,1992
1993 JAN,1992 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,7.8,1993
1993 FEB,1993 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,7.7,1993
1993 MAR,1993 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,7.7,1993
1993 APR,1993 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,7.5,1993
1993 MAY,1993 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,7.6,1993
1993 JUN,1993 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,7.6,1993
1993 JUL,1993 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,7.6,1993
1993 AUG,1993 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,7.5,1993
1993 SEP,1993 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,7.4,1993
1993 OCT,1993 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,7.5,1993
1993 NOV,1993 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,7.4,1993
1993 DEC,1993 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,7.4,1993
1994 JAN,1993 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,7.3,1994
1994 FEB,1994 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,7.2,1994
1994 MAR,1994 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,7.0,1994
1994 APR,1994 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,7.1,1994
1994 MAY,1994 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,7.0,1994
1994 JUN,1994 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,7.0,1994
1994 JUL,1994 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,6.8,1994
1994 AUG,1994 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,6.7,1994
1994 SEP,1994 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,6.6,1994
1994 OCT,1994 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,6.7,1994
1994 NOV,1994 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,6.6,1994
1994 DEC,1994 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,6.6,1994
1995 JAN,1994 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 FEB,1995 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 MAR,1995 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 APR,1995 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 MAY,1995 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 JUN,1995 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 JUL,1995 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 AUG,1995 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,6.6,1995
1995 SEP,1995 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,6.5,1995
1995 OCT,1995 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,6.3,1995
1995 NOV,1995 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,6.1,1995
1995 DEC,1995 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,6.2,1995
1996 JAN,1995 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,6.2,1996
1996 FEB,1996 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,6.0,1996
1996 MAR,1996 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,6.1,1996
1996 APR,1996 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,6.0,1996
1996 MAY,1996 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,6.0,1996
1996 JUN,1996 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,5.9,1996
1996 JUL,1996 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,5.8,1996
1996 AUG,1996 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,5.8,1996
1996 SEP,1996 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,5.7,1996
1996 OCT,1996 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,5.7,1996
1996 NOV,1996 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,5.6,1996
1996 DEC,1996 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,5.6,1996
1997 JAN,1996 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,5.5,1997
1997 FEB,1997 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,5.4,1997
1997 MAR,1997 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,5.4,1997
1997 APR,1997 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,5.3,1997
1997 MAY,1997 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,5.2,1997
1997 JUN,1997 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,5.1,1997
1997 JUL,1997 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,5.1,1997
1997 AUG,1997 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,4.8,1997
1997 SEP,1997 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,4.8,1997
1997 OCT,1997 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,4.7,1997
1997 NOV,1997 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,4.6,1997
1997 DEC,1997 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,4.4,1997
1998 JAN,1997 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1998 FEB,1998 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,4.3,1998
1998 MAR,1998 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,4.2,1998
1998 APR,1998 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,4.3,1998
1998 MAY,1998 APR-JUN,May,,LMS,2015-10-13T23:00:00.000Z,4.3,1998
1998 JUN,1998 MAY-JUL,June,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1998 JUL,1998 JUN-AUG,July,,LMS,2015-10-13T23:00:00.000Z,4.2,1998
1998 AUG,1998 JUL-SEP,August,,LMS,2015-10-13T23:00:00.000Z,4.3,1998
1998 SEP,1998 AUG-OCT,September,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1998 OCT,1998 SEP-NOV,October,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1998 NOV,1998 OCT-DEC,November,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1998 DEC,1998 NOV-JAN,December,,LMS,2015-10-13T23:00:00.000Z,4.4,1998
1999 JAN,1998 DEC-FEB,January,,LMS,2015-10-13T23:00:00.000Z,4.6,1999
1999 FEB,1999 JAN-MAR,February,,LMS,2015-10-13T23:00:00.000Z,4.5,1999
1999 MAR,1999 FEB-APR,March,,LMS,2015-10-13T23:00:00.000Z,4.5,1999
1999 APR,1999 MAR-MAY,April,,LMS,2015-10-13T23:00:00.000Z,4.4,1999
