Unnamed: 0,DATE,Under,Total,underpct,cont
0,1955-05-01,2063.0,64381,0.0320436153523555,US
1,1955-06-01,1982.0,64482,0.0307372600105455,US
2,1955-07-01,2123.0,65145,0.0325888402793767,US
3,1955-08-01,2203.0,65581,0.0335920464768759,US
4,1955-09-01,2133.0,65628,0.0325013713658804,US
5,1955-10-01,2093.0,65821,0.0317983622248218,US
6,1955-11-01,2199.0,66037,0.0332995139088692,US
7,1955-12-01,2149.0,66445,0.032342538941982,US
8,1956-01-01,2149.0,66419,0.0323551995663891,US
9,1956-02-01,2087.0,66124,0.0315619139797955,US
10,1956-03-01,1980.0,66175,0.0299206649036645,US
11,1956-04-01,2051.0,66264,0.0309519497766509,US
12,1956-05-01,2194.0,66722,0.0328827073528971,US
13,1956-06-01,2331.0,66702,0.0349464783664657,US
14,1956-07-01,2287.0,66752,0.0342611457334611,US
15,1956-08-01,2353.0,66673,0.0352916472935071,US
16,1956-09-01,2399.0,66714,0.0359594687771682,US
17,1956-10-01,2417.0,66546,0.036320740540378,US
18,1956-11-01,2414.0,66657,0.0362152512114256,US
19,1956-12-01,2306.0,66700,0.0345727136431784,US
20,1957-01-01,2283.0,66428,0.0343680375745167,US
21,1957-02-01,2426.0,66879,0.0362744658263431,US
22,1957-03-01,2435.0,66913,0.0363905369659109,US
23,1957-04-01,2283.0,66647,0.0342551052560505,US
24,1957-05-01,2377.0,66695,0.0356398530624484,US
25,1957-06-01,2476.0,67052,0.036926564457436,US
26,1957-07-01,2449.0,67336,0.036369846738743,US
27,1957-08-01,2440.0,66706,0.0365784187329475,US
28,1957-09-01,2484.0,67064,0.037039246093284,US
29,1957-10-01,2641.0,67066,0.0393791190767303,US
30,1957-11-01,2643.0,67123,0.0393754748744841,US
31,1957-12-01,2712.0,67398,0.0402385827472625,US
32,1958-01-01,3291.0,67095,0.0490498546836575,US
33,1958-02-01,3437.0,67201,0.0511450722459487,US
34,1958-03-01,3972.0,67223,0.059086919655475,US
35,1958-04-01,3743.0,67647,0.0553313524620456,US
36,1958-05-01,3602.0,67895,0.0530525075484203,US
37,1958-06-01,3340.0,67674,0.0493542571740993,US
38,1958-07-01,2955.0,67824,0.0435686482661005,US
39,1958-08-01,3178.0,68037,0.0467098784484912,US
40,1958-09-01,3166.0,68002,0.0465574541925237,US
41,1958-10-01,2969.0,68045,0.0436328899992651,US
42,1958-11-01,2805.0,67658,0.041458511927636,US
43,1958-12-01,2825.0,67740,0.0417035724830233,US
