Date,Price
2019-02-01T00:00:00,47.09
2019-03-01T00:00:00,39.31
2019-04-01T00:00:00,34.98
2019-05-01T00:00:00,31.43
2019-06-01T00:00:00,27.96
2019-07-01T00:00:00,29.6
2019-08-01T00:00:00,27.75
2019-09-01T00:00:00,24.87
2019-10-01T00:00:00,25.65
2019-11-01T00:00:00,38.04
2019-12-01T00:00:00,32.14
2020-01-01T00:00:00,27.9
2020-02-01T00:00:00,23.5
2020-03-01T00:00:00,22.92
2020-04-01T00:00:00,13.75
2020-05-01T00:00:00,11.59
2020-06-01T00:00:00,13.18
2020-07-01T00:00:00,13.24
2020-08-01T00:00:00,20.22
2020-09-01T00:00:00,29.9
2020-10-01T00:00:00,38.23
2020-11-01T00:00:00,37.57
2020-12-01T00:00:00,45.69
2021-01-01T00:00:00,59.01
2021-02-01T00:00:00,45.94
2021-03-01T00:00:00,44.96
2021-04-01T00:00:00,54.77
2021-05-01T00:00:00,65.2
2021-06-01T00:00:00,72.01
2021-07-01T00:00:00,90.88
2021-08-01T00:00:00,110.04
2021-09-01T00:00:00,162.1
2021-10-01T00:00:00,213.76
2021-11-01T00:00:00,201.09
2021-12-01T00:00:00,270.96
2022-01-01T00:00:00,203.75
2022-02-01T00:00:00,187.77
