Unnamed: 0,Year,Value,Type
0,1962,99.676,Revenues
1,1963,106.56,Revenues
2,1964,112.613,Revenues
3,1965,116.817,Revenues
4,1966,130.835,Revenues
5,1967,148.822,Revenues
6,1968,152.973,Revenues
7,1969,186.882,Revenues
8,1970,192.807,Revenues
9,1971,187.139,Revenues
10,1972,207.309,Revenues
11,1973,230.799,Revenues
12,1974,263.224,Revenues
13,1975,279.09,Revenues
14,1976,298.06,Revenues
15,1977,355.559,Revenues
16,1978,399.561,Revenues
17,1979,463.302,Revenues
18,1980,517.112,Revenues
19,1981,599.272,Revenues
20,1982,617.766,Revenues
21,1983,600.562,Revenues
22,1984,666.438,Revenues
23,1985,734.037,Revenues
24,1986,769.155,Revenues
25,1987,854.287,Revenues
26,1988,909.238,Revenues
27,1989,991.104,Revenues
28,1990,1031.958,Revenues
29,1991,1054.988,Revenues
30,1992,1091.208,Revenues
31,1993,1154.334,Revenues
32,1994,1258.566,Revenues
33,1995,1351.79,Revenues
34,1996,1453.053,Revenues
35,1997,1579.232,Revenues
36,1998,1721.728,Revenues
37,1999,1827.452,Revenues
38,2000,2025.191,Revenues
39,2001,1991.082,Revenues
40,2002,1853.136,Revenues
41,2003,1782.314,Revenues
42,2004,1880.114,Revenues
43,2005,2153.611,Revenues
44,2006,2406.869,Revenues
45,2007,2567.985,Revenues
46,2008,2523.991,Revenues
47,2009,2104.989,Revenues
48,2010,2162.706,Revenues
49,2011,2303.466,Revenues
50,2012,2449.99,Revenues
51,2013,2775.106,Revenues
52,2014,3021.491,Revenues
53,2015,3249.89,Revenues
54,2016,3267.965,Revenues
55,2017,3316.184,Revenues
56,2018,3329.907,Revenues
57,2019,3463.364,Revenues
58,2020,3421.164,Revenues
59,2021,4047.112,Revenues
60,2022,4896.119,Revenues
0,1962,106.821,Outlays
1,1963,111.316,Outlays
2,1964,118.528,Outlays
3,1965,118.228,Outlays
4,1966,134.532,Outlays
5,1967,157.464,Outlays
6,1968,178.134,Outlays
7,1969,183.64,Outlays
8,1970,195.649,Outlays
9,1971,210.172,Outlays
10,1972,230.681,Outlays
11,1973,245.707,Outlays
12,1974,269.359,Outlays
13,1975,332.332,Outlays
14,1976,371.792,Outlays
15,1977,409.218,Outlays
16,1978,458.746,Outlays
17,1979,504.028,Outlays
18,1980,590.941,Outlays
19,1981,678.241,Outlays
20,1982,745.743,Outlays
21,1983,808.364,Outlays
22,1984,851.805,Outlays
23,1985,946.344,Outlays
24,1986,990.382,Outlays
25,1987,1004.017,Outlays
26,1988,1064.416,Outlays
27,1989,1143.743,Outlays
28,1990,1252.993,Outlays
29,1991,1324.226,Outlays
30,1992,1381.529,Outlays
31,1993,1409.386,Outlays
32,1994,1461.752,Outlays
33,1995,1515.742,Outlays
34,1996,1560.484,Outlays
35,1997,1601.116,Outlays
36,1998,1652.458,Outlays
37,1999,1701.842,Outlays
38,2000,1788.95,Outlays
39,2001,1862.846,Outlays
40,2002,2010.894,Outlays
41,2003,2159.899,Outlays
42,2004,2292.841,Outlays
43,2005,2471.957,Outlays
44,2006,2655.05,Outlays
45,2007,2728.686,Outlays
46,2008,2982.544,Outlays
47,2009,3517.677,Outlays
48,2010,3457.079,Outlays
49,2011,3603.065,Outlays
50,2012,3526.563,Outlays
51,2013,3454.881,Outlays
52,2014,3506.284,Outlays
53,2015,3691.85,Outlays
54,2016,3852.615,Outlays
55,2017,3981.63,Outlays
56,2018,4109.045,Outlays
57,2019,4446.956,Outlays
58,2020,6553.603,Outlays
59,2021,6822.449,Outlays
60,2022,6271.508,Outlays
