LOCATION,Value,foreign population %
AUT,101.548745,16.0
BEL,100.107505,12.1
CZE,104.496517,4.9
DNK,105.350786,8.8
FIN,103.698089,4.5
FRA,102.814627,7.1
DEU,103.375684,12.9
HUN,104.807845,1.7
ISL,104.538868,11.2
IRL,106.290046,12.4
ITA,100.323292,8.7
JPN,101.582134,2.0
KOR,111.478289,2.3
MEX,101.781343,0.3
NLD,100.064801,6.1
NOR,102.017169,10.6
POL,114.261674,0.6
PRT,100.783377,4.1
SVK,105.286173,1.3
ESP,101.103306,9.9
SWE,100.637005,9.0
CHE,104.616177,24.0
TUR,109.819438,1.1
GBR,101.908738,9.0
EST,112.536169,16.4
LVA,108.894782,14.1
LTU,108.612217,1.0
SVN,109.957683,5.9
