year,TW
1989-01-01T00:00:00,0.000906140223737
1990-01-01T00:00:00,0.0012295874440092002
1991-01-01T00:00:00,0.001429480171106
1992-01-01T00:00:00,0.0015945152571428
1993-01-01T00:00:00,0.00191558582007
1994-01-01T00:00:00,0.0025126338338986
1995-01-01T00:00:00,0.0027361346906224
1996-01-01T00:00:00,0.0032112443382702
1997-01-01T00:00:00,0.0041435594815668
1998-01-01T00:00:00,0.0054917896602384
1999-01-01T00:00:00,0.007262431071028001
2000-01-01T00:00:00,0.010696922755905199
2001-01-01T00:00:00,0.0132546813905942
2002-01-01T00:00:00,0.0179468050761516
2003-01-01T00:00:00,0.021768470086911598
2004-01-01T00:00:00,0.028174639049683
2005-01-01T00:00:00,0.034774267920337394
2006-01-01T00:00:00,0.0437181999073352
2007-01-01T00:00:00,0.0563643619513156
2008-01-01T00:00:00,0.07257845706790379
2009-01-01T00:00:00,0.09007924278231039
2010-01-01T00:00:00,0.110744785417319
2011-01-01T00:00:00,0.14111206515596977
2012-01-01T00:00:00,0.16584394175321499
2013-01-01T00:00:00,0.20531743164238017
2014-01-01T00:00:00,0.2270359602362822
2015-01-01T00:00:00,0.25787198018089613
2016-01-01T00:00:00,0.2951258939311836
2017-01-01T00:00:00,0.34644635522111716
2018-01-01T00:00:00,0.3851798807681078
