Country,Year,General_government_deficit
Australia,2000,-1.292
Australia,2001,-0.743
Australia,2002,0.707
Australia,2003,0.794
Australia,2004,0.927
Australia,2005,1.598
Australia,2006,1.581
Australia,2007,0.655
Australia,2008,-3.838
Australia,2009,-5.641
Australia,2010,-4.56
Australia,2011,-4.628
Australia,2012,-2.848
Australia,2013,-2.783
Australia,2014,-2.238
Australia,2015,-2.224
Australia,2016,-1.585
Australia,2017,-1.21
Australia,2018,-1.384
Australia,2019,-7.014
Australia,2020,-9.162
Australia,2021,-4.27
Austria,2000,-2.405
Austria,2001,-0.662
Austria,2002,-1.381
Austria,2003,-1.786
Austria,2004,-4.805
Austria,2005,-2.508
Austria,2006,-2.535
Austria,2007,-1.355
Austria,2008,-1.495
Austria,2009,-5.33
Austria,2010,-4.441
Austria,2011,-2.554
Austria,2012,-2.189
Austria,2013,-1.95
Austria,2014,-2.729
Austria,2015,-1.01
Austria,2016,-1.535
Austria,2017,-0.816
Austria,2018,0.17
Austria,2019,0.611
Austria,2020,-8.009
Austria,2021,-5.93
Belgium,2000,-0.079
Belgium,2001,0.233
Belgium,2002,-0.044
Belgium,2003,-1.864
Belgium,2004,-0.239
Belgium,2005,-2.715
Belgium,2006,0.24
Belgium,2007,0.066
Belgium,2008,-1.095
Belgium,2009,-5.431
Belgium,2010,-4.088
Belgium,2011,-4.33
Belgium,2012,-4.318
Belgium,2013,-3.129
Belgium,2014,-3.056
Belgium,2015,-2.414
Belgium,2016,-2.363
Belgium,2017,-0.684
Belgium,2018,-0.87
Belgium,2019,-1.943
Belgium,2020,-8.973
Belgium,2021,-5.561
Canada,2000,2.64
Canada,2001,0.529
Canada,2002,-0.234
Canada,2003,-0.127
Canada,2004,0.768
Canada,2005,1.553
Canada,2006,1.828
Canada,2007,1.82
Canada,2008,0.184
Canada,2009,-3.881
Canada,2010,-4.738
Canada,2011,-3.309
Canada,2012,-2.525
Canada,2013,-1.495
Canada,2014,0.175
Canada,2015,-0.062
Canada,2016,-0.453
Canada,2017,-0.112
Canada,2018,0.351
Canada,2019,-0.017
Canada,2020,-10.91
Canada,2021,-4.381
Czech Republic,2000,-3.576
Czech Republic,2001,-5.76
Czech Republic,2002,-6.351
Czech Republic,2003,-6.858
Czech Republic,2004,-2.37
Czech Republic,2005,-3.027
Czech Republic,2006,-2.15
Czech Republic,2007,-0.645
Czech Republic,2008,-1.964
Czech Republic,2009,-5.411
Czech Republic,2010,-4.152
Czech Republic,2011,-2.7
Czech Republic,2012,-3.897
Czech Republic,2013,-1.284
Czech Republic,2014,-2.075
Czech Republic,2015,-0.644
Czech Republic,2016,0.712
Czech Republic,2017,1.501
Czech Republic,2018,0.893
Czech Republic,2019,0.289
Czech Republic,2020,-5.766
Czech Republic,2021,-5.1
Denmark,2000,1.887
Denmark,2001,1.141
Denmark,2002,-0.015
Denmark,2003,-0.133
Denmark,2004,2.073
Denmark,2005,4.955
Denmark,2006,4.987
Denmark,2007,5.02
Denmark,2008,3.174
Denmark,2009,-2.798
Denmark,2010,-2.71
Denmark,2011,-2.056
Denmark,2012,-3.49
Denmark,2013,-1.236
Denmark,2014,1.144
Denmark,2015,-1.33
Denmark,2016,-0.106
Denmark,2017,1.786
Denmark,2018,0.76
Denmark,2019,4.132
Denmark,2020,0.215
Denmark,2021,3.634
Finland,2000,6.853
Finland,2001,4.976
Finland,2002,4.057
Finland,2003,2.424
Finland,2004,2.21
Finland,2005,2.652
Finland,2006,3.971
Finland,2007,5.108
Finland,2008,4.177
Finland,2009,-2.484
Finland,2010,-2.534
Finland,2011,-1.019
Finland,2012,-2.156
Finland,2013,-2.525
Finland,2014,-2.987
Finland,2015,-2.425
Finland,2016,-1.698
Finland,2017,-0.654
Finland,2018,-0.855
Finland,2019,-0.948
Finland,2020,-5.581
Finland,2021,-2.758
France,2000,-1.318
France,2001,-1.379
France,2002,-3.16
France,2003,-4.016
France,2004,-3.591
France,2005,-3.356
France,2006,-2.444
France,2007,-2.636
France,2008,-3.264
France,2009,-7.175
France,2010,-6.887
France,2011,-5.155
France,2012,-4.981
France,2013,-4.084
France,2014,-3.905
France,2015,-3.625
France,2016,-3.637
France,2017,-2.958
France,2018,-2.289
France,2019,-3.065
France,2020,-8.991
France,2021,-6.531
Germany,2000,-1.585
Germany,2001,-3.025
Germany,2002,-3.875
Germany,2003,-3.704
Germany,2004,-3.334
Germany,2005,-3.319
Germany,2006,-1.653
Germany,2007,0.261
Germany,2008,-0.116
Germany,2009,-3.151
Germany,2010,-4.379
Germany,2011,-0.881
Germany,2012,0.009
Germany,2013,0.04
Germany,2014,0.58
Germany,2015,0.961
Germany,2016,1.16
Germany,2017,1.336
Germany,2018,1.95
Germany,2019,1.531
Germany,2020,-4.333
Germany,2021,-3.727
Greece,2000,-4.063
Greece,2001,-5.466
Greece,2002,-6.024
Greece,2003,-7.83
Greece,2004,-8.828
Greece,2005,-6.188
Greece,2006,-5.946
Greece,2007,-6.707
Greece,2008,-10.176
Greece,2009,-15.215
Greece,2010,-11.397
Greece,2011,-10.508
Greece,2012,-9.099
Greece,2013,-13.374
Greece,2014,-3.689
Greece,2015,-5.855
Greece,2016,0.185
Greece,2017,0.573
Greece,2018,0.933
Greece,2019,1.147
Greece,2020,-9.933
Greece,2021,-7.452
Hungary,2000,-3.041
Hungary,2001,-3.999
Hungary,2002,-8.798
Hungary,2003,-7.183
Hungary,2004,-6.591
Hungary,2005,-7.779
Hungary,2006,-9.26
Hungary,2007,-5.083
Hungary,2008,-3.783
Hungary,2009,-4.75
Hungary,2010,-4.427
Hungary,2011,-5.211
Hungary,2012,-2.324
Hungary,2013,-2.597
Hungary,2014,-2.775
Hungary,2015,-2.004
Hungary,2016,-1.797
Hungary,2017,-2.459
Hungary,2018,-2.112
Hungary,2019,-2.031
Hungary,2020,-7.536
Hungary,2021,-7.144
Iceland,2000,1.446
Iceland,2001,-0.281
Iceland,2002,-2.274
Iceland,2003,-2.324
Iceland,2004,0.286
Iceland,2005,5.006
Iceland,2006,6.449
Iceland,2007,5.599
Iceland,2008,-12.138
Iceland,2009,-8.579
Iceland,2010,-6.663
Iceland,2011,-6.53
Iceland,2012,-2.625
Iceland,2013,-1.248
Iceland,2014,0.295
Iceland,2015,-0.396
Iceland,2016,12.549
Iceland,2017,0.955
Iceland,2018,0.912
Iceland,2019,-1.514
Iceland,2020,-8.925
Iceland,2021,-7.941
Ireland,2000,4.855
Ireland,2001,0.959
Ireland,2002,-0.519
Ireland,2003,0.346
Ireland,2004,1.298
Ireland,2005,1.57
Ireland,2006,2.775
Ireland,2007,0.268
Ireland,2008,-7.031
Ireland,2009,-13.873
Ireland,2010,-32.119
Ireland,2011,-13.582
Ireland,2012,-8.463
Ireland,2013,-6.395
Ireland,2014,-3.612
Ireland,2015,-2.037
Ireland,2016,-0.762
Ireland,2017,-0.285
Ireland,2018,0.137
Ireland,2019,0.475
Ireland,2020,-5.032
Ireland,2021,-1.661
Italy,2000,-2.423
Italy,2001,-3.19
Italy,2002,-2.869
Italy,2003,-3.218
Italy,2004,-3.479
Italy,2005,-4.083
Italy,2006,-3.617
Italy,2007,-1.34
Italy,2008,-2.564
Italy,2009,-5.121
Italy,2010,-4.24
Italy,2011,-3.593
Italy,2012,-2.945
Italy,2013,-2.854
Italy,2014,-2.954
Italy,2015,-2.552
Italy,2016,-2.404
Italy,2017,-2.419
Italy,2018,-2.165
Italy,2019,-1.509
Italy,2020,-9.493
Italy,2021,-7.233
Japan,2005,-4.438
Japan,2006,-3.029
Japan,2007,-2.901
Japan,2008,-4.11
Japan,2009,-9.693
Japan,2010,-9.076
Japan,2011,-8.986
Japan,2012,-8.196
Japan,2013,-7.611
Japan,2014,-5.616
Japan,2015,-3.678
Japan,2016,-3.6
Japan,2017,-3.099
Japan,2018,-2.471
Japan,2019,-3.045
Japan,2020,-9.077
Japan,2021,-6.2
Korea,2000,4.167
Korea,2001,2.907
Korea,2002,3.111
Korea,2003,-2.133
Korea,2004,-0.078
Korea,2005,1.352
Korea,2006,1.969
Korea,2007,3.957
Korea,2008,2.131
Korea,2009,-1.276
Korea,2010,0.883
Korea,2011,0.983
Korea,2012,1.018
Korea,2013,1.283
Korea,2014,1.212
Korea,2015,1.18
Korea,2016,2.209
Korea,2017,2.682
Korea,2018,3.025
Korea,2019,0.956
Korea,2020,-2.695
Korea,2021,-0.751
Luxembourg,2000,5.545
Luxembourg,2001,5.627
Luxembourg,2002,2.031
Luxembourg,2003,0.273
Luxembourg,2004,-1.393
Luxembourg,2005,-0.208
Luxembourg,2006,1.912
Luxembourg,2007,4.363
Luxembourg,2008,3.374
Luxembourg,2009,-0.21
Luxembourg,2010,-0.317
Luxembourg,2011,0.658
Luxembourg,2012,0.506
Luxembourg,2013,0.844
Luxembourg,2014,1.339
Luxembourg,2015,1.334
Luxembourg,2016,1.893
Luxembourg,2017,1.367
Luxembourg,2018,2.977
Luxembourg,2019,2.231
Luxembourg,2020,-3.428
Luxembourg,2021,0.794
Mexico,2003,-1.323
Mexico,2004,-0.853
Mexico,2005,-0.721
Mexico,2006,-0.971
Mexico,2007,-0.711
Mexico,2008,-0.935
Mexico,2009,-3.08
Mexico,2010,-2.972
Mexico,2011,-5.297
Mexico,2012,-4.727
Mexico,2013,-4.547
Mexico,2014,-4.223
Mexico,2015,-5.168
Mexico,2016,-2.882
Mexico,2017,-2.508
Mexico,2018,-5.104
Mexico,2019,-3.677
Mexico,2020,-5.355
Mexico,2021,-5.953
Netherlands,2000,1.187
Netherlands,2001,-0.438
Netherlands,2002,-2.025
Netherlands,2003,-3.09
Netherlands,2004,-1.787
Netherlands,2005,-0.471
Netherlands,2006,-0.033
Netherlands,2007,-0.232
Netherlands,2008,0.125
Netherlands,2009,-5.217
Netherlands,2010,-5.34
Netherlands,2011,-4.442
Netherlands,2012,-3.932
Netherlands,2013,-2.957
Netherlands,2014,-2.254
Netherlands,2015,-1.944
Netherlands,2016,0.127
Netherlands,2017,1.371
Netherlands,2018,1.502
Netherlands,2019,1.799
Netherlands,2020,-3.715
Netherlands,2021,-2.607
Norway,2000,15.065
Norway,2001,13.193
Norway,2002,9.045
Norway,2003,7.221
Norway,2004,10.866
Norway,2005,14.773
Norway,2006,17.951
Norway,2007,17.11
Norway,2008,18.638
Norway,2009,10.242
Norway,2010,10.93
Norway,2011,13.355
Norway,2012,13.767
Norway,2013,10.674
Norway,2014,8.629
Norway,2015,6.024
Norway,2016,4.06
Norway,2017,4.999
Norway,2018,7.864
Norway,2019,6.584
Norway,2020,-2.598
Norway,2021,10.146
Poland,2000,-3.994
Poland,2001,-4.741
Poland,2002,-4.818
Poland,2003,-6.036
Poland,2004,-5.008
Poland,2005,-3.938
Poland,2006,-3.539
Poland,2007,-1.883
Poland,2008,-3.606
Poland,2009,-7.252
Poland,2010,-7.465
Poland,2011,-5.004
Poland,2012,-3.816
Poland,2013,-4.268
Poland,2014,-3.669
Poland,2015,-2.6
Poland,2016,-2.399
Poland,2017,-1.492
Poland,2018,-0.249
Poland,2019,-0.743
Poland,2020,-6.923
Poland,2021,-1.837
Portugal,2000,-3.216
Portugal,2001,-4.79
Portugal,2002,-3.334
Portugal,2003,-5.656
Portugal,2004,-6.184
Portugal,2005,-6.13
Portugal,2006,-4.18
Portugal,2007,-2.899
Portugal,2008,-3.7
Portugal,2009,-9.873
Portugal,2010,-11.398
Portugal,2011,-7.663
Portugal,2012,-6.18
Portugal,2013,-5.105
Portugal,2014,-7.356
Portugal,2015,-4.449
Portugal,2016,-1.935
Portugal,2017,-2.956
Portugal,2018,-0.349
Portugal,2019,0.115
Portugal,2020,-5.819
Portugal,2021,-2.898
Slovak Republic,2000,-12.631
Slovak Republic,2001,-7.22
Slovak Republic,2002,-8.221
Slovak Republic,2003,-3.12
Slovak Republic,2004,-2.314
Slovak Republic,2005,-2.874
Slovak Republic,2006,-3.578
Slovak Republic,2007,-2.05
Slovak Republic,2008,-2.523
Slovak Republic,2009,-8.149
Slovak Republic,2010,-7.473
Slovak Republic,2011,-4.303
Slovak Republic,2012,-4.352
Slovak Republic,2013,-2.878
Slovak Republic,2014,-3.104
Slovak Republic,2015,-2.665
Slovak Republic,2016,-2.574
Slovak Republic,2017,-0.98
Slovak Republic,2018,-1.011
Slovak Republic,2019,-1.219
Slovak Republic,2020,-5.359
Slovak Republic,2021,-5.462
Spain,2000,-1.161
Spain,2001,-0.455
Spain,2002,-0.317
Spain,2003,-0.375
Spain,2004,-0.109
Spain,2005,1.232
Spain,2006,2.124
Spain,2007,1.886
Spain,2008,-4.572
Spain,2009,-11.276
Spain,2010,-9.527
Spain,2011,-9.74
Spain,2012,-11.551
Spain,2013,-7.528
Spain,2014,-6.11
Spain,2015,-5.309
Spain,2016,-4.298
Spain,2017,-3.116
Spain,2018,-2.594
Spain,2019,-3.06
Spain,2020,-10.125
Spain,2021,-6.873
Sweden,2000,3.136
Sweden,2001,1.406
Sweden,2002,-1.409
Sweden,2003,-1.216
Sweden,2004,0.202
Sweden,2005,1.803
Sweden,2006,2.09
Sweden,2007,3.295
Sweden,2008,1.909
Sweden,2009,-0.849
Sweden,2010,-0.102
Sweden,2011,-0.349
Sweden,2012,-1.124
Sweden,2013,-1.471
Sweden,2014,-1.534
Sweden,2015,0.003
Sweden,2016,0.999
Sweden,2017,1.409
Sweden,2018,0.783
Sweden,2019,0.564
Sweden,2020,-2.771
Sweden,2021,-0.078
Switzerland,2000,0.282
Switzerland,2001,0.208
Switzerland,2002,-1.747
Switzerland,2003,-1.359
Switzerland,2004,-1.391
Switzerland,2005,-0.646
Switzerland,2006,0.847
Switzerland,2007,1.576
Switzerland,2008,1.934
Switzerland,2009,0.498
Switzerland,2010,0.354
Switzerland,2011,0.683
Switzerland,2012,0.235
Switzerland,2013,-0.433
Switzerland,2014,-0.247
Switzerland,2015,0.546
Switzerland,2016,0.238
Switzerland,2017,1.13
Switzerland,2018,1.29
Switzerland,2019,1.341
Switzerland,2020,-3.059
Switzerland,2021,-0.54
Türkiye,2009,-6.127
Türkiye,2010,-2.753
Türkiye,2011,-0.736
Türkiye,2012,-0.3
Türkiye,2013,0.204
Türkiye,2014,0.22
Türkiye,2015,0.497
Türkiye,2016,-1.323
Türkiye,2017,-2.784
Türkiye,2018,-2.876
Türkiye,2019,-4.425
Türkiye,2020,-4.66
United Kingdom,2000,1.319
United Kingdom,2001,0.3
United Kingdom,2002,-1.994
United Kingdom,2003,-3.247
United Kingdom,2004,-3.206
United Kingdom,2005,-3.194
United Kingdom,2006,-2.816
United Kingdom,2007,-2.7
United Kingdom,2008,-5.176
United Kingdom,2009,-10.103
United Kingdom,2010,-9.254
United Kingdom,2011,-7.436
United Kingdom,2012,-8.039
United Kingdom,2013,-5.353
United Kingdom,2014,-5.543
United Kingdom,2015,-4.57
United Kingdom,2016,-3.282
United Kingdom,2017,-2.469
United Kingdom,2018,-2.247
United Kingdom,2019,-2.451
United Kingdom,2020,-13.097
United Kingdom,2021,-8.084
United States,2000,0.336
United States,2001,-1.847
United States,2002,-5.303
United States,2003,-6.414
United States,2004,-5.775
United States,2005,-4.448
United States,2006,-3.333
United States,2007,-3.979
United States,2008,-7.343
United States,2009,-13.1
United States,2010,-12.38
United States,2011,-10.956
United States,2012,-9.187
United States,2013,-5.802
United States,2014,-5.187
United States,2015,-4.599
United States,2016,-5.403
United States,2017,-4.423
United States,2018,-6.093
United States,2019,-6.658
United States,2020,-14.86
United States,2021,-12.064
Chile,2007,6.925
Chile,2008,4.811
Chile,2009,-4.658
Chile,2010,-0.683
Chile,2011,0.761
Chile,2012,0.203
Chile,2013,-0.759
Chile,2014,-1.949
Chile,2015,-2.469
Chile,2016,-2.92
Chile,2017,-3.09
Chile,2018,-1.426
Chile,2019,-3.64
Chile,2020,-7.467
Estonia,2000,-0.068
Estonia,2001,0.199
Estonia,2002,0.418
Estonia,2003,1.795
Estonia,2004,2.394
Estonia,2005,1.125
Estonia,2006,2.89
Estonia,2007,2.741
Estonia,2008,-2.648
Estonia,2009,-2.191
Estonia,2010,0.19
Estonia,2011,1.085
Estonia,2012,-0.287
Estonia,2013,0.18
Estonia,2014,0.708
Estonia,2015,0.113
Estonia,2016,-0.412
Estonia,2017,-0.475
Estonia,2018,-0.553
Estonia,2019,0.121
Estonia,2020,-5.469
Estonia,2021,-2.406
Israel,2000,-0.782
Israel,2001,-4.04
Israel,2002,-8.21
Israel,2003,-4.986
Israel,2004,-3.383
Israel,2005,-2.712
Israel,2006,-0.916
Israel,2007,-0.336
Israel,2008,-3.487
Israel,2009,-6.549
Israel,2010,-3.722
Israel,2011,-3.42
Israel,2012,-4.413
Israel,2013,-4.079
Israel,2014,-2.284
Israel,2015,-1.16
Israel,2016,-1.693
Israel,2017,-1.176
Israel,2018,-3.588
Israel,2019,-3.875
Israel,2020,-10.757
Israel,2021,-3.675
Russia,2011,2.953
Russia,2012,1.754
Russia,2013,-0.567
Russia,2014,-2.247
Russia,2015,-1.392
Russia,2016,-2.454
Russia,2017,-0.634
Russia,2018,3.484
Russia,2019,3.669
Slovenia,2000,-3.645
Slovenia,2001,-4.45
Slovenia,2002,-2.374
Slovenia,2003,-2.595
Slovenia,2004,-1.941
Slovenia,2005,-1.324
Slovenia,2006,-1.231
Slovenia,2007,-0.049
Slovenia,2008,-1.394
Slovenia,2009,-5.813
Slovenia,2010,-5.6
Slovenia,2011,-6.629
Slovenia,2012,-3.995
Slovenia,2013,-14.579
Slovenia,2014,-5.507
Slovenia,2015,-2.847
Slovenia,2016,-1.919
Slovenia,2017,-0.053
Slovenia,2018,0.743
Slovenia,2019,0.572
Slovenia,2020,-7.723
Slovenia,2021,-4.673
South Africa,2000,-3.263
South Africa,2001,-2.027
South Africa,2002,-2.725
South Africa,2003,-3.638
South Africa,2004,-3.741
South Africa,2005,-2.306
South Africa,2006,0.148
South Africa,2007,0.833
South Africa,2008,-1.738
South Africa,2009,-3.854
South Africa,2010,-3.279
South Africa,2011,-2.475
South Africa,2012,-3.596
South Africa,2013,-3.563
South Africa,2014,-3.837
South Africa,2015,-3.681
South Africa,2016,-3.365
South Africa,2017,-3.808
South Africa,2018,-3.364
South Africa,2019,-4.883
Euro Area,2000,-1.271
Euro Area,2001,-1.955
Euro Area,2002,-2.666
Euro Area,2003,-3.089
Euro Area,2004,-2.864
Euro Area,2005,-2.596
Euro Area,2006,-1.518
Euro Area,2007,-0.646
Euro Area,2008,-2.161
Euro Area,2009,-6.242
Euro Area,2010,-6.28
Euro Area,2011,-4.246
Euro Area,2012,-3.802
Euro Area,2013,-3.071
Euro Area,2014,-2.488
Euro Area,2015,-1.987
Euro Area,2016,-1.47
Euro Area,2017,-0.936
Euro Area,2018,-0.429
Euro Area,2019,-0.636
Euro Area,2020,-7.047
Euro Area,2021,-5.116
European Union,2000,-1.173
European Union,2001,-1.909
European Union,2002,-2.707
European Union,2003,-3.088
European Union,2004,-2.716
European Union,2005,-2.348
European Union,2006,-1.381
European Union,2007,-0.499
European Union,2008,-2.007
European Union,2009,-6.048
European Union,2010,-5.983
European Union,2011,-4.088
European Union,2012,-3.679
European Union,2013,-2.971
European Union,2014,-2.413
European Union,2015,-1.887
European Union,2016,-1.356
European Union,2017,-0.793
European Union,2018,-0.376
European Union,2019,-0.537
European Union,2020,-6.728
European Union,2021,-4.635
New Zealand,2000,1.624
New Zealand,2001,1.302
New Zealand,2002,3.256
New Zealand,2003,3.384
New Zealand,2004,3.827
New Zealand,2005,4.471
New Zealand,2006,5.027
New Zealand,2007,4.143
New Zealand,2008,0.313
New Zealand,2009,-2.961
New Zealand,2010,-7.053
New Zealand,2011,-4.268
New Zealand,2012,-2.348
New Zealand,2013,-0.724
New Zealand,2014,0.246
New Zealand,2015,0.037
New Zealand,2016,1.055
New Zealand,2017,1.523
New Zealand,2018,0.762
New Zealand,2019,-0.712
New Zealand,2020,-7.325
Brazil,2000,-4.854
Brazil,2001,-6.522
Brazil,2002,-6.142
Brazil,2003,-4.751
Brazil,2004,-2.962
Brazil,2005,-2.782
Brazil,2006,-4.502
Brazil,2007,-4.666
Brazil,2008,-2.74
Brazil,2009,-4.476
Brazil,2010,-2.96
Brazil,2011,-2.539
Brazil,2012,-2.318
Brazil,2013,-3.309
Brazil,2014,-5.877
Brazil,2015,-7.751
Brazil,2016,-7.152
Brazil,2017,-7.064
Brazil,2018,-6.128
Brazil,2019,-5.002
Latvia,2000,-2.724
Latvia,2001,-1.945
Latvia,2002,-2.32
Latvia,2003,-1.565
Latvia,2004,-1.185
Latvia,2005,-0.479
Latvia,2006,-0.53
Latvia,2007,-0.56
Latvia,2008,-4.253
Latvia,2009,-9.545
Latvia,2010,-8.615
Latvia,2011,-4.286
Latvia,2012,-1.411
Latvia,2013,-1.221
Latvia,2014,-1.583
Latvia,2015,-1.425
Latvia,2016,0.023
Latvia,2017,-0.769
Latvia,2018,-0.839
Latvia,2019,-0.566
Latvia,2020,-4.341
Latvia,2021,-6.976
Colombia,2005,-2.52
Colombia,2006,-1.557
Colombia,2007,-1.714
Colombia,2008,-0.456
Colombia,2009,-0.721
Colombia,2010,-0.807
Colombia,2011,-0.478
Colombia,2012,-0.401
Colombia,2013,-1.527
Colombia,2014,-3.115
Colombia,2015,-3.396
Colombia,2016,-4.555
Colombia,2017,-3.796
Colombia,2018,-5.244
Colombia,2019,-4.085
Colombia,2020,-8.762
Costa Rica,2000,-1.408
Costa Rica,2001,-1.391
Costa Rica,2002,-1.949
Costa Rica,2003,-1.13
Costa Rica,2004,-1.29
Costa Rica,2005,-2.193
Costa Rica,2006,0.124
Costa Rica,2007,0.946
Costa Rica,2008,-2.069
Costa Rica,2009,-3.262
Costa Rica,2010,-6.411
Costa Rica,2011,-5.06
Costa Rica,2012,-1.731
Costa Rica,2013,-2.614
Costa Rica,2014,-1.41
Costa Rica,2015,-2.437
Costa Rica,2016,-2.302
Costa Rica,2017,-3.451
Costa Rica,2018,-2.887
Costa Rica,2019,-3.089
Costa Rica,2020,-5.314
Costa Rica,2021,-0.957
Lithuania,2000,-3.189
Lithuania,2001,-3.531
Lithuania,2002,-1.857
Lithuania,2003,-1.266
Lithuania,2004,-1.394
Lithuania,2005,-0.343
Lithuania,2006,-0.272
Lithuania,2007,-0.816
Lithuania,2008,-3.086
Lithuania,2009,-9.118
Lithuania,2010,-6.9
Lithuania,2011,-8.947
Lithuania,2012,-3.171
Lithuania,2013,-2.626
Lithuania,2014,-0.601
Lithuania,2015,-0.299
Lithuania,2016,0.252
Lithuania,2017,0.417
Lithuania,2018,0.537
Lithuania,2019,0.474
Lithuania,2020,-7.034
Lithuania,2021,-0.988
Indonesia,2010,-0.34
Indonesia,2011,-1.035
Indonesia,2012,-1.343
Indonesia,2013,-2.074
Indonesia,2014,-1.858
Indonesia,2015,-2.554
Indonesia,2016,-2.376
Indonesia,2017,-1.957
Indonesia,2018,-1.235
Indonesia,2019,-2.126
