Year,South_Africa,Germany,Brazil,Russia
1995,4684000.0,14847000,1991000.0,10290000
1996,5186000.0,15205000,2666000.0,16208000
1997,5170000.0,15837000,2850000.0,17463000
1998,5898000.0,16511000,4818000.0,16188000
1999,6026000.0,17116000,5107000.0,18820000
2000,6001000.0,18983000,5313000.0,21169000
2001,5908000.0,17861000,4773000.0,21595000
2002,6550000.0,17969000,3785000.0,23309000
2003,6640000.0,18399000,4133000.0,22521000
2004,6815000.0,20137000,4794000.0,22064000
2005,7518000.0,21500000,5358000.0,22201000
2006,8509000.0,23569000,5017000.0,22486000
2007,9208000.0,24421000,5026000.0,22909000
2008,9729000.0,24884000,5050000.0,23676000
2009,9532000.0,24220000,4802000.0,21339000
2010,11303000.0,26875000,5161000.0,22281000
2011,12097000.0,28374000,5433000.0,24932000
2012,13069000.0,30411000,5677000.0,28177000
2013,14318000.0,31545000,5813000.0,30792000
2014,14530000.0,32999000,6430000.0,32421000
2015,13952000.0,34970000,6306000.0,33729000
2016,15121000.0,35555000,6547000.0,24571000
2017,14975000.0,37452000,6589000.0,24390000
2018,15004000.0,38881000,6621000.0,24551000
2019,14797000.0,39563000,6353000.0,24419000
2020,3886600.098,12449000,,6359000
