date,level_1,value
1992 APR,Unemployment_rate_16_over,9.8
1992 APR,Unemployment_rate_Aged_16_17,24.2
1992 MAY,Unemployment_rate_16_over,9.8
1992 MAY,Unemployment_rate_Aged_16_17,26.3
1992 JUN,Unemployment_rate_16_over,9.9
1992 JUN,Unemployment_rate_Aged_16_17,26.7
1992 JUL,Unemployment_rate_16_over,9.9
1992 JUL,Unemployment_rate_Aged_16_17,25.5
1992 AUG,Unemployment_rate_16_over,9.9
1992 AUG,Unemployment_rate_Aged_16_17,24.0
1992 SEP,Unemployment_rate_16_over,10.1
1992 SEP,Unemployment_rate_Aged_16_17,24.0
1992 OCT,Unemployment_rate_16_over,10.2
1992 OCT,Unemployment_rate_Aged_16_17,24.3
1992 NOV,Unemployment_rate_16_over,10.4
1992 NOV,Unemployment_rate_Aged_16_17,24.5
1992 DEC,Unemployment_rate_16_over,10.5
1992 DEC,Unemployment_rate_Aged_16_17,24.7
1993 JAN,Unemployment_rate_16_over,10.7
1993 JAN,Unemployment_rate_Aged_16_17,24.1
1993 FEB,Unemployment_rate_16_over,10.6
1993 FEB,Unemployment_rate_Aged_16_17,24.6
1993 MAR,Unemployment_rate_16_over,10.6
1993 MAR,Unemployment_rate_Aged_16_17,24.8
1993 APR,Unemployment_rate_16_over,10.5
1993 APR,Unemployment_rate_Aged_16_17,24.3
1993 MAY,Unemployment_rate_16_over,10.4
1993 MAY,Unemployment_rate_Aged_16_17,23.7
1993 JUN,Unemployment_rate_16_over,10.4
1993 JUN,Unemployment_rate_Aged_16_17,23.8
1993 JUL,Unemployment_rate_16_over,10.3
1993 JUL,Unemployment_rate_Aged_16_17,25.2
1993 AUG,Unemployment_rate_16_over,10.2
1993 AUG,Unemployment_rate_Aged_16_17,25.6
1993 SEP,Unemployment_rate_16_over,10.3
1993 SEP,Unemployment_rate_Aged_16_17,26.9
1993 OCT,Unemployment_rate_16_over,10.2
1993 OCT,Unemployment_rate_Aged_16_17,25.8
1993 NOV,Unemployment_rate_16_over,10.3
1993 NOV,Unemployment_rate_Aged_16_17,25.8
1993 DEC,Unemployment_rate_16_over,10.3
1993 DEC,Unemployment_rate_Aged_16_17,25.4
1994 JAN,Unemployment_rate_16_over,10.1
1994 JAN,Unemployment_rate_Aged_16_17,24.6
1994 FEB,Unemployment_rate_16_over,9.9
1994 FEB,Unemployment_rate_Aged_16_17,24.6
1994 MAR,Unemployment_rate_16_over,9.8
1994 MAR,Unemployment_rate_Aged_16_17,24.4
1994 APR,Unemployment_rate_16_over,9.7
