Year,Type,Value
1930,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),100.0
1931,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),97.71
1932,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),95.41
1933,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),93.12
1934,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),90.82
1935,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),88.53
1936,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),86.23
1937,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),83.94
1938,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),81.64
1939,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),79.35
1940,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),77.05
1941,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),71.52
1942,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),65.99
1943,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),60.46
1944,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),54.93
1945,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),49.4
1946,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),43.87
1947,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),38.34
1948,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),32.81
1949,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),27.28
1950,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),21.75
1951,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),21.45
1952,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),21.15
1953,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),20.85
1954,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),20.55
1955,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),20.25
1956,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),19.95
1957,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),19.65
1958,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),19.35
1959,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),19.05
1960,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),18.75
1961,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),18.16
1962,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),17.58
1963,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),16.99
1964,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),16.41
1965,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),15.83
1966,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),15.24
1967,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),14.66
1968,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),14.08
1969,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),13.49
1970,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),12.91
1971,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),11.81
1972,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),10.72
1973,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),9.62
1974,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),8.53
1975,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),7.44
1976,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),6.34
1977,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),5.25
1978,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),4.15
1979,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),3.06
1980,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.96
1981,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.9
1982,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.84
1983,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.78
1984,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.72
1985,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.66
1986,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.6
1987,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.54
1988,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.48
1989,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.42
1990,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.36
1991,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.23
1992,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),1.11
1993,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.98
1994,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.85
1995,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.73
1996,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.6
1997,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.48
1998,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.35
1999,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.23
2000,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.1
2001,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.07
2002,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.07
2003,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.07
2004,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),0.03
2005,International calling costs (relative to 1930) (OECD Economic Outlook (2007)),
1930,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),100.0
1931,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),96.76
1932,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),93.53
1933,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),90.29
1934,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),87.06
1935,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),83.82
1936,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),80.59
1937,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),77.35
1938,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),74.12
1939,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),70.88
1940,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),67.65
1941,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),65.29
1942,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),62.94
1943,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),60.59
1944,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),58.24
1945,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),55.88
1946,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),53.53
1947,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),51.18
1948,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),48.82
1949,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),46.47
1950,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),44.12
1951,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),43.24
1952,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),42.35
1953,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),41.47
1954,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),40.59
1955,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),39.71
1956,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),38.82
1957,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),37.94
1958,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),37.06
1959,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),36.18
1960,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),35.29
1961,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),34.12
1962,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),32.94
1963,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),31.76
1964,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),30.59
1965,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),29.41
1966,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),28.24
1967,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),27.06
1968,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),25.88
1969,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),24.71
1970,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),23.53
1971,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),22.65
1972,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),21.76
1973,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),20.88
1974,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),20.0
1975,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),19.12
1976,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),18.24
1977,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),17.35
1978,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),16.47
1979,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.59
1980,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),14.71
1981,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),14.85
1982,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.0
1983,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.15
1984,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.29
1985,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.44
1986,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.59
1987,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.74
1988,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.88
1989,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),16.03
1990,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),16.18
1991,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.59
1992,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),15.0
1993,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),14.41
1994,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),13.82
1995,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),13.24
1996,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),12.65
1997,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),12.06
1998,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),11.47
1999,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.88
2000,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.29
2001,Passenger air transport cost (relative to 1930) (OECD Economic Outlook (2007)),10.74
