Year,Population,GDP,GDP per capita,A Population,B GDP,C GDP per capita
1270,4.364903153,3518,805.9229556,1.0,1.0,1.0
1271,4.37175053,3481,796.2993769,1.001568735,0.989608937,0.988058935
1272,4.378608649,3612,824.8949416,1.003139931,1.026754542,1.023540694
1273,4.385477527,3407,776.853595,1.004713592,0.968473923,0.963930348
1274,4.39235718,3394,772.7535764,1.006289722,0.964873846,0.95884299
1275,4.399247626,3880,881.9085084,1.007868324,1.102894072,1.094283892
1276,4.406148881,3414,774.89751,1.009449403,0.970588843,0.961503211
1277,4.413060962,3646,826.1566972,1.011032962,1.036416256,1.025106298
1278,4.419983886,3780,855.2072716,1.012619005,1.07454333,1.06115264
1279,4.426917671,3137,708.7231647,1.014207536,0.891887208,0.879393197
1280,4.455484393,3187,715.3826071,1.020752176,0.906077123,0.887656323
1281,4.484235455,3390,755.8733591,1.027339049,0.963539024,0.93789779
1282,4.513172047,3290,729.0186336,1.033968427,0.935303114,0.904576087
1283,4.542295366,3130,689.1250461,1.040640584,0.88982636,0.855075589
1284,4.571606616,3239,708.6025469,1.047355796,0.92088081,0.879243533
1285,4.60110701,3283,713.4188863,1.054114341,0.933122793,0.885219711
1286,4.630797769,3238,699.3041661,1.060916499,0.920563588,0.867705978
1287,4.660680122,3547,761.0981989,1.06776255,1.008374496,0.944380841
1288,4.690755304,3441,733.6765323,1.074652779,0.978316251,0.91035567
1289,4.72102456,3178,673.1087084,1.081587471,0.903344346,0.835202303
1290,4.751489143,3225,678.7640879,1.088566911,0.91681236,0.842219573
1291,4.748977115,3231,680.4309374,1.087991405,0.918577895,0.844287823
1292,4.746466416,3403,716.9656065,1.087416204,0.967387779,0.889620529
1293,4.743957044,3483,734.2458802,1.086841306,0.99017995,0.911062125
1294,4.741448999,3457,729.0808993,1.086266713,0.982694817,0.904653347
1295,4.73894228,3702,781.1830415,1.085692423,1.052364253,0.969302383
1296,4.736436886,3850,812.8108275,1.085118437,1.094392471,1.008546564
1297,4.733932816,3683,778.1016978,1.084544754,1.047105196,0.965479011
1298,4.73143007,3874,818.8469425,1.083971375,1.101354217,1.016036256
1299,4.728928648,3731,788.9776991,1.083398298,1.060618873,0.978974099
1300,4.726428548,3705,783.9422916,1.082825525,1.053292647,0.972726098
1301,4.72392977,3731,789.8486559,1.082253055,1.060667294,0.980054794
1302,4.721432313,3828,810.665767,1.081680887,1.088046518,1.005884944
1303,4.718936176,3986,844.6994797,1.081109021,1.133125966,1.048114431
1304,4.716441359,3606,764.4912769,1.080537458,1.024988128,0.948591018
1305,4.71394786,3706,786.0722944,1.079966198,1.053365586,0.975369034
1306,4.711455681,3598,763.7557717,1.079395239,1.022919545,0.947678393
1307,4.708964818,3772,801.0092085,1.078824582,1.072246942,0.993902957
