side,year,miles,gas
left,1956,3675,2.38
right,1957,3706,2.4
bottom,1958,3766,2.26
top,1959,3905,2.31
right,1960,3935,2.27
bottom,1961,3977,2.25
right,1962,4085,2.22
bottom,1963,4218,2.12
bottom,1964,4369,2.11
bottom,1965,4538,2.14
top,1966,4676,2.14
bottom,1967,4827,2.14
right,1968,5038,2.13
right,1969,5207,2.07
right,1970,5376,2.01
bottom,1971,5617,1.93
bottom,1972,5973,1.87
right,1973,6154,1.9
left,1974,5943,2.34
bottom,1975,6111,2.31
bottom,1976,6389,2.32
top,1977,6630,2.36
bottom,1978,6883,2.23
left,1979,6744,2.68
left,1980,6672,3.3
right,1981,6732,3.3
right,1982,6835,2.92
right,1983,6943,2.66
right,1984,7130,2.48
right,1985,7323,2.36
left,1986,7558,1.76
top,1987,7770,1.76
bottom,1988,8089,1.68
left,1989,8397,1.75
top,1990,8529,1.88
right,1991,8535,1.78
right,1992,8662,1.69
left,1993,8855,1.6
bottom,1994,8909,1.59
bottom,1995,9150,1.6
top,1996,9192,1.67
right,1997,9416,1.65
bottom,1998,9590,1.39
right,1999,9687,1.5
top,2000,9717,1.89
left,2001,9699,1.77
bottom,2002,9814,1.64
right,2003,9868,1.86
left,2004,9994,2.14
left,2005,10067,2.53
right,2006,10037,2.79
right,2007,10025,2.95
left,2008,9880,3.31
bottom,2009,9657,2.38
left,2010,9596,2.61
