Unnamed: 0,Year,Values,Energy Source
0,1800,0.0,Other renewables ()
1,1810,0.0,Other renewables ()
2,1820,0.0,Other renewables ()
3,1830,0.0,Other renewables ()
4,1840,0.0,Other renewables ()
5,1850,0.0,Other renewables ()
6,1860,0.0,Other renewables ()
7,1870,0.0,Other renewables ()
8,1880,0.0,Other renewables ()
9,1890,0.0,Other renewables ()
10,1900,0.0,Other renewables ()
11,1910,0.0,Other renewables ()
12,1920,0.0,Other renewables ()
13,1930,0.0,Other renewables ()
14,1940,0.0,Other renewables ()
15,1950,0.0,Other renewables ()
16,1960,0.0,Other renewables ()
17,1965,55.9490852355957,Other renewables ()
18,1966,61.737606048583984,Other renewables ()
19,1967,62.35337448120117,Other renewables ()
20,1968,69.03191375732422,Other renewables ()
21,1969,72.5587158203125,Other renewables ()
22,1970,80.33794403076172,Other renewables ()
23,1971,87.33906555175781,Other renewables ()
24,1972,93.40202331542967,Other renewables ()
25,1973,100.24630737304688,Other renewables ()
26,1974,106.87296295166016,Other renewables ()
27,1975,108.14720153808594,Other renewables ()
28,1976,120.57106018066406,Other renewables ()
29,1977,127.26663208007812,Other renewables ()
30,1978,135.02682495117188,Other renewables ()
31,1979,144.51551818847656,Other renewables ()
32,1980,153.78857421875,Other renewables ()
33,1981,164.90757751464844,Other renewables ()
34,1982,191.2328948974609,Other renewables ()
35,1983,211.7705841064453,Other renewables ()
36,1984,236.32064819335932,Other renewables ()
37,1985,244.355224609375,Other renewables ()
38,1986,265.20489501953125,Other renewables ()
39,1987,283.8797607421875,Other renewables ()
40,1988,292.2910461425781,Other renewables ()
41,1989,321.91949462890625,Other renewables ()
42,1990,361.1251525878906,Other renewables ()
43,1991,376.7493896484375,Other renewables ()
44,1992,404.7410278320313,Other renewables ()
45,1993,418.3900146484375,Other renewables ()
46,1994,434.5735778808594,Other renewables ()
47,1995,454.2080383300781,Other renewables ()
48,1996,466.2979431152344,Other renewables ()
49,1997,499.909912109375,Other renewables ()
50,1998,520.4947509765625,Other renewables ()
51,1999,546.0943603515625,Other renewables ()
52,2000,571.1834716796875,Other renewables ()
53,2001,593.175048828125,Other renewables ()
54,2002,638.6609497070312,Other renewables ()
55,2003,674.0078125,Other renewables ()
56,2004,728.2478637695312,Other renewables ()
57,2005,788.9249877929688,Other renewables ()
58,2006,840.5309448242188,Other renewables ()
59,2007,912.0394287109376,Other renewables ()
60,2008,975.3799438476562,Other renewables ()
61,2009,1047.9144287109375,Other renewables ()
62,2010,1180.3001708984375,Other renewables ()
63,2011,1247.5972900390625,Other renewables ()
64,2012,1352.366455078125,Other renewables ()
65,2013,1463.134521484375,Other renewables ()
66,2014,1584.601318359375,Other renewables ()
67,2015,1711.2283935546875,Other renewables ()
68,2016,1737.3021240234375,Other renewables ()
69,2017,1850.659912109375,Other renewables ()
70,2018,1995.82568359375,Other renewables ()
71,2019,2095.157958984375,Other renewables ()
72,2020,2185.723876953125,Other renewables ()
73,2021,2373.0986328125,Other renewables ()
0,1800,0.0,Biofuels ()
1,1810,0.0,Biofuels ()
2,1820,0.0,Biofuels ()
3,1830,0.0,Biofuels ()
4,1840,0.0,Biofuels ()
5,1850,0.0,Biofuels ()
6,1860,0.0,Biofuels ()
7,1870,0.0,Biofuels ()
8,1880,0.0,Biofuels ()
9,1890,0.0,Biofuels ()
10,1900,0.0,Biofuels ()
11,1910,0.0,Biofuels ()
