winner_name,year,tourney_level,Wins
Ivan Lendl,1980,Other,6
Ivan Lendl,1980,Masters,1
Ivan Lendl,1980,Tour,0
Ivan Lendl,1980,Grand,0
Ivan Lendl,1980,Total,7
Ivan Lendl,1981,Other,8
Ivan Lendl,1981,Masters,1
Ivan Lendl,1981,Tour,0
Ivan Lendl,1981,Grand,0
Ivan Lendl,1981,Total,9
Ivan Lendl,1982,Other,12
Ivan Lendl,1982,Masters,2
Ivan Lendl,1982,Tour,1
Ivan Lendl,1982,Grand,0
Ivan Lendl,1982,Total,15
Ivan Lendl,1983,Other,6
Ivan Lendl,1983,Masters,2
Ivan Lendl,1983,Tour,0
Ivan Lendl,1983,Grand,0
Ivan Lendl,1983,Total,8
Ivan Lendl,1984,Other,2
Ivan Lendl,1984,Masters,0
Ivan Lendl,1984,Tour,0
Ivan Lendl,1984,Grand,1
Ivan Lendl,1984,Total,3
Ivan Lendl,1985,Other,10
Ivan Lendl,1985,Masters,0
Ivan Lendl,1985,Tour,0
Ivan Lendl,1985,Grand,1
Ivan Lendl,1985,Total,11
Ivan Lendl,1986,Other,4
Ivan Lendl,1986,Masters,4
Ivan Lendl,1986,Tour,0
Ivan Lendl,1986,Grand,2
Ivan Lendl,1986,Total,10
Ivan Lendl,1987,Other,4
Ivan Lendl,1987,Masters,2
Ivan Lendl,1987,Tour,0
Ivan Lendl,1987,Grand,2
Ivan Lendl,1987,Total,8
Ivan Lendl,1988,Other,1
Ivan Lendl,1988,Masters,2
Ivan Lendl,1988,Tour,0
Ivan Lendl,1988,Grand,0
Ivan Lendl,1988,Total,3
Ivan Lendl,1989,Other,7
Ivan Lendl,1989,Masters,2
Ivan Lendl,1989,Tour,0
Ivan Lendl,1989,Grand,1
Ivan Lendl,1989,Total,10
Ivan Lendl,1990,Other,4
Ivan Lendl,1990,Masters,0
Ivan Lendl,1990,Tour,0
Ivan Lendl,1990,Grand,1
Ivan Lendl,1990,Total,5
Ivan Lendl,1991,Other,3
Ivan Lendl,1991,Masters,0
Ivan Lendl,1991,Tour,0
Ivan Lendl,1991,Grand,0
Ivan Lendl,1991,Total,3
Ivan Lendl,1992,Other,1
Ivan Lendl,1992,Masters,0
Ivan Lendl,1992,Tour,0
Ivan Lendl,1992,Grand,0
Ivan Lendl,1992,Total,1
Ivan Lendl,1993,Other,2
Ivan Lendl,1993,Masters,0
Ivan Lendl,1993,Tour,0
Ivan Lendl,1993,Grand,0
Ivan Lendl,1993,Total,2
Jimmy Connors,1972,Other,4
Jimmy Connors,1972,Masters,1
Jimmy Connors,1972,Tour,0
Jimmy Connors,1972,Grand,0
Jimmy Connors,1972,Total,5
Jimmy Connors,1973,Other,12
Jimmy Connors,1973,Masters,0
Jimmy Connors,1973,Tour,0
Jimmy Connors,1973,Grand,1
Jimmy Connors,1973,Total,13
Jimmy Connors,1974,Other,12
Jimmy Connors,1974,Masters,0
Jimmy Connors,1974,Tour,0
Jimmy Connors,1974,Grand,2
Jimmy Connors,1974,Total,14
Jimmy Connors,1975,Other,9
Jimmy Connors,1975,Masters,0
Jimmy Connors,1975,Tour,0
Jimmy Connors,1975,Grand,0
Jimmy Connors,1975,Total,9
Jimmy Connors,1976,Other,11
Jimmy Connors,1976,Masters,0
Jimmy Connors,1976,Tour,0
Jimmy Connors,1976,Grand,1
Jimmy Connors,1976,Total,12
Jimmy Connors,1977,Other,7
Jimmy Connors,1977,Masters,0
Jimmy Connors,1977,Tour,0
Jimmy Connors,1977,Grand,0
Jimmy Connors,1977,Total,7
Jimmy Connors,1978,Other,9
Jimmy Connors,1978,Masters,1
Jimmy Connors,1978,Tour,0
Jimmy Connors,1978,Grand,1
Jimmy Connors,1978,Total,11
Jimmy Connors,1979,Other,8
Jimmy Connors,1979,Masters,0
Jimmy Connors,1979,Tour,0
Jimmy Connors,1979,Grand,0
Jimmy Connors,1979,Total,8
Jimmy Connors,1980,Other,6
Jimmy Connors,1980,Masters,0
Jimmy Connors,1980,Tour,0
Jimmy Connors,1980,Grand,0
Jimmy Connors,1980,Total,6
Jimmy Connors,1981,Other,4
Jimmy Connors,1981,Masters,0
Jimmy Connors,1981,Tour,0
Jimmy Connors,1981,Grand,0
Jimmy Connors,1981,Total,4
Jimmy Connors,1982,Other,5
Jimmy Connors,1982,Masters,0
Jimmy Connors,1982,Tour,0
Jimmy Connors,1982,Grand,2
Jimmy Connors,1982,Total,7
Jimmy Connors,1983,Other,3
Jimmy Connors,1983,Masters,0
Jimmy Connors,1983,Tour,0
Jimmy Connors,1983,Grand,1
Jimmy Connors,1983,Total,4
Jimmy Connors,1984,Other,5
Jimmy Connors,1984,Masters,0
Jimmy Connors,1984,Tour,0
Jimmy Connors,1984,Grand,0
Jimmy Connors,1984,Total,5
Jimmy Connors,1985,Other,1
Jimmy Connors,1985,Masters,0
Jimmy Connors,1985,Tour,0
Jimmy Connors,1985,Grand,0
Jimmy Connors,1985,Total,1
Jimmy Connors,1988,Other,2
Jimmy Connors,1988,Masters,0
Jimmy Connors,1988,Tour,0
Jimmy Connors,1988,Grand,0
Jimmy Connors,1988,Total,2
Jimmy Connors,1989,Other,2
Jimmy Connors,1989,Masters,0
Jimmy Connors,1989,Tour,0
Jimmy Connors,1989,Grand,0
Jimmy Connors,1989,Total,2
Novak Djokovic,2006,Other,2
Novak Djokovic,2006,Masters,0
Novak Djokovic,2006,Tour,0
Novak Djokovic,2006,Grand,0
Novak Djokovic,2006,Total,2
Novak Djokovic,2007,Other,3
Novak Djokovic,2007,Masters,2
Novak Djokovic,2007,Tour,0
Novak Djokovic,2007,Grand,0
Novak Djokovic,2007,Total,5
Novak Djokovic,2008,Other,0
Novak Djokovic,2008,Masters,2
Novak Djokovic,2008,Tour,1
Novak Djokovic,2008,Grand,1
Novak Djokovic,2008,Total,4
Novak Djokovic,2009,Other,4
Novak Djokovic,2009,Masters,1
Novak Djokovic,2009,Tour,0
Novak Djokovic,2009,Grand,0
