Date,Average Price,Volume,Region
01/01/1995,45545,3990,East Midlands
01/02/1995,46052,4211,East Midlands
01/03/1995,45384,5840,East Midlands
01/04/1995,46124,4892,East Midlands
01/05/1995,45878,5377,East Midlands
01/06/1995,45680,6283,East Midlands
01/07/1995,46038,5359,East Midlands
01/08/1995,45923,5656,East Midlands
01/09/1995,45772,5654,East Midlands
01/10/1995,45155,5163,East Midlands
01/11/1995,44967,5463,East Midlands
01/12/1995,45649,6006,East Midlands
01/01/1996,44619,3927,East Midlands
01/02/1996,44506,4278,East Midlands
01/03/1996,45190,5878,East Midlands
01/04/1996,45704,5358,East Midlands
01/05/1996,45728,6738,East Midlands
01/06/1996,46149,6477,East Midlands
01/07/1996,46577,7115,East Midlands
01/08/1996,47067,7657,East Midlands
01/09/1996,46938,6549,East Midlands
01/10/1996,46520,6964,East Midlands
01/11/1996,47287,7896,East Midlands
01/12/1996,47642,7206,East Midlands
01/01/1997,46775,5315,East Midlands
01/02/1997,47346,5338,East Midlands
01/03/1997,47721,6506,East Midlands
01/04/1997,48694,6275,East Midlands
01/05/1997,49019,7939,East Midlands
01/06/1997,48966,8167,East Midlands
01/07/1997,50205,8297,East Midlands
01/08/1997,50607,8282,East Midlands
01/09/1997,50400,7486,East Midlands
01/10/1997,50159,7983,East Midlands
01/11/1997,50805,6805,East Midlands
01/12/1997,50342,7166,East Midlands
01/01/1998,50771,4941,East Midlands
01/02/1998,50386,5219,East Midlands
01/03/1998,50540,6516,East Midlands
01/04/1998,51973,6658,East Midlands
01/05/1998,52334,7532,East Midlands
01/06/1998,52423,7671,East Midlands
01/07/1998,52959,8613,East Midlands
01/08/1998,53435,7502,East Midlands
01/09/1998,53101,6962,East Midlands
01/10/1998,52902,7609,East Midlands
01/11/1998,52671,7178,East Midlands
01/12/1998,53106,7522,East Midlands
01/01/1999,53062,4928,East Midlands
01/02/1999,52648,5227,East Midlands
01/03/1999,53555,7191,East Midlands
01/04/1999,55438,7866,East Midlands
01/05/1999,54991,7922,East Midlands
01/06/1999,55273,8327,East Midlands
01/07/1999,56563,10032,East Midlands
01/08/1999,57137,9020,East Midlands
01/09/1999,57223,8505,East Midlands
01/10/1999,57459,9313,East Midlands
01/11/1999,58296,8848,East Midlands
01/12/1999,58360,8818,East Midlands
01/01/2000,58080,5721,East Midlands
01/02/2000,58575,6261,East Midlands
01/03/2000,59228,8474,East Midlands
01/04/2000,60889,7878,East Midlands
01/05/2000,61430,8361,East Midlands
01/06/2000,62425,9862,East Midlands
01/07/2000,63474,8508,East Midlands
01/08/2000,64055,8372,East Midlands
01/09/2000,64880,8209,East Midlands
01/10/2000,63967,7481,East Midlands
01/11/2000,64608,7459,East Midlands
01/12/2000,65237,8249,East Midlands
01/01/2001,65725,5592,East Midlands
01/02/2001,65598,5943,East Midlands
01/03/2001,65928,8005,East Midlands
01/04/2001,67974,7885,East Midlands
01/05/2001,69038,8894,East Midlands
01/06/2001,70033,10185,East Midlands
01/07/2001,70796,10046,East Midlands
01/08/2001,72186,11282,East Midlands
01/09/2001,72637,8922,East Midlands
01/10/2001,73333,9727,East Midlands
01/11/2001,74391,10202,East Midlands
01/12/2001,75378,8767,East Midlands
01/01/2002,75280,6356,East Midlands
01/02/2002,76450,6914,East Midlands
01/03/2002,78292,9778,East Midlands
01/04/2002,80083,9215,East Midlands
01/05/2002,82643,12191,East Midlands
01/06/2002,84539,9445,East Midlands
01/07/2002,88192,10879,East Midlands
01/08/2002,91058,11055,East Midlands
01/09/2002,91480,8991,East Midlands
01/10/2002,93898,9320,East Midlands
01/11/2002,96949,10088,East Midlands
01/12/2002,98179,9098,East Midlands
01/01/2003,100132,6889,East Midlands
01/02/2003,102378,6930,East Midlands
01/03/2003,101518,7381,East Midlands
01/04/2003,106466,7506,East Midlands
01/05/2003,108677,8273,East Midlands
01/06/2003,109587,8773,East Midlands
01/07/2003,111648,9126,East Midlands
01/08/2003,114593,9809,East Midlands
01/09/2003,114575,9234,East Midlands
01/10/2003,116408,10458,East Midlands
01/11/2003,117723,9623,East Midlands
01/12/2003,118022,10239,East Midlands
01/01/2004,119411,7314,East Midlands
01/02/2004,120237,7473,East Midlands
01/03/2004,121241,8770,East Midlands
01/04/2004,125676,10531,East Midlands
01/05/2004,128522,9563,East Midlands
01/06/2004,130950,10503,East Midlands
01/07/2004,133637,11266,East Midlands
01/08/2004,136148,9424,East Midlands
01/09/2004,137141,7945,East Midlands
01/10/2004,136872,7600,East Midlands
01/11/2004,138554,6881,East Midlands
01/12/2004,137765,6958,East Midlands
01/01/2005,135281,4327,East Midlands
01/02/2005,136774,4790,East Midlands
01/03/2005,137121,5901,East Midlands
01/04/2005,138634,7088,East Midlands
01/05/2005,140205,6890,East Midlands
01/06/2005,139707,7885,East Midlands
01/07/2005,141437,8444,East Midlands
01/08/2005,142518,8319,East Midlands
01/09/2005,141382,8473,East Midlands
01/10/2005,142601,7681,East Midlands
01/11/2005,142597,7772,East Midlands
01/12/2005,142296,8951,East Midlands
01/01/2006,140443,5978,East Midlands
01/02/2006,140814,6405,East Midlands
01/03/2006,141418,8741,East Midlands
01/04/2006,145425,7912,East Midlands
01/05/2006,145116,8881,East Midlands
01/06/2006,146426,10659,East Midlands
01/07/2006,149079,9425,East Midlands
01/08/2006,149752,10183,East Midlands
01/09/2006,148304,9765,East Midlands
01/10/2006,149835,9446,East Midlands
01/11/2006,150106,9804,East Midlands
01/12/2006,151841,10413,East Midlands
01/01/2007,151360,7037,East Midlands
01/02/2007,152008,7125,East Midlands
01/03/2007,152595,9116,East Midlands
01/04/2007,154051,8170,East Midlands
01/05/2007,154459,8914,East Midlands
01/06/2007,156216,10668,East Midlands
01/07/2007,157902,9522,East Midlands
01/08/2007,159023,10470,East Midlands
01/09/2007,159537,8229,East Midlands
01/10/2007,157562,8177,East Midlands
01/11/2007,157962,8697,East Midlands
01/12/2007,157244,7083,East Midlands
01/01/2008,153065,4705,East Midlands
01/02/2008,153034,5182,East Midlands
01/03/2008,152241,4967,East Midlands
01/04/2008,152448,5310,East Midlands
01/05/2008,152126,5595,East Midlands
01/06/2008,151545,5020,East Midlands
01/07/2008,150970,4420,East Midlands
01/08/2008,146193,4110,East Midlands
01/09/2008,142592,3565,East Midlands
01/10/2008,140155,3962,East Midlands
01/11/2008,134902,3224,East Midlands
01/12/2008,134826,3700,East Midlands
01/01/2009,131716,2245,East Midlands
01/02/2009,129876,2271,East Midlands
01/03/2009,129915,3227,East Midlands
01/04/2009,130372,3392,East Midlands
01/05/2009,129878,3899,East Midlands
01/06/2009,133112,4667,East Midlands
