Date,Rate
2015-01-01,0.5
2015-02-01,0.4
2015-03-01,0.3
2015-04-01,0.3
2015-05-01,0.4
2015-06-01,0.3
2015-07-01,0.5
2015-08-01,0.4
2015-09-01,0.2
2015-10-01,0.2
2015-11-01,0.4
2015-12-01,0.5
2016-01-01,0.6
2016-02-01,0.6
2016-03-01,0.8
2016-04-01,0.7
2016-05-01,0.7
2016-06-01,0.8
2016-07-01,0.9
2016-08-01,1.0
2016-09-01,1.3
2016-10-01,1.3
2016-11-01,1.5
2016-12-01,1.8
2017-01-01,1.9
2017-02-01,2.3
2017-03-01,2.3
2017-04-01,2.6
2017-05-01,2.7
2017-06-01,2.6
2017-07-01,2.6
2017-08-01,2.7
2017-09-01,2.8
2017-10-01,2.8
2017-11-01,2.8
2017-12-01,2.7
2018-01-01,2.7
2018-02-01,2.5
2018-03-01,2.3
2018-04-01,2.2
2018-05-01,2.3
2018-06-01,2.3
2018-07-01,2.3
2018-08-01,2.4
2018-09-01,2.2
2018-10-01,2.2
2018-11-01,2.2
2018-12-01,2.0
2019-01-01,1.8
2019-02-01,1.8
2019-03-01,1.8
2019-04-01,2.0
2019-05-01,1.9
2019-06-01,1.9
2019-07-01,2.0
2019-08-01,1.7
2019-09-01,1.7
2019-10-01,1.5
2019-11-01,1.5
2019-12-01,1.4
2020-01-01,1.8
2020-02-01,1.7
2020-03-01,1.5
2020-04-01,0.9
2020-05-01,0.7
2020-06-01,0.8
2020-07-01,1.1
2020-08-01,0.5
2020-09-01,0.7
2020-10-01,0.9
2020-11-01,0.6
2020-12-01,0.8
2021-01-01,0.9
2021-02-01,0.7
2021-03-01,1.0
2021-04-01,1.6
2021-05-01,2.1
2021-06-01,2.4
2021-07-01,2.1
2021-08-01,3.0
2021-09-01,2.9
2021-10-01,3.8
2021-11-01,4.6
2021-12-01,4.8
2022-01-01,4.9
2022-02-01,5.5
2022-03-01,6.2
2022-04-01,7.8
2022-05-01,7.9
2022-06-01,8.2
2022-07-01,8.8
2022-08-01,8.6
2022-09-01,8.8
2022-10-01,9.6
2022-11-01,9.3
