LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
CAN,GDPHRWKD,TOT,USD,A,1970,28.629921,
CAN,GDPHRWKD,TOT,USD,A,1971,29.334365,
CAN,GDPHRWKD,TOT,USD,A,1972,30.350246,
CAN,GDPHRWKD,TOT,USD,A,1973,31.07351,
CAN,GDPHRWKD,TOT,USD,A,1974,31.071951,
CAN,GDPHRWKD,TOT,USD,A,1975,31.427784,
CAN,GDPHRWKD,TOT,USD,A,1976,33.28053,
CAN,GDPHRWKD,TOT,USD,A,1977,34.204027,
CAN,GDPHRWKD,TOT,USD,A,1978,34.456076,
CAN,GDPHRWKD,TOT,USD,A,1979,34.116931,
CAN,GDPHRWKD,TOT,USD,A,1980,34.016491,
CAN,GDPHRWKD,TOT,USD,A,1981,34.483961,
CAN,GDPHRWKD,TOT,USD,A,1982,34.95985,
CAN,GDPHRWKD,TOT,USD,A,1983,35.772644,
CAN,GDPHRWKD,TOT,USD,A,1984,36.744884,
CAN,GDPHRWKD,TOT,USD,A,1985,37.074654,
CAN,GDPHRWKD,TOT,USD,A,1986,36.758123,
CAN,GDPHRWKD,TOT,USD,A,1987,36.928036,
CAN,GDPHRWKD,TOT,USD,A,1988,37.281976,
CAN,GDPHRWKD,TOT,USD,A,1989,37.371447,
CAN,GDPHRWKD,TOT,USD,A,1990,37.329579,
CAN,GDPHRWKD,TOT,USD,A,1991,37.657788,
CAN,GDPHRWKD,TOT,USD,A,1992,38.428156,
CAN,GDPHRWKD,TOT,USD,A,1993,39.205668,
CAN,GDPHRWKD,TOT,USD,A,1994,39.985071,
CAN,GDPHRWKD,TOT,USD,A,1995,40.473261,
CAN,GDPHRWKD,TOT,USD,A,1996,40.384258,
CAN,GDPHRWKD,TOT,USD,A,1997,41.11408,
CAN,GDPHRWKD,TOT,USD,A,1998,41.878901,
CAN,GDPHRWKD,TOT,USD,A,1999,42.937024,
CAN,GDPHRWKD,TOT,USD,A,2000,44.285388,
CAN,GDPHRWKD,TOT,USD,A,2001,44.991861,
CAN,GDPHRWKD,TOT,USD,A,2002,45.721803,
CAN,GDPHRWKD,TOT,USD,A,2003,45.835459,
CAN,GDPHRWKD,TOT,USD,A,2004,46.221376,
CAN,GDPHRWKD,TOT,USD,A,2005,47.247735,
CAN,GDPHRWKD,TOT,USD,A,2006,47.751732,
CAN,GDPHRWKD,TOT,USD,A,2007,47.748713,
CAN,GDPHRWKD,TOT,USD,A,2008,47.612779,
CAN,GDPHRWKD,TOT,USD,A,2009,47.84147,
CAN,GDPHRWKD,TOT,USD,A,2010,48.328378,
CAN,GDPHRWKD,TOT,USD,A,2011,49.118031,
CAN,GDPHRWKD,TOT,USD,A,2012,49.22531,
CAN,GDPHRWKD,TOT,USD,A,2013,49.879102,
CAN,GDPHRWKD,TOT,USD,A,2014,51.187305,
CAN,GDPHRWKD,TOT,USD,A,2015,51.051617,
CAN,GDPHRWKD,TOT,USD,A,2016,51.135179,
CAN,GDPHRWKD,TOT,USD,A,2017,52.046638,
CAN,GDPHRWKD,TOT,USD,A,2018,52.212832,
CAN,GDPHRWKD,TOT,USD,A,2019,52.691958,
CAN,GDPHRWKD,TOT,USD,A,2020,56.612082,
FRA,GDPHRWKD,TOT,USD,A,1970,23.895838,
FRA,GDPHRWKD,TOT,USD,A,1971,25.08375,
FRA,GDPHRWKD,TOT,USD,A,1972,26.770467,
FRA,GDPHRWKD,TOT,USD,A,1973,28.316172,
FRA,GDPHRWKD,TOT,USD,A,1974,29.760027,
FRA,GDPHRWKD,TOT,USD,A,1975,30.117225,
FRA,GDPHRWKD,TOT,USD,A,1976,30.736344,
FRA,GDPHRWKD,TOT,USD,A,1977,32.177911,
FRA,GDPHRWKD,TOT,USD,A,1978,33.831663,
FRA,GDPHRWKD,TOT,USD,A,1979,34.864781,
FRA,GDPHRWKD,TOT,USD,A,1980,35.437723,
FRA,GDPHRWKD,TOT,USD,A,1981,36.265538,
FRA,GDPHRWKD,TOT,USD,A,1982,38.617471,
FRA,GDPHRWKD,TOT,USD,A,1983,39.556884,
FRA,GDPHRWKD,TOT,USD,A,1984,40.521273,
FRA,GDPHRWKD,TOT,USD,A,1985,42.149867,
FRA,GDPHRWKD,TOT,USD,A,1986,43.080524,
FRA,GDPHRWKD,TOT,USD,A,1987,43.50535,
FRA,GDPHRWKD,TOT,USD,A,1988,44.910327,
FRA,GDPHRWKD,TOT,USD,A,1989,46.511042,
FRA,GDPHRWKD,TOT,USD,A,1990,47.626606,
FRA,GDPHRWKD,TOT,USD,A,1991,48.223343,
FRA,GDPHRWKD,TOT,USD,A,1992,49.384037,
FRA,GDPHRWKD,TOT,USD,A,1993,49.843589,
FRA,GDPHRWKD,TOT,USD,A,1994,50.872062,
FRA,GDPHRWKD,TOT,USD,A,1995,52.137055,
FRA,GDPHRWKD,TOT,USD,A,1996,52.705155,
FRA,GDPHRWKD,TOT,USD,A,1997,53.577234,
FRA,GDPHRWKD,TOT,USD,A,1998,54.902497,
FRA,GDPHRWKD,TOT,USD,A,1999,55.693666,
FRA,GDPHRWKD,TOT,USD,A,2000,57.168797,
FRA,GDPHRWKD,TOT,USD,A,2001,58.238429,
FRA,GDPHRWKD,TOT,USD,A,2002,59.938668,
FRA,GDPHRWKD,TOT,USD,A,2003,60.280773,
FRA,GDPHRWKD,TOT,USD,A,2004,60.946954,
FRA,GDPHRWKD,TOT,USD,A,2005,61.487911,
FRA,GDPHRWKD,TOT,USD,A,2006,63.018745,
FRA,GDPHRWKD,TOT,USD,A,2007,62.723395,
FRA,GDPHRWKD,TOT,USD,A,2008,62.323215,
FRA,GDPHRWKD,TOT,USD,A,2009,61.685771,
FRA,GDPHRWKD,TOT,USD,A,2010,62.484285,
FRA,GDPHRWKD,TOT,USD,A,2011,63.109941,
FRA,GDPHRWKD,TOT,USD,A,2012,63.316137,
FRA,GDPHRWKD,TOT,USD,A,2013,64.173601,
FRA,GDPHRWKD,TOT,USD,A,2014,64.791079,
FRA,GDPHRWKD,TOT,USD,A,2015,65.316731,
FRA,GDPHRWKD,TOT,USD,A,2016,65.499243,
FRA,GDPHRWKD,TOT,USD,A,2017,66.881126,
FRA,GDPHRWKD,TOT,USD,A,2018,67.155153,
FRA,GDPHRWKD,TOT,USD,A,2019,67.417144,
