Year Acquired,count,mean,std,min,25%,50%,75%,max
1753-01-01T00:00:00,1.0,1200.0,,1200.0,1200.0,1200.0,1200.0,1200.0
1802-01-01T00:00:00,2.0,2220.0,1943.1294347006326,846.0,1533.0,2220.0,2907.0,3594.0
1810-01-01T00:00:00,3.0,1344.3333333333333,1809.9459476275345,216.0,300.5,385.0,1908.5,3432.0
1832-01-01T00:00:00,1.0,120000.0,,120000.0,120000.0,120000.0,120000.0,120000.0
1837-01-01T00:00:00,1.0,10302.0,,10302.0,10302.0,10302.0,10302.0,10302.0
1838-01-01T00:00:00,1.0,2010.0,,2010.0,2010.0,2010.0,2010.0,2010.0
1839-01-01T00:00:00,1.0,11752.0,,11752.0,11752.0,11752.0,11752.0,11752.0
1840-01-01T00:00:00,8.0,4614.75,6890.521496955074,608.0,750.0,1492.0,4218.75,20221.0
1841-01-01T00:00:00,1.0,3256.0,,3256.0,3256.0,3256.0,3256.0,3256.0
1843-01-01T00:00:00,1.0,900.0,,900.0,900.0,900.0,900.0,900.0
1844-01-01T00:00:00,1.0,4088.0,,4088.0,4088.0,4088.0,4088.0,4088.0
1845-01-01T00:00:00,3.0,21948.666666666668,31203.93836254221,3616.0,3934.0,4252.0,31115.0,57978.0
1848-01-01T00:00:00,4.0,5323.0,5095.809454836395,1644.0,2079.0,3474.5,6718.5,12699.0
1850-01-01T00:00:00,2.0,1133.5,895.9042917633557,500.0,816.75,1133.5,1450.25,1767.0
1853-01-01T00:00:00,1.0,255000.0,,255000.0,255000.0,255000.0,255000.0,255000.0
1854-01-01T00:00:00,1.0,2140.0,,2140.0,2140.0,2140.0,2140.0,2140.0
1855-01-01T00:00:00,6.0,11025.666666666666,16923.776808581075,1118.0,2015.0,5476.0,7446.0,45120.0
1856-01-01T00:00:00,1.0,750.0,,750.0,750.0,750.0,750.0,750.0
1857-01-01T00:00:00,2.0,9062.0,8572.962615105702,3000.0,6031.0,9062.0,12093.0,15124.0
1858-01-01T00:00:00,2.0,11183.5,5397.346060796917,7367.0,9275.25,11183.5,13091.75,15000.0
1859-01-01T00:00:00,1.0,4847.0,,4847.0,4847.0,4847.0,4847.0,4847.0
1860-01-01T00:00:00,6.0,4569.5,7751.7325482759015,36.0,527.25,1606.5,3282.0,20160.0
1863-01-01T00:00:00,1.0,15795.0,,15795.0,15795.0,15795.0,15795.0,15795.0
1865-01-01T00:00:00,9.0,24832.666666666668,32196.907405836355,225.0,225.0,9540.0,66150.0,68040.0
1867-01-01T00:00:00,1.0,2700.0,,2700.0,2700.0,2700.0,2700.0,2700.0
1870-01-01T00:00:00,1.0,2864.0,,2864.0,2864.0,2864.0,2864.0,2864.0
1871-01-01T00:00:00,5.0,1280.6,1244.568117862578,290.0,714.0,768.0,1200.0,3431.0
1872-01-01T00:00:00,1.0,14900.0,,14900.0,14900.0,14900.0,14900.0,14900.0
1873-01-01T00:00:00,1.0,11000.0,,11000.0,11000.0,11000.0,11000.0,11000.0
1874-01-01T00:00:00,1.0,6600.0,,6600.0,6600.0,6600.0,6600.0,6600.0
1875-01-01T00:00:00,3.0,1269.3333333333333,801.8611683660291,400.0,914.0,1428.0,1704.0,1980.0
1876-01-01T00:00:00,5.0,80856.0,160693.74499338795,1200.0,6000.0,7680.0,21400.0,368000.0
1878-01-01T00:00:00,1.0,33071.0,,33071.0,33071.0,33071.0,33071.0,33071.0
1880-01-01T00:00:00,8.0,22479.125,18584.21640945809,1800.0,3657.75,25258.5,32816.75,54118.0
1881-01-01T00:00:00,1.0,6671.0,,6671.0,6671.0,6671.0,6671.0,6671.0
1882-01-01T00:00:00,2.0,29633.0,16239.414336730251,18150.0,23891.5,29633.0,35374.5,41116.0
1883-01-01T00:00:00,2.0,4362.5,5957.374631496663,150.0,2256.25,4362.5,6468.75,8575.0
1885-01-01T00:00:00,4.0,7539.25,13162.546900834453,184.0,588.25,1361.5,8312.5,27250.0
1886-01-01T00:00:00,13.0,12951.538461538461,13386.600723704933,50.0,190.0,9203.0,18846.0,44800.0
1887-01-01T00:00:00,4.0,48705.75,32875.86620785324,15000.0,25078.5,46599.0,70226.25,86625.0
1888-01-01T00:00:00,2.0,42462.0,19397.353221509373,28746.0,35604.0,42462.0,49320.0,56178.0
1890-01-01T00:00:00,7.0,12333.42857142857,12204.232078219737,300.0,1050.0,9600.0,23462.5,27409.0
1891-01-01T00:00:00,1.0,2325.0,,2325.0,2325.0,2325.0,2325.0,2325.0
1892-01-01T00:00:00,3.0,50493.333333333336,53825.39714050732,4380.0,20921.0,37462.0,73550.0,109638.0
1893-01-01T00:00:00,6.0,6598.333333333333,4939.713217046782,800.0,2475.0,6757.5,10128.75,12975.0
1894-01-01T00:00:00,1.0,85000.0,,85000.0,85000.0,85000.0,85000.0,85000.0
1895-01-01T00:00:00,7.0,32239.571428571428,35308.668821585175,4444.0,13050.0,23430.0,31497.5,108708.0
1896-01-01T00:00:00,6.0,48360.833333333336,32818.91091073356,13401.0,19152.75,48302.0,70368.25,93000.0
1897-01-01T00:00:00,1.0,132907.0,,132907.0,132907.0,132907.0,132907.0,132907.0
1898-01-01T00:00:00,2.0,18380.0,23589.082220383225,1700.0,10040.0,18380.0,26720.0,35060.0
1899-01-01T00:00:00,3.0,40491.666666666664,9595.529914149261,32229.0,35229.5,38230.0,44623.0,51016.0
1900-01-01T00:00:00,27.0,12438.333333333334,24407.486225462748,200.0,1053.5,2220.0,7282.0,107660.0
1901-01-01T00:00:00,3.0,36495.333333333336,44235.87532007628,1450.0,11643.0,21836.0,54018.0,86200.0
1902-01-01T00:00:00,8.0,33715.625,74910.74220113561,82.0,274.5,608.5,15125.0,214000.0
1903-01-01T00:00:00,6.0,26764.0,22442.40435425759,10288.0,15330.5,20377.0,23456.25,71411.0
1904-01-01T00:00:00,7.0,5852.0,5686.738256681065,480.0,1840.0,4000.0,8752.0,15300.0
1905-01-01T00:00:00,13.0,24068.153846153848,38173.902599040426,150.0,5910.0,7500.0,16086.0,132146.0
1906-01-01T00:00:00,2.0,10187.0,5038.842922735338,6624.0,8405.5,10187.0,11968.5,13750.0
1907-01-01T00:00:00,9.0,14809.444444444445,14097.166977012714,2900.0,5625.0,9816.0,15782.0,47656.0
1908-01-01T00:00:00,11.0,32750.18181818182,30984.242959343646,2682.0,7677.5,32146.0,47762.0,102521.0
1909-01-01T00:00:00,7.0,42611.857142857145,46199.134419844464,2175.0,18149.0,38680.0,39424.5,142281.0
1910-01-01T00:00:00,22.0,10518.681818181818,12792.414930382858,150.0,642.0,5675.0,14022.0,45072.0
1911-01-01T00:00:00,8.0,29715.25,56212.93885307901,160.0,5261.25,8981.0,17153.25,166742.0
1912-01-01T00:00:00,9.0,46979.11111111111,31165.397067278176,3464.0,31683.0,50408.0,51944.0,100570.0
1913-01-01T00:00:00,17.0,9335.882352941177,8638.002972926908,1152.0,5976.0,5976.0,6974.0,35415.0
1914-01-01T00:00:00,4.0,83526.5,133998.1448988505,3288.0,7689.75,23812.0,99648.75,283194.0
1915-01-01T00:00:00,16.0,33253.1875,36118.06747546856,3736.0,13754.5,22300.5,33683.0,148780.0
1916-01-01T00:00:00,11.0,19092.090909090908,19720.665848061748,16.0,2610.0,17880.0,28189.5,56120.0
