Unnamed: 0,date,HPI,HPI_Rent,HPI_Income
0,1982/03,56.91539858,73.6764706,91.52585737
1,1982/06,57.61737856,73.55534277,92.1842944
2,1982/09,55.79295861,70.95687786,89.09347603
3,1982/12,57.68540856,74.9358611,92.33004537
4,1983/03,58.65431853,75.9432549,93.02758835
5,1983/06,58.73003853,75.99000673,92.96591555
6,1983/09,58.48796854,75.89035844,91.47242908
7,1983/12,58.54780854,75.56705933,89.73132513
8,1984/03,58.85718853,75.8388057,88.80601551
9,1984/06,58.91348853,75.6788407,87.7195455
10,1984/09,59.01791852,75.36957883,86.7972911
11,1984/12,59.23257852,75.15062772,86.77984967
12,1985/03,59.41396851,75.2728357,87.43790217
13,1985/06,59.66585851,75.06212596,86.40394526
14,1985/09,60.1313285,75.05660338,87.55298986
15,1985/12,60.48610849,74.90305392,87.44715807
16,1986/03,61.27877847,75.43321588,87.76529063
17,1986/06,62.45874844,75.71971316,88.56238004
18,1986/09,63.08123842,76.14342018,89.09610748
19,1986/12,63.78755841,76.5557611,90.22671285
20,1987/03,64.49910839,77.26115975,90.86862541
21,1987/06,64.70286838,77.30436323,92.22944287
22,1987/09,64.84034838,77.38249266,91.06771221
23,1987/12,64.82310838,77.04413613,90.08793911
24,1988/03,65.36528837,77.23593058,89.62719091
25,1988/06,65.76937836,77.81585288,89.51152475
26,1988/09,65.64661836,77.72805548,88.79626531
27,1988/12,65.70257836,77.77863888,88.18552231
28,1989/03,65.77078836,77.92895957,87.56206075
29,1989/06,65.60869836,77.8749154,87.66248326
30,1989/09,66.62284833,78.53510793,88.69280348
31,1989/12,66.76698833,78.3440015,88.41001827
32,1990/03,66.24046834,77.93156707,87.67582672
33,1990/06,65.73967836,76.93116557,86.66539822
34,1990/09,65.32348837,75.87237339,86.26844418
35,1990/12,64.33511839,75.12811065,85.93277741
36,1991/03,64.58031839,74.86477417,86.25951358
37,1991/06,64.48292839,74.59922194,85.67882829
38,1991/09,64.1783184,74.09009975,85.08415309
39,1991/12,64.72474838,74.57216979,85.38730567
40,1992/03,64.87151838,74.50007186,84.07322011
41,1992/06,64.25321839,73.76122768,82.55953245
42,1992/09,64.57857839,74.06987468,82.82005242
43,1992/12,64.56697839,74.0279776,82.69852572
44,1993/03,64.26717839,73.55666289,82.27311712
45,1993/06,64.27496839,73.44259859,82.15778527
46,1993/09,64.52076839,73.5996502,82.70375297
47,1993/12,64.79510838,73.83441896,82.72601415
48,1994/03,65.02303837,73.66654129,82.65691639
49,1994/06,64.87463838,73.41460302,81.75884598
50,1994/09,64.68130838,73.1619673,81.33947463
51,1994/12,64.44294839,72.64159627,80.05179032
52,1995/03,64.51863839,72.59309714,79.56936691
53,1995/06,65.02198837,72.88780538,80.17103484
54,1995/09,65.76231836,73.41191525,80.56958845
55,1995/12,66.09632835,73.48591364,80.74207444
56,1996/03,66.52474834,73.77194421,80.64555341
57,1996/06,66.00950835,73.18572317,79.51972826
58,1996/09,66.02889835,72.91438423,79.08487499
59,1996/12,66.21272834,73.14245294,79.17718792
60,1997/03,66.52467834,73.23677017,79.11576095
61,1997/06,66.72016833,73.08845682,78.77958466
62,1997/09,67.45387831,73.52213644,78.98418349
63,1997/12,68.24327829,73.96490048,78.97262824
64,1998/03,69.31809827,74.54045811,78.74127039
65,1998/06,69.62291826,74.37255089,78.19789251
66,1998/09,70.38709824,74.81180868,78.48738105
