Date,Growth Rate,Sector
2016-01-01,1.6,Public Sector
2016-02-01,1.5,Public Sector
2016-03-01,1.6,Public Sector
2016-04-01,1.9,Public Sector
2016-05-01,1.4,Public Sector
2016-06-01,2.0,Public Sector
2016-07-01,1.3,Public Sector
2016-08-01,2.1,Public Sector
2016-09-01,1.0,Public Sector
2016-10-01,1.4,Public Sector
2016-11-01,1.4,Public Sector
2016-12-01,1.6,Public Sector
2017-01-01,1.2,Public Sector
2017-02-01,1.1,Public Sector
2017-03-01,1.4,Public Sector
2017-04-01,0.8,Public Sector
2017-05-01,2.0,Public Sector
2017-06-01,1.1,Public Sector
2017-07-01,1.7,Public Sector
2017-08-01,1.7,Public Sector
2017-09-01,1.7,Public Sector
2017-10-01,2.2,Public Sector
2017-11-01,1.8,Public Sector
2017-12-01,2.0,Public Sector
2018-01-01,2.3,Public Sector
2018-02-01,2.6,Public Sector
2018-03-01,2.2,Public Sector
2018-04-01,2.4,Public Sector
2018-05-01,1.7,Public Sector
2018-06-01,2.5,Public Sector
2018-07-01,3.0,Public Sector
2018-08-01,2.8,Public Sector
2018-09-01,2.7,Public Sector
2018-10-01,2.7,Public Sector
2018-11-01,2.9,Public Sector
2018-12-01,2.8,Public Sector
2019-01-01,2.7,Public Sector
2019-02-01,2.3,Public Sector
2019-03-01,2.6,Public Sector
2019-04-01,4.5,Public Sector
2019-05-01,3.8,Public Sector
2019-06-01,3.8,Public Sector
2019-07-01,3.8,Public Sector
2019-08-01,2.8,Public Sector
2019-09-01,3.4,Public Sector
2019-10-01,3.2,Public Sector
2019-11-01,3.3,Public Sector
2019-12-01,3.3,Public Sector
2020-01-01,3.0,Public Sector
2020-02-01,3.5,Public Sector
2020-03-01,3.3,Public Sector
2020-04-01,3.0,Public Sector
2020-05-01,4.7,Public Sector
2020-06-01,4.6,Public Sector
2020-07-01,3.1,Public Sector
2020-08-01,3.9,Public Sector
2020-09-01,4.5,Public Sector
2020-10-01,4.0,Public Sector
2020-11-01,4.5,Public Sector
2020-12-01,4.5,Public Sector
2021-01-01,5.3,Public Sector
2021-02-01,5.7,Public Sector
2021-03-01,5.4,Public Sector
2021-04-01,3.7,Public Sector
2021-05-01,2.6,Public Sector
2021-06-01,2.1,Public Sector
2021-07-01,2.8,Public Sector
2021-08-01,2.8,Public Sector
2021-09-01,2.3,Public Sector
2021-10-01,2.9,Public Sector
2021-11-01,2.4,Public Sector
2021-12-01,2.5,Public Sector
2022-01-01,1.9,Public Sector
2022-02-01,1.3,Public Sector
2022-03-01,1.5,Public Sector
2022-04-01,1.6,Public Sector
2022-05-01,1.4,Public Sector
2022-06-01,2.3,Public Sector
2022-07-01,2.3,Public Sector
2022-08-01,2.7,Public Sector
2022-09-01,2.2,Public Sector
2022-10-01,3.8,Public Sector
2016-01-01,3.2,Private Sector
2016-02-01,1.6,Private Sector
2016-03-01,2.7,Private Sector
2016-04-01,2.7,Private Sector
2016-05-01,2.6,Private Sector
2016-06-01,2.5,Private Sector
2016-07-01,2.8,Private Sector
2016-08-01,2.1,Private Sector
2016-09-01,2.8,Private Sector
2016-10-01,3.0,Private Sector
2016-11-01,3.2,Private Sector
2016-12-01,1.9,Private Sector
2017-01-01,1.8,Private Sector
2017-02-01,3.1,Private Sector
2017-03-01,2.4,Private Sector
2017-04-01,2.0,Private Sector
2017-05-01,2.1,Private Sector
2017-06-01,3.4,Private Sector
2017-07-01,1.6,Private Sector
2017-08-01,2.6,Private Sector
2017-09-01,3.1,Private Sector
2017-10-01,2.4,Private Sector
2017-11-01,2.4,Private Sector
2017-12-01,3.4,Private Sector
2018-01-01,2.7,Private Sector
2018-02-01,2.7,Private Sector
2018-03-01,3.5,Private Sector
2018-04-01,2.2,Private Sector
2018-05-01,2.6,Private Sector
2018-06-01,1.9,Private Sector
2018-07-01,3.4,Private Sector
2018-08-01,3.4,Private Sector
2018-09-01,2.8,Private Sector
2018-10-01,4.5,Private Sector
2018-11-01,3.2,Private Sector
2018-12-01,3.3,Private Sector
2019-01-01,3.9,Private Sector
2019-02-01,3.8,Private Sector
2019-03-01,2.6,Private Sector
2019-04-01,3.8,Private Sector
2019-05-01,3.9,Private Sector
2019-06-01,3.9,Private Sector
2019-07-01,4.1,Private Sector
2019-08-01,3.7,Private Sector
2019-09-01,4.0,Private Sector
2019-10-01,2.1,Private Sector
2019-11-01,3.1,Private Sector
2019-12-01,2.5,Private Sector
2020-01-01,3.0,Private Sector
2020-02-01,2.6,Private Sector
2020-03-01,1.2,Private Sector
2020-04-01,-2.1,Private Sector
2020-05-01,-2.7,Private Sector
2020-06-01,-2.7,Private Sector
2020-07-01,-0.9,Private Sector
2020-08-01,1.4,Private Sector
2020-09-01,2.0,Private Sector
2020-10-01,3.7,Private Sector
2020-11-01,5.2,Private Sector
2020-12-01,4.6,Private Sector
2021-01-01,4.4,Private Sector
2021-02-01,3.9,Private Sector
2021-03-01,3.5,Private Sector
2021-04-01,10.3,Private Sector
2021-05-01,10.4,Private Sector
2021-06-01,10.5,Private Sector
2021-07-01,8.2,Private Sector
2021-08-01,6.3,Private Sector
2021-09-01,5.3,Private Sector
2021-10-01,4.7,Private Sector
2021-11-01,3.8,Private Sector
2021-12-01,6.6,Private Sector
2022-01-01,6.0,Private Sector
