Age,c1992,c1993,c1994,c1995,c1996,c1997,c1998,c1999,c2000,c2001,c2002,c2003,c2004,c2005,c2006,c2007,c2008,c2009,c2010,c2011,c2012,c2013,c2014,c2015,c2016
0,,,,,,0.059978049,0.041249613,0.004778136,0.002757525,0.003096971,0.003589033,0.004329493,0.00283726,0.003088139,0.001396727,0.001453505,0.001796267,0.001550993,0.001474944,0.002172211,0.002145449,0.002167405,0.002658765,0.003976429,0.004011188
1,,,,,0.094773902,0.088678161,0.060807898,0.04422322,0.026046124,0.026845347,0.022944,0.022032219,0.020826167,0.016297584,0.014743309,0.015217419,0.012414068,0.015769955,0.015447161,0.024280256,0.022270063,0.030993395,0.058511714,0.057248508,
2,,,,0.035317178,0.089416677,0.095652102,0.088125424,0.046507003,0.032072659,0.035000179,0.027703342,0.0328055,0.030192857,0.027052132,0.02372394,0.024465424,0.043863915,0.025156181,0.030346442,0.035294747,0.035711852,0.039564314,0.061783232,,
3,,,0.019042544,0.02733371,0.092206,0.091271356,0.089045993,0.047840272,0.038785701,0.038474904,0.033732028,0.034699273,0.032649363,0.031689101,0.029343511,0.026885973,0.026679749,0.035887147,0.033910253,0.038776574,0.035271686,0.037403923,,,
4,,0.204316341,0.017489806,0.025679898,0.084118102,0.07848127,0.078141873,0.046458209,0.037200027,0.039788222,0.034869532,0.035219289,0.033046267,0.035756755,0.029536555,0.029624673,0.033609936,0.034574114,0.033708302,0.035528514,0.032290608,,,,
5,0.011019686,0.186689323,0.01692722,0.022748169,0.074888306,0.067572326,0.070975761,0.042267562,0.036503889,0.039606338,0.034260515,0.035177696,0.036130678,0.034915839,0.030090729,0.033829776,0.031077405,0.031465957,0.029783086,0.032509392,,,,,
6,0.009538484,0.182863017,0.015721864,0.026810912,0.066997281,0.070564418,0.058640301,0.040085444,0.036500468,0.038736397,0.033740737,0.03805368,0.034245996,0.035942487,0.032702244,0.031493703,0.029100093,0.027736086,0.026681823,,,,,,
7,0.008499966,0.16963739,0.014731987,0.026569215,0.062238597,0.059543781,0.054846417,0.039314182,0.035584877,0.037221382,0.035599467,0.036203199,0.031089095,0.031897917,0.030772405,0.030122253,0.026453914,0.025586022,,,,,,,
8,0.008067017,0.152967818,0.013842356,0.029861343,0.054469014,0.057395556,0.052793117,0.03800223,0.034493548,0.037030678,0.033697606,0.030471432,0.029924038,0.029315032,0.028649136,0.027015057,0.024483204,,,,,,,,
9,0.0093343,0.144174532,0.014710448,0.02522326,0.05083975,0.055472338,0.050654608,0.036734332,0.033921065,0.035060582,0.029109045,0.029506154,0.028151582,0.028202377,0.025728286,0.02506942,,,,,,,,,
10,0.009032266,0.140220239,0.013805014,0.025293806,0.049156961,0.053088897,0.047886636,0.033625714,0.032108054,0.031249899,0.027367115,0.028051139,0.026504907,0.024705314,0.023814475,,,,,,,,,,
11,0.008098507,0.129616384,0.014383583,0.025443117,0.046784951,0.050730507,0.045489153,0.031754832,0.027570402,0.028362404,0.026723576,0.026607994,0.024081371,0.022343425,,,,,,,,,,,
12,0.01099326,0.126363639,0.014309455,0.024980784,0.04458788,0.043642276,0.041899485,0.029069573,0.025404583,0.026723291,0.024019383,0.023901343,0.022283149,,,,,,,,,,,,
13,0.010819833,0.121249221,0.014414828,0.024972903,0.043985133,0.040063266,0.040439925,0.02739266,0.024319304,0.025203302,0.021112429,0.021614061,,,,,,,,,,,,,
14,0.010720052,0.116993088,0.01423076,0.023725956,0.041096286,0.040110653,0.03678109,0.026214525,0.023160309,0.022458257,0.01976116,,,,,,,,,,,,,,
15,0.010689289,0.112054263,0.014323317,0.022252416,0.04074907,0.037242019,0.035416614,0.024783117,0.020938571,0.021442541,,,,,,,,,,,,,,,
16,0.010586866,0.108874988,0.013763512,0.021633342,0.038567564,0.035557658,0.033398272,0.022245743,0.019748978,,,,,,,,,,,,,,,,
17,0.009156998,0.102077942,0.012382161,0.019975385,0.037071487,0.033732253,0.029141943,0.020847597,,,,,,,,,,,,,,,,,
18,0.009220403,0.100371608,0.013777788,0.019328987,0.034758981,0.030477371,0.027159392,,,,,,,,,,,,,,,,,,
19,0.008397312,0.104369936,0.014107437,0.018780802,0.031109543,0.028364392,,,,,,,,,,,,,,,,,,,
