env_step,rew,rew_std,Agent
0,-274.9585,30.3947,PPO
30720,11.9799,55.2327,PPO
61440,345.7298,139.9961,PPO
92160,909.6493,303.9931,PPO
122880,1370.7231,466.5559,PPO
153600,1978.4231,768.0638,PPO
184320,2466.3956,727.2613,PPO
215040,2932.2232,768.6621,PPO
245760,3256.0578,791.5371,PPO
276480,3608.5002,913.1391,PPO
307200,3927.2865,996.2931,PPO
337920,4036.1874,889.6304,PPO
368640,4211.7008,967.32,PPO
399360,4469.8477,1067.6662,PPO
430080,4508.921,952.455,PPO
460800,4718.2123,1095.8106,PPO
491520,4877.9208,1055.6683,PPO
522240,4896.2957,980.5305,PPO
552960,5173.8165,1106.9123,PPO
583680,5164.5684,1146.3997,PPO
614400,5291.8974,1195.9413,PPO
645120,5258.5054,1149.9965,PPO
675840,5389.2988,1304.1797,PPO
706560,5290.879,1152.4471,PPO
737280,5483.6851,1062.3022,PPO
768000,5235.702,1092.4269,PPO
798720,5380.5798,1149.1554,PPO
829440,5609.442,1139.8926,PPO
860160,5535.6169,1188.8048,PPO
890880,5733.831,1221.6438,PPO
921600,5783.8931,1243.9648,PPO
952320,5636.1712,1398.1925,PPO
983040,5780.2176,1267.7102,PPO
1013760,5649.9171,1226.3424,PPO
1044480,5929.9898,1158.9523,PPO
1075200,5961.6938,1207.4791,PPO
1105920,6070.5436,1286.7158,PPO
1136640,6087.6435,1203.064,PPO
1167360,6084.3965,1086.3397,PPO
1198080,6138.0199,1164.6205,PPO
1228800,6103.6806,1104.3936,PPO
1259520,6272.6565,1283.0591,PPO
1290240,5979.2705,1387.8467,PPO
1320960,6270.4063,1344.6734,PPO
1351680,6311.9153,1318.2905,PPO
1382400,6457.731,1296.4794,PPO
1413120,6391.7267,1265.2202,PPO
1443840,6494.0974,1286.5803,PPO
1474560,6443.9407,1231.9738,PPO
1505280,6489.5079,1387.1682,PPO
1536000,6424.721,1264.9294,PPO
1566720,6514.5716,1267.179,PPO
1597440,6442.9185,1254.8738,PPO
1628160,6519.5557,1200.6957,PPO
1658880,6612.5312,1318.4577,PPO
1689600,6621.729,1408.4337,PPO
1720320,6733.1272,1352.7413,PPO
1751040,6598.918,1249.3865,PPO
1781760,6690.3299,1359.7003,PPO
1812480,6603.2403,1293.2844,PPO
1843200,6756.5714,1222.5844,PPO
1873920,6652.8604,1413.5678,PPO
1904640,6703.5758,1361.8639,PPO
1935360,6796.892,1308.253,PPO
1966080,6618.2339,1212.2791,PPO
1996800,6760.9166,1445.6126,PPO
2027520,6657.0263,1416.5504,PPO
2058240,6797.0142,1369.9286,PPO
2088960,6941.3041,1424.6141,PPO
2119680,6679.1551,1502.0568,PPO
2150400,6877.6658,1419.0989,PPO
2181120,6893.2083,1362.4631,PPO
2211840,6884.2739,1537.1663,PPO
2242560,6544.0137,1765.0257,PPO
2273280,6873.6828,1544.1919,PPO
2304000,6930.433,1425.9817,PPO
2334720,6970.6427,1612.793,PPO
2365440,6976.7841,1502.4346,PPO
2396160,6956.7531,1521.8277,PPO
2426880,6923.9605,1502.0078,PPO
2457600,7076.802,1461.5333,PPO
2488320,6910.2399,1554.5215,PPO
2519040,7015.2602,1620.3088,PPO
2549760,7044.4279,1445.5683,PPO
2580480,7149.1791,1366.216,PPO
2611200,7272.657,1544.8839,PPO
2641920,7315.5085,1382.7119,PPO
2672640,7118.8575,1598.8056,PPO
2703360,7207.8444,1569.6635,PPO
2734080,7174.3004,1515.153,PPO
2764800,7262.0208,1514.371,PPO
2795520,7172.3527,1623.1998,PPO
2826240,7233.2708,1585.3007,PPO
2856960,7217.521,1510.6647,PPO
2887680,7293.4964,1417.3943,PPO
2918400,7337.4447,1508.2475,PPO
2949120,7153.7914,1587.5787,PPO
2979840,7241.567,1467.1855,PPO
3010560,7274.2529,1480.4173,PPO
3041280,7236.2394,1590.6492,PPO
3072000,7194.2608,1404.8626,PPO
5000,-491.7738,108.7776,TD3
10000,-262.0194,291.8401,TD3
15000,939.3631,527.7309,TD3
20000,1252.1263,495.519,TD3
25000,2023.157,523.8599,TD3
30000,2470.4407,572.3322,TD3
35000,2749.4355,598.9823,TD3
40000,3033.9985,779.7287,TD3
45000,3414.1016,557.1514,TD3
50000,3891.1476,538.9045,TD3
55000,3769.953,880.9102,TD3
60000,4215.0849,338.3772,TD3
65000,4181.9487,574.3375,TD3
70000,4451.898,650.4167,TD3
75000,4715.3097,387.332,TD3
80000,4977.8756,332.4097,TD3
85000,4896.933,436.9965,TD3
