Year,Oil rents (% of GDP),Natural Gas rents (% of GDP),Ratio
1990,9.61381294,2.722685294,3.531004101
2000,14.49235744,5.513711864,2.628421252
2012,10.33423026,3.728626704,2.771591548
2013,9.132501712,3.490346185,2.616503128
2014,9.197252091,2.692905367,3.415364017
2015,5.950765866,2.803748911,2.122431806
2016,5.165385296,1.874063778,2.756248403
2017,6.4870179,2.548051207,2.545874228
2018,10.07082196,3.692660708,2.727253532
2019,8.660228075,2.855758396,3.032549283
2020,6.059317379,2.293114548,2.642396292
