STAT,JJJJMM,QN,TNN,TNM,TMM,TXM,TXX,SOS,NMM,RSS,RSX,FMM,FXX,Month
10379,201808,3,9.3,15.5,21.4,28.0,37.8,280.5,4.1,10.1,3.8,2.7,16.4,2018-08-01T00:00:00
10379,201809,3,4.0,11.3,16.7,23.0,31.0,215.6,4.5,20.2,15.3,2.7,28.2,2018-09-01T00:00:00
10379,201810,3,2.4,6.6,11.2,16.2,25.6,168.5,4.5,12.5,6.2,3.0,21.3,2018-10-01T00:00:00
10379,201811,3,-3.4,2.6,5.2,8.2,17.9,68.4,6.0,15.4,9.9,2.8,15.8,2018-11-01T00:00:00
10379,201812,3,-2.1,2.1,4.2,6.4,12.9,19.6,7.1,38.0,6.5,3.2,21.0,2018-12-01T00:00:00
10379,201901,3,-7.2,-1.2,1.1,3.4,8.2,58.2,6.6,51.6,6.4,3.3,22.7,2019-01-01T00:00:00
10379,201902,3,-4.3,0.9,4.7,9.0,16.4,126.0,5.1,23.5,13.2,3.2,21.3,2019-02-01T00:00:00
10379,201903,3,-0.2,3.1,6.9,11.1,19.1,89.9,6.0,59.9,15.9,3.4,25.7,2019-03-01T00:00:00
10379,201904,3,-1.1,5.0,11.1,17.7,26.0,276.8,3.5,11.5,3.7,2.9,18.7,2019-04-01T00:00:00
10379,201905,3,0.4,7.3,12.8,18.4,26.8,213.3,5.5,31.0,9.2,2.8,14.7,2019-05-01T00:00:00
10379,201906,3,11.3,15.5,22.5,29.7,38.4,352.7,3.9,96.2,79.7,2.7,24.7,2019-06-01T00:00:00
10379,201907,3,9.5,14.5,19.6,25.4,34.7,222.1,4.9,68.4,19.4,2.8,18.7,2019-07-01T00:00:00
10379,201908,3,12.0,15.7,21.0,27.4,34.1,245.7,4.4,12.1,9.9,2.5,16.2,2019-08-01T00:00:00
10379,201909,3,5.9,10.2,14.9,20.1,29.6,182.2,4.9,65.4,24.6,2.9,24.0,2019-09-01T00:00:00
10379,201910,3,-1.1,7.7,11.1,15.3,24.0,140.2,5.3,49.8,16.5,2.8,17.3,2019-10-01T00:00:00
10379,201911,3,-2.7,3.1,5.9,8.6,16.1,50.5,6.4,46.4,8.3,2.8,16.8,2019-11-01T00:00:00
10379,201912,1,-3.2,1.2,3.9,6.3,12.0,59.3,5.9,26.9,5.6,3.2,20.6,2019-12-01T00:00:00
10379,202001,1,-3.8,0.9,3.9,6.7,13.2,77.8,5.9,30.8,6.4,3.2,18.7,2020-01-01T00:00:00
10379,202002,1,-0.5,2.6,5.5,8.5,16.1,50.9,6.9,84.9,18.1,3.6,25.2,2020-02-01T00:00:00
