year,category,value
2009,Col1,36200
2009,Col2,27200
2009,Col3,26200
2009,Col4,17200
2010,Col1,36600
2010,Col2,27800
2010,Col3,26600
2010,Col4,17800
2011,Col1,37500
2011,Col2,28500
2011,Col3,27500
2011,Col4,18500
2012,Col1,38700
2012,Col2,29400
2012,Col3,28700
2012,Col4,19400
2013,Col1,39600
2013,Col2,30200
2013,Col3,29600
2013,Col4,10200
2014,Col1,40500
2014,Col2,30900
2014,Col3,20500
2014,Col4,10900
2015,Col1,41200
2015,Col2,31500
2015,Col3,21200
2015,Col4,11500
2016,Col1,41803
2016,Col2,31931
2016,Col3,21803
2016,Col4,11931
2017,Col1,42600
2017,Col2,32600
2017,Col3,22600
2017,Col4,12600
