Date,Value,Detail
1971-01-01,42.6,Output per hour worked (2018 = 100)
1971-04-01,43.4,
1971-07-01,44.2,
1971-10-01,44.5,
1972-01-01,44.1,
1972-04-01,45.0,
1972-07-01,45.1,
1972-10-01,45.5,
1973-01-01,47.3,
1973-04-01,47.3,
1973-07-01,46.8,
1973-10-01,46.6,
1974-01-01,45.5,
1974-04-01,46.3,
1974-07-01,46.8,
1974-10-01,46.2,
1975-01-01,46.6,
1975-04-01,46.2,
1975-07-01,46.2,
1975-10-01,47.0,
1976-01-01,47.8,
1976-04-01,47.8,
1976-07-01,48.3,
1976-10-01,49.1,
1977-01-01,49.3,
1977-04-01,48.6,
1977-07-01,48.8,
1977-10-01,49.6,
1978-01-01,50.0,
1978-04-01,50.3,
1978-07-01,50.9,
1978-10-01,51.1,
1979-01-01,50.6,
1979-04-01,52.7,
1979-07-01,51.7,
1979-10-01,52.1,
1980-01-01,51.7,
1980-04-01,51.4,
1980-07-01,52.0,
1980-10-01,52.1,
1981-01-01,52.8,
1981-04-01,53.7,
1981-07-01,54.7,
1981-10-01,55.2,
1982-01-01,55.4,
1982-04-01,56.3,
1982-07-01,56.9,
1982-10-01,57.6,
1983-01-01,59.1,
1983-04-01,59.5,
1983-07-01,59.7,
1983-10-01,59.7,
1984-01-01,59.8,
1984-04-01,58.8,
1984-07-01,58.7,
1984-10-01,59.5,
1985-01-01,60.0,
1985-04-01,61.2,
1985-07-01,61.1,
1985-10-01,61.2,
1986-01-01,61.7,
1986-04-01,62.3,
1986-07-01,62.5,
1986-10-01,63.2,
1987-01-01,63.5,
1987-04-01,64.1,
1987-07-01,64.8,
1987-10-01,64.8,
1988-01-01,65.3,
1988-04-01,65.2,
1988-07-01,65.7,
1988-10-01,65.8,
1989-01-01,65.4,
1989-04-01,65.4,
1989-07-01,65.3,
1989-10-01,65.4,
1990-01-01,65.8,
1990-04-01,66.2,
1990-07-01,66.0,
1990-10-01,66.6,
1991-01-01,67.2,
1991-04-01,68.1,
1991-07-01,69.0,
1991-10-01,69.7,
1992-01-01,70.0,
1992-04-01,70.0,
1992-07-01,71.1,
1992-10-01,72.2,
1993-01-01,72.7,
1993-04-01,73.1,
1993-07-01,73.7,
1993-10-01,74.3,
1994-01-01,74.5,
1994-04-01,75.2,
1994-07-01,75.3,
1994-10-01,75.2,
1995-01-01,75.5,
1995-04-01,75.5,
1995-07-01,76.1,
1995-10-01,75.6,
1996-01-01,76.4,
1996-04-01,76.5,
1996-07-01,77.0,
1996-10-01,77.1,
1997-01-01,77.3,
1997-04-01,77.4,
1997-07-01,77.7,
1997-10-01,78.5,
1998-01-01,78.8,
1998-04-01,79.5,
1998-07-01,79.8,
1998-10-01,81.0,
1999-01-01,80.9,
1999-04-01,80.8,
1999-07-01,81.6,
1999-10-01,82.5,
2000-01-01,84.6,
2000-04-01,84.3,
2000-07-01,84.6,
2000-10-01,84.3,
2001-01-01,85.5,
2001-04-01,85.5,
2001-07-01,86.2,
2001-10-01,86.5,
2002-01-01,87.2,
2002-04-01,88.0,
2002-07-01,88.0,
2002-10-01,88.5,
2003-01-01,89.3,
2003-04-01,89.9,
2003-07-01,90.8,
2003-10-01,92.0,
2004-01-01,91.5,
2004-04-01,92.1,
2004-07-01,92.1,
2004-10-01,91.4,
2005-01-01,92.2,
2005-04-01,93.5,
2005-07-01,93.9,
2005-10-01,95.4,
2006-01-01,95.4,
2006-04-01,95.7,
2006-07-01,95.6,
2006-10-01,95.5,
2007-01-01,96.3,
2007-04-01,96.4,
2007-07-01,97.0,
2007-10-01,97.8,
2008-01-01,97.0,
2008-04-01,97.6,
2008-07-01,95.8,
2008-10-01,94.4,
2009-01-01,94.5,
2009-04-01,94.7,
2009-07-01,95.4,
2009-10-01,95.7,
2010-01-01,96.5,
2010-04-01,96.8,
2010-07-01,97.1,
2010-10-01,96.7,
2011-01-01,97.1,
2011-04-01,98.3,
2011-07-01,98.1,
2011-10-01,98.4,
2012-01-01,98.0,
2012-04-01,97.2,
2012-07-01,97.4,
2012-10-01,97.0,
2013-01-01,97.5,
2013-04-01,97.9,
2013-07-01,97.6,
2013-10-01,98.1,
2014-01-01,98.0,
2014-04-01,97.7,
2014-07-01,98.0,
2014-10-01,98.0,
2015-01-01,98.1,
2015-04-01,98.9,
2015-07-01,99.3,
2015-10-01,97.9,
2016-01-01,98.7,
2016-04-01,98.8,
2016-07-01,98.8,
2016-10-01,99.0,
2017-01-01,98.9,
2017-04-01,98.7,
2017-07-01,100.2,
2017-10-01,100.3,
2018-01-01,99.9,
2018-04-01,100.1,
2018-07-01,99.8,
2018-10-01,100.2,
2019-01-01,99.7,
2019-04-01,99.9,
2019-07-01,100.4,
2019-10-01,100.7,
2020-01-01,99.6,
2020-04-01,98.9,
2020-07-01,104.5,
